,인구밀도,미세먼지(PM2.5)
2014,2822.0305602716467,
2015,2815.560208239022,25.73
2016,2811.8571751923946,24.5
2017,2801.302625622453,23.5
2018,2786.382569326542,22.25
2019,2759.5144312393886,22.5
2020,2737.233729485002,20.0
2021,2699.345931877334,17.67
2022,2670.2338454586534,16.5
2023,1583.8346115371792,17.67
