행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시_2019,6.0,12.0,8.0,9.0,14.0,18.0,20.0,22.0,586.0,21.0,6.0,377.0,2107.0
경기도 수원시_2019,12.0,17.0,13.0,10.0,17.0,25.0,29.0,25.0,1880.0,172.0,64.0,18404.0,69546.0
경기도 성남시_2019,11.0,16.0,12.0,10.0,15.0,25.0,28.0,25.0,1829.0,129.0,43.0,9843.0,46942.0
경기도 안양시_2019,11.0,17.0,13.0,11.0,16.0,25.0,27.0,26.0,985.0,71.0,49.0,5974.0,28467.0
경기도 부천시_2019,12.0,16.0,12.0,9.0,16.0,24.0,27.0,24.0,1144.0,107.0,65.0,10081.0,41053.0
경기도 광명시_2019,11.0,15.0,13.0,10.0,15.0,25.0,28.0,26.0,516.0,31.0,66.0,3435.0,18420.0
경기도 평택시_2019,12.0,16.0,13.0,12.0,14.0,23.0,27.0,26.0,654.0,61.0,68.0,7281.0,30978.0
경기도 안산시_2019,12.0,16.0,13.0,10.0,15.0,24.0,27.0,23.0,884.0,89.0,73.0,7360.0,34954.0
경기도 과천시_2019,9.0,16.0,13.0,9.0,11.0,25.0,28.0,22.0,76.0,3.0,74.0,316.0,2826.0
경기도 오산시_2019,13.0,17.0,14.0,12.0,16.0,25.0,31.0,27.0,271.0,12.0,99.0,5623.0,16571.0
경기도 시흥시_2019,13.0,16.0,13.0,12.0,17.0,24.0,28.0,27.0,700.0,32.0,75.0,6022.0,29619.0
경기도 군포시_2019,12.0,15.0,13.0,11.0,16.0,24.0,28.0,26.0,403.0,33.0,67.0,3245.0,15126.0
경기도 의왕시_2019,11.0,15.0,12.0,10.0,15.0,23.0,27.0,22.0,168.0,7.0,72.0,1485.0,7490.0
경기도 하남시_2019,14.0,17.0,13.0,9.0,18.0,25.0,28.0,21.0,305.0,12.0,81.0,3048.0,16083.0
경기도 용인시_2019,13.0,16.0,14.0,12.0,16.0,25.0,30.0,28.0,1865.0,59.0,66.0,15584.0,70018.0
경기도 이천시_2019,12.0,15.0,12.0,10.0,13.0,23.0,26.0,24.0,352.0,28.0,65.0,2490.0,13184.0
경기도 안성시_2019,12.0,13.0,12.0,11.0,13.0,20.0,26.0,25.0,214.0,19.0,80.0,2487.0,10917.0
경기도 김포시_2019,13.0,18.0,14.0,12.0,17.0,26.0,30.0,27.0,724.0,38.0,69.0,10084.0,31544.0
경기도 화성시_2019,14.0,17.0,15.0,13.0,16.0,25.0,31.0,30.0,1340.0,59.0,75.0,17442.0,63581.0
경기도 광주시_2019,12.0,18.0,14.0,11.0,15.0,27.0,29.0,25.0,398.0,10.0,81.0,2550.0,19866.0
경기도 여주시_2019,10.0,11.0,9.0,8.0,12.0,18.0,24.0,20.0,103.0,8.0,80.0,1066.0,5428.0
경기도 양평군_2019,8.0,12.0,8.0,8.0,11.0,19.0,22.0,20.0,87.0,4.0,80.0,560.0,5251.0
경기도 의정부시_2019,12.0,16.0,13.0,10.0,16.0,25.0,28.0,24.0,671.0,47.0,60.0,4929.0,22730.0
경기도 동두천시_2019,10.0,15.0,11.0,9.0,10.0,22.0,23.0,20.0,90.0,8.0,71.0,654.0,5014.0
경기도 고양시_2019,12.0,16.0,13.0,10.0,15.0,25.0,28.0,25.0,1864.0,136.0,55.0,13049.0,54934.0
경기도 구리시_2019,11.0,16.0,13.0,10.0,18.0,24.0,28.0,25.0,365.0,21.0,53.0,2171.0,10213.0
경기도 남양주시_2019,12.0,17.0,13.0,11.0,16.0,25.0,28.0,26.0,942.0,30.0,78.0,9895.0,44661.0
경기도 파주시_2019,13.0,16.0,14.0,11.0,16.0,23.0,30.0,26.0,575.0,34.0,84.0,7309.0,29748.0
경기도 양주시_2019,11.0,15.0,14.0,12.0,12.0,22.0,28.0,30.0,246.0,11.0,96.0,2703.0,13531.0
경기도 포천시_2019,9.0,11.0,9.0,9.0,9.0,18.0,22.0,21.0,123.0,9.0,100.0,986.0,6727.0
경기도 연천군_2019,11.0,8.0,6.0,8.0,14.0,13.0,19.0,19.0,35.0,1.0,99.0,426.0,1739.0
경기도 가평군_2019,8.0,10.0,10.0,8.0,9.0,16.0,22.0,21.0,51.0,4.0,99.0,280.0,2583.0
강원특별자치도 춘천시_2019,10.0,14.0,11.0,11.0,18.0,21.0,24.0,27.0,389.0,32.0,64.0,3141.0,15001.0
강원특별자치도 원주시_2019,12.0,14.0,11.0,12.0,18.0,21.0,24.0,27.0,546.0,50.0,58.0,4722.0,19972.0
강원특별자치도 강릉시_2019,10.0,12.0,12.0,9.0,17.0,19.0,25.0,23.0,364.0,41.0,49.0,1786.0,10110.0
강원특별자치도 동해시_2019,11.0,14.0,11.0,10.0,14.0,22.0,21.0,23.0,127.0,18.0,69.0,1088.0,5019.0
강원특별자치도 태백시_2019,7.0,10.0,8.0,9.0,11.0,15.0,22.0,23.0,47.0,4.0,87.0,271.0,2261.0
