행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시_2021,5.0,11.0,9.0,9.0,12.0,17.0,19.0,22.0,767.0,33.0,4.0,300.0,1397.0
경기도 수원시_2021,11.0,16.0,13.0,10.0,18.0,24.0,29.0,24.0,1864.0,167.0,62.0,15710.0,65671.0
경기도 성남시_2021,10.0,15.0,12.0,10.0,16.0,24.0,28.0,24.0,1776.0,118.0,44.0,8306.0,45058.0
경기도 안양시_2021,10.0,16.0,13.0,10.0,17.0,24.0,28.0,24.0,921.0,77.0,49.0,5171.0,26687.0
경기도 부천시_2021,11.0,15.0,12.0,9.0,16.0,24.0,27.0,23.0,1150.0,106.0,61.0,8832.0,37862.0
경기도 광명시_2021,10.0,14.0,12.0,10.0,14.0,23.0,28.0,24.0,497.0,30.0,63.0,2717.0,16124.0
경기도 평택시_2021,11.0,15.0,14.0,12.0,16.0,23.0,29.0,26.0,681.0,64.0,71.0,7241.0,32911.0
경기도 안산시_2021,12.0,16.0,13.0,9.0,17.0,23.0,27.0,21.0,827.0,95.0,74.0,6567.0,32594.0
경기도 과천시_2021,11.0,17.0,13.0,9.0,18.0,25.0,28.0,21.0,82.0,1.0,78.0,451.0,3543.0
경기도 오산시_2021,11.0,16.0,15.0,12.0,16.0,24.0,32.0,27.0,288.0,13.0,98.0,4634.0,16340.0
경기도 시흥시_2021,12.0,16.0,13.0,11.0,17.0,24.0,27.0,26.0,774.0,37.0,74.0,6231.0,32306.0
경기도 군포시_2021,11.0,14.0,12.0,11.0,16.0,23.0,27.0,24.0,390.0,34.0,65.0,2543.0,13915.0
경기도 의왕시_2021,10.0,14.0,12.0,9.0,15.0,23.0,26.0,21.0,173.0,10.0,70.0,1212.0,7294.0
경기도 하남시_2021,12.0,17.0,13.0,9.0,16.0,26.0,28.0,23.0,388.0,15.0,76.0,2908.0,18476.0
경기도 용인시_2021,13.0,16.0,14.0,12.0,17.0,25.0,30.0,28.0,1859.0,62.0,66.0,13828.0,68048.0
