경상북도 영양군_2015,90,1.517,96.8,-1.54,17898,7.1
경상북도 영덕군_2015,215,1.542,90.6,-0.88,39191,4.3
경상북도 청도군_2015,175,1.081,95.7,-0.33,43724,3.4
경상북도 고령군_2015,255,1.71,103.9,-1.12,34594,5.5
경상북도 성주군_2015,319,1.674,105.1,0.34,45029,6.4
경상북도 칠곡군_2015,1361,1.583,107.4,0.69,122829,10.6
경상북도 예천군_2015,252,1.544,96.1,-0.89,44674,5.3
경상북도 봉화군_2015,193,1.623,98.5,-0.64,33808,3.9
경상북도 울진군_2015,374,1.647,99.0,-0.4,51885,5.6
경상북도 울릉군_2015,55,1.164,115.2,-1.12,10153,6.6
광주광역시 동구_2015,679,1.072,99.9,-1.91,98784,4.0
광주광역시 서구_2015,2233,1.03,96.7,-1.69,305028,7.5
광주광역시 남구_2015,1600,1.089,93.8,0.73,221318,5.5
광주광역시 북구_2015,3841,1.235,98.9,-0.26,446316,3.5
광주광역시 광산구_2015,4088,1.427,100.9,1.1,400753,4.0
대구광역시 중구_2015,664,1.157,95.3,2.67,80928,8.0
대구광역시 동구_2015,3082,1.322,99.3,0.53,349728,5.3
대구광역시 서구_2015,1219,0.985,102.4,-2.17,206028,4.8
대구광역시 남구_2015,1015,0.934,94.9,-1.54,160852,3.7
대구광역시 북구_2015,3900,1.349,100.3,-0.28,443119,5.6
대구광역시 수성구_2015,2603,1.013,95.7,-1.03,451786,3.1
대구광역시 달서구_2015,5049,1.26,99.0,-0.6,602641,5.3
대구광역시 달성군_2015,1906,1.535,104.4,4.4,192747,4.2
대전광역시 동구_2015,1997,1.258,102.4,-2.32,239579,4.9
대전광역시 중구_2015,1952,1.165,99.1,-1.86,256186,3.7
대전광역시 서구_2015,4483,1.223,97.2,-1.05,490859,5.2
대전광역시 유성구_2015,3820,1.463,101.7,2.45,335312,5.2
대전광역시 대덕구_2015,1522,1.216,103.4,-2.24,196839,4.6
부산광역시 중구_2015,257,0.925,96.5,-1.51,45816,6.6
부산광역시 서구_2015,599,0.899,96.7,-1.74,115963,7.8
부산광역시 동구_2015,482,0.929,98.6,-2.64,92069,5.8
부산광역시 영도구_2015,634,0.899,98.6,-2.03,129385,3.6
부산광역시 부산진구_2015,3029,1.079,96.1,-1.47,381572,4.2
부산광역시 동래구_2015,1833,1.026,96.8,-1.12,272837,7.7
부산광역시 남구_2015,1940,1.049,97.0,-1.26,283101,4.5
부산광역시 북구_2015,2397,1.209,99.0,1.15,310484,4.4
부산광역시 해운대구_2015,3022,1.081,94.8,-0.13,422818,4.4
부산광역시 사하구_2015,2696,1.199,100.0,-1.62,337781,5.0
부산광역시 금정구_2015,1540,1.009,96.7,-1.34,246026,3.7
부산광역시 강서구_2015,1365,1.982,107.6,17.77,94608,8.4
부산광역시 연제구_2015,1513,1.075,96.5,1.29,210718,4.5
부산광역시 수영구_2015,1374,1.045,91.8,0.77,179795,3.7
부산광역시 사상구_2015,2001,1.241,103.6,-2.07,237711,3.5
부산광역시 기장군_2015,1963,1.771,98.0,5.83,153093,15.2
서울특별시 종로구_2015,906,0.813,97.6,-0.92,154986,9.4
서울특별시 중구_2015,950,0.946,99.4,-1.39,125733,6.9
서울특별시 용산구_2015,1967,1.005,94.2,-0.8,233342,7.1
서울특별시 성동구_2015,2753,1.095,98.8,0.39,297003,6.6
서울특별시 광진구_2015,2951,0.903,96.4,-0.58,360369,7.5
서울특별시 동대문구_2015,2687,0.96,100.5,-0.66,360153,5.9
서울특별시 중랑구_2015,3368,1.051,99.6,-1.13,413909,6.3
서울특별시 성북구_2015,3514,0.991,96.0,-1.34,459275,6.8
서울특별시 강북구_2015,2164,0.922,97.1,-1.18,330873,6.1
서울특별시 도봉구_2015,2481,1.01,97.1,-0.69,351242,8.8
서울특별시 노원구_2015,4462,1.096,95.0,-1.34,574583,6.5
서울특별시 은평구_2015,3870,1.003,95.3,-0.13,497920,4.5
서울특별시 서대문구_2015,2175,0.913,94.9,0.7,312141,8.3
서울특별시 마포구_2015,3626,0.986,92.7,0.64,387643,5.5
서울특별시 양천구_2015,3526,1.034,98.1,-0.35,484532,6.0
서울특별시 강서구_2015,5812,1.129,95.6,0.68,589074,4.2
서울특별시 구로구_2015,4257,1.169,99.4,-0.55,422092,5.4
서울특별시 금천구_2015,1885,1.086,104.3,-0.72,236284,9.3
서울특별시 영등포구_2015,3611,1.085,100.2,-0.86,378504,6.5
서울특별시 동작구_2015,3643,1.012,96.2,-1.55,400641,6.9
서울특별시 관악구_2015,3960,0.833,102.1,-0.55,509663,6.0
서울특별시 서초구_2015,4078,1.012,92.5,-0.67,446764,8.2
서울특별시 강남구_2015,4595,0.857,92.1,-0.29,576495,8.3
서울특별시 송파구_2015,5899,1.008,95.4,-0.64,660302,6.0
서울특별시 강동구_2015,3865,1.036,99.5,-3.74,458658,5.1
울산광역시 중구_2015,2081,1.327,104.5,2.32,244481,5.4
울산광역시 남구_2015,3176,1.356,104.3,-1.14,343598,6.6
울산광역시 동구_2015,2157,1.622,112.9,-1.3,174963,6.0
울산광역시 북구_2015,2258,1.695,107.1,1.33,191063,5.5
울산광역시 울주군_2015,2060,1.579,106.1,2.57,219429,10.5
인천광역시 강화군_2015,274,1.081,100.5,0.94,67667,5.9
인천광역시 옹진군_2015,121,1.339,130.8,1.37,20962,10.8
인천광역시 중구_2015,1020,1.299,107.6,2.23,114493,11.4
인천광역시 동구_2015,624,1.325,101.8,-1.97,72571,8.0
인천광역시 미추홀구_2015,3191,1.127,102.1,-0.78,404893,7.4
인천광역시 연수구_2015,2646,1.215,99.7,2.95,319052,7.6
인천광역시 남동구_2015,4883,1.24,99.5,3.16,531395,5.4
인천광역시 부평구_2015,4918,1.177,99.2,-0.06,555844,7.4
인천광역시 계양구_2015,2763,1.126,100.5,-1.52,334332,5.9
인천광역시 서구_2015,5051,1.35,102.1,1.24,504606,7.9
전라남도 목포시_2015,1930,1.304,99.6,-0.22,238382,3.7
전라남도 여수시_2015,2503,1.55,102.8,-0.13,290168,5.0
전라남도 순천시_2015,2134,1.34,99.7,0.61,278765,5.5
전라남도 나주시_2015,809,1.639,101.6,8.18,98182,4.0
전라남도 광양시_2015,1680,1.835,105.4,0.94,153587,5.7
전라남도 담양군_2015,334,1.599,101.4,-0.35,47009,5.8
전라남도 곡성군_2015,158,1.437,95.1,-0.12,30672,4.5
전라남도 구례군_2015,156,1.57,94.6,0.53,27308,4.9
전라남도 고흥군_2015,236,1.091,92.8,-1.42,68601,8.7
전라남도 보성군_2015,295,1.7,93.6,-1.09,45349,4.6
전라남도 화순군_2015,372,1.219,96.6,-1.41,65848,6.1
전라남도 장흥군_2015,212,1.204,94.1,0.82,43513,3.6
전라남도 강진군_2015,301,1.755,91.4,-2.7,38758,7.7
전라남도 해남군_2015,839,2.464,94.6,-0.85,76194,4.4
전라남도 영암군_2015,602,2.107,104.5,0.0,58137,5.5
전라남도 무안군_2015,641,1.444,99.9,0.78,82236,5.1
전라남도 함평군_2015,202,1.63,97.7,-0.67,34876,4.0
전라남도 영광군_2015,415,1.652,99.0,-0.87,56267,5.2
