,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,소멸위험지수,소멸위험등급
37,강원특별자치도 속초시_2015,12,14,15,14,19,21,29,33,111,7,94,594,4275,2,0,0,58,0,26,12,987,99.1,99.8,0.8427035815022093,C
38,강원특별자치도 삼척시_2015,12,10,8,9,18,15,19,23,65,7,91,848,2933,1,1,1,26,0,13,6,424,87.8,88.2,0.2305345326378197,B
39,강원특별자치도 홍천군_2015,9,7,10,13,14,12,21,32,73,5,91,698,3070,1,2,2,30,0,15,11.9,840,74.9,70.2,0.3203397827172921,B
40,강원특별자치도 횡성군_2015,11,8,5,9,16,12,15,24,37,0,95,304,1829,0,2,2,12,0,7,5.4,248,55.0,73.6,0.3224230587219117,B
41,강원특별자치도 영월군_2015,8,7,5,7,12,11,15,20,26,1,106,348,1529,1,1,1,12,0,6,9.7,390,72.6,80.6,0.254017359603204,B
42,강원특별자치도 평창군_2015,11,7,8,9,14,12,20,24,31,2,124,399,1873,0,0,0,15,0,9,4.4,190,67.9,79.5,0.260274625062739,B
43,강원특별자치도 정선군_2015,10,7,8,7,15,11,20,20,29,0,109,379,1489,0,2,2,10,0,5,8.8,343,83.2,79.3,0.2219611837705075,B
44,강원특별자치도 철원군_2015,10,9,12,12,15,15,25,30,56,1,96,354,2473,0,1,1,18,0,7,9.1,445,78.7,90.0,0.5890043719829263,C
45,강원특별자치도 화천군_2015,8,6,9,8,15,10,22,25,21,0,107,363,1154,0,0,0,7,0,4,1.9,50,66.5,66.2,0.3570751970672426,B
46,강원특별자치도 양구군_2015,9,7,7,11,13,13,19,27,17,0,141,145,1220,0,3,3,6,0,5,8.2,197,83.5,79.8,0.5852383693967742,C
47,강원특별자치도 인제군_2015,9,7,7,10,14,12,21,25,30,0,108,479,1692,0,1,1,7,0,5,5.7,191,81.6,80.0,0.6393717566701675,C
48,강원특별자치도 고성군_2015,10,6,7,9,14,9,19,24,15,0,124,189,1024,0,0,0,8,0,5,0.3,8,86.0,83.6,0.1875000995839813,B
49,강원특별자치도 양양군_2015,8,6,8,9,12,9,19,22,22,0,102,242,1033,0,0,0,6,0,5,1.1,30,61.5,87.0,0.2030228604889806,B
50,경상남도 창원시_2015,13,15,15,13,22,23,30,30,1650,147,63,17247,58903,10,40,525,309,1,276,17.7,18956,96.2,98.2,2.2368250666408382,D
51,경상남도 진주시_2015,12,14,14,14,19,22,29,33,706,61,43,3890,19709,3,10,177,104,1,83,14.7,5071,91.9,99.9,1.2505832921398297,C
52,경상남도 통영시_2015,14,13,12,14,22,21,26,31,217,8,63,2209,7846,-,7,76,32,-,27,13.8,1919,82.2,98.7,0.8814825132934564,C
53,경상남도 사천시_2015,11,13,13,9,16,20,26,26,193,9,46,1178,6372,-,6,44,28,-,29,25,2885,92.3,94.9,0.4363687645105516,B
54,경상남도 김해시_2015,14,16,16,15,23,24,32,35,997,58,69,9646,36185,4,22,208,123,1,103,18.4,9754,95.5,97.4,3.685819424678916,D
55,경상남도 밀양시_2015,11,11,11,11,17,18,26,23,147,10,47,1046,4374,1,7,48,24,1,24,21.9,2367,72.1,78.8,0.2880868739869541,B
