,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,소멸위험지수,소멸위험등급
380,인천광역시 서구_2016,16,7,5,14,21,10,11,32,4,0,2607,9822,632,5,8,223,127,2,86,10.4,5318,99.3,99.9,4.175811616320489,D
381,전라남도 목포시_2016,13,16,14,12,17,24,28,28,446,34,49,4108,15494,5,12,135,63,9,46,31.8,7560,97.9,99.8,1.2053617323567871,C
382,전라남도 여수시_2016,9,14,12,13,15,21,27,31,512,28,50,3321,14929,3,7,152,75,1,56,15.6,4500,83.8,91.5,0.7004949543649623,C
383,전라남도 순천시_2016,11,15,14,12,16,23,29,30,408,44,71,3812,16805,5,17,124,84,8,43,22,6141,91.0,95.6,1.2483971345931275,C
384,전라남도 나주시_2016,11,11,7,7,15,17,18,18,75,4,82,1043,4257,1,4,57,25,1,20,37,3865,60.7,80.5,0.6165655815659654,C
385,전라남도 광양시_2016,11,13,13,13,14,21,27,31,230,9,71,1697,8947,1,3,57,37,1,25,7,1093,92.3,86.8,2.107890347550896,D
386,전라남도 담양군_2016,9,7,7,12,14,13,19,27,11,1,234,356,1428,-,3,22,10,-,10,35,1654,71.1,78.0,0.20665049007503,B
387,전라남도 곡성군_2016,8,7,10,10,11,13,25,27,22,1,91,176,999,-,1,13,8,-,6,13.8,421,67.5,77.9,0.0671526792124041,A
388,전라남도 구례군_2016,11,7,8,10,12,11,20,28,13,0,154,215,1051,-,1,10,5,-,7,23.9,654,88.9,58.5,0.2024525747044396,B
389,전라남도 고흥군_2016,6,7,7,12,11,13,18,27,45,1,93,336,2113,2,1,35,12,-,15,21.4,1445,49.9,68.6,0.0116121821660507,A
390,전라남도 보성군_2016,7,6,6,11,8,10,18,25,31,1,79,242,1391,-,2,22,8,-,10,31.8,1416,57.4,56.0,0.0,A
391,전라남도 화순군_2016,11,10,9,14,13,16,22,33,92,3,64,492,3105,1,3,27,15,-,10,64.9,4239,76.9,87.2,0.2318876573914552,B
392,전라남도 장흥군_2016,10,7,8,10,12,13,20,25,24,1,132,326,1539,1,1,23,8,-,10,9,367,60.3,80.4,0.0,A
393,전라남도 강진군_2016,9,6,6,10,10,12,18,26,30,0,94,195,1353,-,3,19,6,-,6,14.7,555,56.8,60.9,0.0,A
394,전라남도 해남군_2016,11,8,9,10,13,14,23,26,54,6,96,609,2938,2,2,38,17,-,10,20.9,1569,50.0,68.6,0.0,A
395,전라남도 영암군_2016,10,9,8,10,14,16,20,25,44,1,109,564,2646,-,2,24,13,-,14,18.9,1078,73.0,83.5,0.0485823513243865,A
396,전라남도 무안군_2016,12,11,12,11,16,18,26,25,122,5,58,927,4421,1,2,43,17,1,17,11,904,60.3,98.3,0.4244731131582785,B
397,전라남도 함평군_2016,9,7,5,7,11,12,16,19,16,2,106,168,1047,-,1,16,6,-,7,22.5,773,54.2,85.1,0.0059512719345147,A
398,전라남도 영광군_2016,10,10,8,13,12,15,20,29,59,3,65,424,2329,2,-,34,15,-,14,21.3,1183,53.3,91.6,0.0886946805997648,A
399,전라남도 장성군_2016,13,9,7,11,16,15,21,29,35,2,93,653,1928,-,2,18,9,-,9,20.3,934,56.5,87.9,0.1173882204129106,A
400,전라남도 완도군_2016,12,7,6,8,15,13,18,25,32,4,129,618,2109,-,1,24,10,-,9,2.8,149,49.3,96.7,0.0636009258691601,A
401,전라남도 진도군_2016,11,7,4,2,14,12,14,9,23,0,62,280,1201,-,2,16,6,-,7,6.6,213,59.9,99.3,0.0421179948886256,A
402,전라남도 신안군_2016,10,4,3,6,10,7,11,17,6,0,292,239,951,-,2,12,5,-,5,5,215,33.2,90.1,0.0,A
403,전북특별자치도 전주시_2016,12,16,15,16,18,24,32,34,3375,305,25,11056,38399,5,39,448,251,16,197,25.8,16817,98.0,99.7,1.6767745721708855,D
404,전북특별자치도 군산시_2016,12,13,14,14,18,21,30,32,3375,305,8,4131,15626,2,8,149,71,2,73,14.8,4094,92.0,98.5,0.8301984221549248,C
405,전북특별자치도 익산시_2016,12,13,13,13,16,21,29,29,3375,305,9,4678,16180,2,7,166,91,5,80,16.6,4990,87.0,99.2,0.7492472178510041,C
406,전북특별자치도 정읍시_2016,10,9,10,10,14,15,23,24,3375,305,3,1257,5380,1,4,73,32,1,31,20.2,2323,77.0,98.2,0.2091457919362183,B
407,전북특별자치도 남원시_2016,9,9,10,10,13,16,24,25,3375,305,2,647,4268,1,1,56,20,-,20,21.2,1786,80.0,88.1,0.1933373537587039,B
408,전북특별자치도 김제시_2016,9,8,9,9,13,12,23,20,3375,305,2,943,3612,-,1,50,19,2,17,35.2,3091,59.0,94.7,0.0967637449048479,A
409,전북특별자치도 완주군_2016,11,10,9,10,16,16,22,22,3375,305,2,1426,5072,-,1,-,-,-,-,24.4,2327,66.0,76.5,0.4213233988467491,B
410,전북특별자치도 진안군_2016,7,5,3,6,12,10,11,18,3375,305,0,259,915,-,2,12,4,-,4,12,313,70.0,75.9,0.104170599023273,A
411,전북특별자치도 무주군_2016,9,8,6,7,12,13,16,17,3375,305,0,253,1075,-,-,13,5,-,7,5.5,138,74.0,79.1,0.0644774071433298,A
412,전북특별자치도 장수군_2016,10,8,5,6,14,12,14,18,3375,305,0,241,993,-,-,9,4,-,4,1.4,34,76.0,84.9,0.3290132460547588,B
413,전북특별자치도 임실군_2016,9,5,4,8,12,9,13,26,3375,305,0,233,1033,-,1,14,5,-,10,10.4,313,63.0,84.4,0.1146006331841113,A
414,전북특별자치도 순창군_2016,7,5,6,8,12,10,17,23,3375,305,0,265,1172,-,1,17,5,-,6,24.9,745,49.0,72.7,0.0619956394072507,A
415,전북특별자치도 고창군_2016,9,7,8,10,13,12,20,22,3375,305,1,436,2095,1,1,32,13,-,11,15.8,956,65.0,99.5,0.2375610231061325,B
416,전북특별자치도 부안군_2016,8,6,7,10,13,11,18,24,3375,305,1,564,2075,1,5,27,13,-,18,21.7,1238,67.0,99.9,0.2040228226703588,B
417,제주특별자치도 제주시_2016,12,15,14,14,24,23,28,32,785,44,61,4813,29504,6,5,294,151,-,131,9.4,4435,91.0,100.0,1.6361066837356766,D
418,제주특별자치도 서귀포시_2016,9,11,11,12,18,18,25,26,162,3,94,1130,8768,1,3,91,45,-,42,3.6,620,92.6,100.0,0.8179125284172639,C
419,충청남도 천안시_2016,13,15,14,15,21,24,29,34,1034,79,66,10880,38136,4,15,311,168,3,157,12.8,7901,96.06,95.5,3.530598247040254,D
420,충청남도 공주시_2016,10,10,10,12,17,16,24,28,120,11,75,1381,4742,1,1,65,24,-,31,24.2,2664,69.43,95.8,0.2403627332762803,B
421,충청남도 보령시_2016,12,9,10,12,18,16,24,27,124,6,71,1208,4856,1,3,55,22,-,30,12.6,1312,66.66,96.4,0.2346492055924446,B
422,충청남도 아산시_2016,13,15,14,15,19,23,28,31,374,20,89,5310,20189,1,6,129,75,-,60,11.3,3429,83.55,99.1,1.8732499044938025,D
423,충청남도 서산시_2016,12,14,12,13,17,21,27,30,189,16,89,2178,10015,2,-,72,40,-,33,6.8,1168,71.64,94.7,0.7185166388913393,C
424,충청남도 논산시_2016,9,10,9,11,14,17,21,26,109,15,75,739,5912,1,2,81,31,-,37,27,3325,65.7,93.1,0.2270556027441814,B
425,충청남도 계룡시_2016,13,16,14,12,18,24,30,29,52,6,111,759,3208,-,2,17,12,-,13,6.7,287,95.99,98.5,3.555212686312748,D
426,충청남도 당진시_2016,12,13,11,14,18,21,26,33,189,13,69,1714,9576,1,4,78,46,-,33,7.2,1202,62.44,93.3,0.6956165383386297,C
427,충청남도 금산군_2016,10,9,8,12,14,14,22,27,34,2,128,401,2269,-,1,33,14,-,15,13.7,749,76.01,95.3,0.1563436744424345,A
428,충청남도 부여군_2016,10,7,9,12,12,12,22,26,52,5,100,571,2586,-,2,31,15,-,17,17.4,1221,51.96,73.8,0.0449725325134077,A
429,충청남도 서천군_2016,8,7,8,9,10,12,23,22,54,5,62,288,1934,-,1,33,11,1,17,24,1345,53.09,95.2,0.0233296762046638,A
430,충청남도 청양군_2016,9,6,6,10,15,11,16,23,20,2,117,316,1007,-,1,10,6,-,6,8.3,273,50.5,92.4,0.2651024691146498,B
431,충청남도 홍성군_2016,11,11,10,11,17,19,23,26,106,11,87,1290,5084,1,-,42,23,1,21,16.7,1673,69.66,97.6,0.74345715584611,C
432,충청남도 예산군_2016,11,8,10,11,14,14,23,24,74,11,71,783,3190,1,1,44,21,-,22,7.4,604,54.85,93.8,0.0,A
433,충청남도 태안군_2016,9,9,9,10,14,14,21,24,46,3,106,470,2605,-,1,28,14,-,12,9.5,609,51.28,82.3,0.2526875957444668,B
434,세종특별자치시_2017,10,12,9,8,15,19,20,22,344,13,11,493,2200,0,1,145,72,0,66,4.8,1342,93.1,92.5,3.5687383009917326,D
435,경기도 수원시_2017,14,17,14,12,20,26,29,29,1879,178,66,20801,68095,4,34,696,423,3,335,9.7,11683,99.4,100.0,3.4583642944948108,D
436,경기도 성남시_2017,12,16,13,11,19,25,29,28,1801,116,47,11118,47213,6,17,729,445,3,341,10.1,9788,99.7,99.9,1.9222879548022236,D
437,경기도 안양시_2017,13,17,14,12,19,25,28,29,1032,62,50,7048,29890,3,14,366,243,2,183,8,4731,100.0,100.0,2.1351625580169227,D
438,경기도 부천시_2017,14,16,13,11,18,24,28,25,1157,100,69,11651,40820,5,24,503,284,8,217,14.5,12351,99.9,100.0,2.2268576580284885,D
439,경기도 광명시_2017,14,16,13,11,20,26,28,28,526,31,70,4274,19436,1,4,196,110,-,82,6.3,2085,98.8,100.0,1.8358958564939656,D
440,경기도 평택시_2017,13,16,13,13,15,24,27,29,652,46,65,7866,28674,4,12,235,131,-,102,8.3,3990,83.0,99.4,1.9295162844036928,D
441,경기도 안산시_2017,13,17,14,12,18,24,28,28,940,85,78,9045,36926,4,21,345,190,12,135,14.7,9940,99.1,99.9,3.3992778613835117,D
442,경기도 과천시_2017,11,16,14,10,14,25,29,24,72,3,91,498,2973,-,-,35,17,-,14,0,1,98.5,98.4,0.927060638656106,C
443,경기도 오산시_2017,15,17,15,13,19,26,31,31,241,13,109,6500,15696,3,3,98,69,-,36,11.5,2453,98.9,100.0,4.476207830088827,D
444,경기도 시흥시_2017,14,16,14,13,17,24,29,31,602,33,81,5461,25140,3,1,195,111,9,68,9.3,3903,94.2,99.9,4.201624985521179,D
445,경기도 군포시_2017,14,16,14,13,20,25,28,31,412,33,72,3979,15850,2,3,131,93,-,64,8.9,2512,99.7,100.0,2.213449560481969,D
446,경기도 의왕시_2017,13,15,14,12,18,24,27,26,178,4,71,1821,7487,-,1,65,45,-,30,12.8,1996,99.0,99.9,1.79157399077864,D
447,경기도 하남시_2017,15,17,13,9,19,25,28,22,228,7,88,2620,12281,-,5,114,58,-,47,3.7,862,95.3,98.3,2.4134411437231216,D
448,경기도 용인시_2017,15,17,14,13,18,26,30,31,1731,47,71,18118,67328,3,10,448,296,-,207,8.1,8146,93.0,98.9,2.187556191385997,D
449,경기도 이천시_2017,12,14,13,12,14,23,26,28,340,25,70,2897,12988,1,4,101,53,-,41,9.1,1944,91.1,96.4,1.5691450525476662,D
450,경기도 안성시_2017,12,13,13,13,14,20,26,28,207,19,84,2685,10734,1,3,68,40,-,30,12,2192,77.9,92.0,0.8500933251642105,C
451,경기도 김포시_2017,14,17,14,12,16,25,29,28,586,33,74,9551,25578,2,8,177,115,2,83,7.5,2943,87.3,94.5,2.408640912562311,D
452,경기도 화성시_2017,15,17,15,15,18,25,31,34,1100,43,78,16066,52593,3,12,292,185,1,129,6.9,4736,83.5,98.6,4.367387742033771,D
453,경기도 광주시_2017,14,18,15,13,19,27,30,30,384,8,77,2734,17608,1,2,120,66,-,59,5.5,1902,94.3,94.8,2.3034152687763134,D
454,경기도 여주시_2017,12,12,10,11,15,18,24,23,106,7,82,1324,5548,-,4,50,34,-,23,17.3,1941,81.2,86.8,0.5490882757434523,B
455,경기도 양평군_2017,10,12,9,8,12,19,23,22,77,3,91,676,5118,-,2,43,26,1,26,10.4,1193,79.1,73.6,0.5551287502960567,B
456,경기도 의정부시_2017,12,16,13,12,16,25,28,28,662,46,63,5332,21918,3,15,252,140,1,97,12,5290,98.8,99.5,1.4828720842362684,D
457,경기도 동두천시_2017,11,15,12,11,14,23,25,24,93,6,73,844,5231,-,1,38,26,-,16,27.6,2675,98.9,98.5,0.5629816819050978,B
458,경기도 고양시_2017,13,17,14,12,19,25,30,29,1880,120,58,15028,54467,5,19,534,307,2,268,12.4,12922,92.9,99.7,2.085585427159646,D
459,경기도 구리시_2017,13,17,14,12,20,25,30,29,327,16,62,2694,9780,1,9,143,-,-,62,13.6,2720,99.6,99.9,2.4038215047212383,D
460,경기도 남양주시_2017,14,17,14,12,18,25,28,29,877,24,83,10905,41985,3,11,273,172,-,129,9.7,6446,95.9,96.9,1.7165643361618697,D
461,경기도 파주시_2017,14,16,15,13,17,24,29,30,490,30,95,7715,27888,1,2,165,108,1,81,9.7,4243,93.7,98.7,1.6458132551632751,D
462,경기도 양주시_2017,12,15,15,14,13,23,30,32,224,8,105,2983,13026,-,5,65,40,-,26,12.9,2729,92.3,97.7,1.4161272475458504,D
463,경기도 포천시_2017,11,12,10,11,12,19,23,24,135,7,102,1260,7217,2,3,57,34,-,22,11.7,1790,84.5,79.6,0.5281845539086387,B
464,경기도 연천군_2017,11,9,7,10,14,14,21,24,39,0,98,431,1802,-,-,13,12,-,7,7.1,323,87.0,94.0,0.1598714855862597,B
465,경기도 가평군_2017,10,10,11,10,10,17,23,24,60,4,91,374,2651,-,3,24,18,1,15,12.8,806,79.0,80.2,0.3670698455189821,B
466,강원특별자치도 춘천시_2017,11,14,12,14,20,21,26,32,420,33,61,3519,14701,2,4,4,156,80,1,15,4207,95.0,96.5,0.8982217745316192,C
467,강원특별자치도 원주시_2017,12,14,12,14,19,22,26,32,547,48,59,5233,19531,2,16,16,184,100,2,14.2,4853,87.3,93.2,1.4018979007725716,D
468,강원특별자치도 강릉시_2017,11,13,13,12,18,19,26,28,366,42,53,1932,10151,4,4,4,110,54,0,13.4,2864,91.7,94.7,0.549556518212774,B
469,강원특별자치도 동해시_2017,12,15,11,12,18,22,23,28,123,15,76,1318,5062,1,2,2,52,24,0,16.6,1541,97.8,99.2,0.5756906336002369,B
470,강원특별자치도 태백시_2017,9,10,9,10,15,16,23,27,47,3,93,407,2323,1,1,1,23,9,0,12.3,563,81.2,98.0,0.1492016660895209,A
471,강원특별자치도 속초시_2017,13,13,13,13,19,20,25,30,119,9,78,581,3870,2,0,0,60,30,0,9,739,99.5,99.7,0.7599530170655776,C
472,강원특별자치도 삼척시_2017,12,9,6,8,17,14,16,21,68,6,78,814,2783,1,1,1,26,14,0,6.6,454,88.3,92.0,0.209080044051261,B
473,강원특별자치도 홍천군_2017,10,7,8,12,14,12,19,29,77,4,78,661,2938,1,2,2,30,14,0,12,844,78.8,72.5,0.3202833515187021,B
474,강원특별자치도 횡성군_2017,11,7,5,8,14,12,13,22,46,0,70,278,1694,0,2,2,13,7,0,6.2,289,55.0,76.4,0.2812128822322432,B
475,강원특별자치도 영월군_2017,7,6,4,7,12,10,13,20,26,2,93,332,1387,1,1,1,12,6,0,9.8,391,72.7,78.2,0.2308881828233545,B
476,강원특별자치도 평창군_2017,9,7,7,8,13,11,18,22,36,1,95,336,1708,0,0,0,17,11,0,4.6,200,74.2,80.4,0.1977561455505596,B
477,강원특별자치도 정선군_2017,8,7,6,7,14,11,17,19,32,0,92,352,1516,0,2,2,10,5,0,6.8,261,85.9,80.2,0.100470996505892,A
478,강원특별자치도 철원군_2017,9,9,10,11,13,14,21,27,50,2,97,335,2326,0,1,1,17,8,0,7.8,368,80.4,90.1,0.213416319629506,B
479,강원특별자치도 화천군_2017,11,6,7,7,14,10,18,22,19,0,108,341,1117,0,0,0,8,5,0,2,52,68.4,65.3,0.2916506248104089,B
480,강원특별자치도 양구군_2017,11,7,6,10,13,11,17,26,18,0,121,147,1104,0,3,3,6,5,0,8.3,197,84.8,83.1,0.3830169557907174,B
481,강원특별자치도 인제군_2017,8,7,7,8,13,12,18,22,26,0,114,423,1590,0,1,1,8,6,0,4.2,138,73.7,81.8,0.3718644623061331,B
482,강원특별자치도 고성군_2017,10,5,6,8,15,9,16,21,16,0,103,201,959,0,0,0,8,5,0,-,-,86.9,84.2,0.1915904146637031,B
483,강원특별자치도 양양군_2017,7,6,7,9,11,9,16,21,21,1,97,228,962,0,0,0,6,5,0,0.2,5,68.5,89.8,0.193823487989151,B
484,경상남도 창원시_2017,13,14,13,11,22,22,27,28,1778,168,54,17609,57188,11,40,525,319,1,290,18.6,19643,100.0,98.2,1.597886775575458,D
485,경상남도 진주시_2017,12,14,12,12,20,22,26,29,791,71,37,4169,19689,3,13,177,108,1,95,17.7,6140,100.0,99.9,0.9691263921722852,C
486,경상남도 통영시_2017,12,14,11,14,19,21,24,32,228,8,58,1993,8135,-,8,73,35,-,26,15.9,2163,100.0,98.7,0.5307562664357527,B
487,경상남도 사천시_2017,10,13,11,8,15,20,24,22,194,10,44,993,6417,-,3,49,34,-,29,25.5,2917,100.0,95.6,0.3847843463654248,B
488,경상남도 김해시_2017,13,16,13,14,21,23,29,33,1085,70,60,9675,35186,5,25,213,127,3,105,20.9,11114,97.5,97.9,2.849356559119711,D
489,경상남도 밀양시_2017,12,10,10,11,17,17,24,24,136,9,47,1052,4248,-,9,46,24,1,23,22.6,2437,91.7,81.8,0.1876449524427856,B
490,경상남도 거제시_2017,14,15,12,16,21,22,27,38,432,29,66,5364,17487,3,6,96,58,-,47,9.4,2380,81.3,96.9,3.037757382320815,D
491,경상남도 양산시_2017,13,15,13,14,22,22,28,34,468,27,66,7033,19371,3,4,162,80,1,70,21.3,7208,100.0,98.2,2.26414259124258,D
492,경상남도 의령군_2017,7,5,7,8,8,8,19,25,19,0,66,156,802,-,1,11,5,-,6,22.3,620,98.2,69.7,0.0669145898696643,A
493,경상남도 함안군_2017,11,11,11,10,18,16,23,26,82,0,61,989,3704,-,3,21,12,-,14,17.8,1217,100.0,95.7,0.2383052404152981,B
494,경상남도 창녕군_2017,10,8,8,10,14,13,21,20,52,5,58,575,2215,-,2,28,13,-,15,35.1,2250,100.0,99.4,0.1875543734770736,B
495,경상남도 고성군_2017,6,7,7,10,11,12,18,23,67,2,53,290,2222,-,3,20,11,-,12,20.1,1085,98.7,79.6,0.0860290588212908,A
496,경상남도 남해군_2017,8,7,6,10,11,13,17,22,84,2,30,183,1422,-,2,24,9,-,10,6.5,288,100.0,67.4,0.0803384055157802,A
497,경상남도 하동군_2017,5,7,5,7,7,11,18,19,36,6,82,165,1645,-,1,21,12,-,9,14.4,701,100.0,54.4,0.03696720868641,A
498,경상남도 산청군_2017,7,6,5,6,11,10,15,17,23,1,99,182,1125,-,-,13,6,-,12,1,37,100.0,46.8,0.2161929658243594,B
499,경상남도 함양군_2017,9,8,8,9,13,13,19,25,43,1,68,328,1591,-,1,20,8,-,8,2.6,106,100.0,64.0,0.1795394862229073,B
500,경상남도 거창군_2017,12,10,7,10,16,16,19,25,80,4,55,591,2916,-,3,26,16,-,14,12.6,793,100.0,77.4,0.1610918096663311,B
501,경상남도 합천군_2017,8,5,6,7,12,8,17,19,40,1,51,300,1256,-,3,17,10,-,13,18.4,867,100.0,49.9,0.0,A
502,경상북도 포항시_2017,13,15,11,11,20,23,25,25,735,61,54,8680,26717,5,12,270,154,1,126,18.7,18.7,82.5,95.3,0.9307264516831152,C
503,경상북도 경주시_2017,14,13,10,11,20,21,23,25,332,26,49,3297,11757,1,10,111,56,1,68,18.3,18.3,90.8,91.8,0.3777530743887018,B
504,경상북도 김천시_2017,13,12,8,10,18,19,20,25,120,16,74,2145,6449,2,1,60,31,-,23,15.3,15.3,79.0,87.7,0.414057622450306,B
505,경상북도 안동시_2017,13,12,9,11,20,20,21,25,217,28,52,2413,8235,3,2,74,47,-,41,31.3,31.3,78.4,91.5,0.2404301995166741,B
506,경상북도 구미시_2017,14,16,12,14,20,25,25,32,815,62,58,10454,26881,3,10,212,108,-,91,9,9,98.1,99.7,4.49992221359479,D
507,경상북도 영주시_2017,13,12,8,11,18,20,20,26,159,16,41,1165,4982,-,4,52,28,1,26,19.3,19.3,86.7,88.1,0.2075953231752862,B
508,경상북도 영천시_2017,11,10,7,9,16,18,18,23,95,9,57,724,3573,1,3,57,20,1,35,21,21,72.2,95.0,0.2283123018510346,B
509,경상북도 상주시_2017,12,9,6,4,17,16,16,15,101,11,52,1329,4033,2,-,43,23,-,23,12,12,69.2,72.5,0.1189917421248508,A
510,경상북도 문경시_2017,12,10,8,6,18,16,20,22,75,8,56,890,2918,1,2,46,18,-,15,18.3,18.3,81.8,93.3,0.0211678216145394,A
511,경상북도 경산시_2017,11,13,12,14,17,22,24,28,306,25,55,4525,12565,1,4,137,64,-,60,17.3,17.3,91.3,99.2,1.017292968081094,C
512,경상북도 의성군_2017,7,6,5,7,9,11,16,20,21,1,108,182,1250,-,3,20,9,-,10,26.3,26.3,44.2,86.1,0.071276396108899,A
513,경상북도 청송군_2017,11,6,3,6,16,11,10,18,10,1,109,230,657,-,1,9,5,-,9,13.6,13.6,42.8,69.9,0.0372838784138346,A
514,경상북도 영양군_2017,6,6,3,7,8,11,9,17,8,0,116,110,553,-,1,1,3,-,2,2.9,2.9,54.5,87.5,0.0,A
515,경상북도 영덕군_2017,8,8,5,9,9,14,15,21,31,0,70,147,1205,-,1,18,9,-,9,6,6,74.1,89.9,0.0129005137990854,A
516,경상북도 청도군_2017,10,7,2,6,13,13,8,14,31,1,43,279,1153,-,1,20,9,-,12,35.3,35.3,55.7,77.5,0.1105869430436639,A
517,경상북도 고령군_2017,8,8,4,6,10,14,13,14,25,0,68,163,1233,-,1,13,8,-,11,9.6,9.6,60.3,93.6,0.0391893822234053,A
518,경상북도 성주군_2017,10,6,5,9,12,12,15,22,30,0,63,212,1225,-,2,19,9,-,10,22,22,37.3,72.6,0.1504521570702508,A
519,경상북도 칠곡군_2017,13,13,10,10,18,20,23,27,184,5,59,1973,7001,-,3,46,22,-,20,15.5,15.5,76.0,92.0,1.030306267759307,C
520,경상북도 예천군_2017,9,8,5,9,13,14,15,22,30,3,76,249,1377,-,1,16,10,-,9,13.1,13.1,53.0,83.5,0.663674487804444,C
521,경상북도 봉화군_2017,6,6,6,2,8,10,16,14,13,0,119,175,994,-,1,7,4,-,7,7.9,7.9,61.8,65.9,0.0553172487551607,A
522,경상북도 울진군_2017,10,9,7,9,12,15,18,23,53,3,73,266,2094,-,2,16,10,-,11,7.4,7.4,66.3,68.3,0.0793082599234219,A
523,경상북도 울릉군_2017,13,7,2,9,14,11,9,23,2,0,543,117,284,-,-,-,1,-,1,6.3,6.3,1.7,84.3,0.2274126810612941,B
524,광주광역시 동구_2017,11,10,9,13,17,18,19,30,191,116,26,844,3165,3,6,113,56,5,33,64,6110,99.5,100.0,0.4278561217319548,B
525,광주광역시 서구_2017,11,14,13,14,18,21,25,30,722,86,40,4766,17461,4,19,240,146,11,87,23.1,7100,99.9,100.0,1.865652868237472,D
526,광주광역시 남구_2017,12,14,10,14,20,21,24,30,502,41,38,3980,12820,3,12,122,101,17,44,30.6,6683,98.8,100.0,0.9682036175502026,C
527,광주광역시 북구_2017,11,13,11,14,18,21,24,31,827,127,42,6505,23464,5,23,237,170,32,83,26.7,11719,99.3,99.78,1.4753483587071436,D
528,광주광역시 광산구_2017,13,15,12,14,20,23,26,33,872,72,57,8559,31279,6,15,187,134,15,65,23.9,9655,96.8,99.8,4.226559519911322,D
529,대구광역시 중구_2017,14,13,10,14,18,21,23,33,131,164,45,810,4144,3,10,232,109,1,71,51.4,4062,100.0,100.0,0.4990488103371598,B
530,대구광역시 동구_2017,12,14,11,14,16,23,22,33,344,28,66,5567,17060,1,10,224,101,-,113,11.5,4001,98.7,99.8,0.6448901615778326,C
531,대구광역시 서구_2017,12,11,9,10,22,19,22,23,138,28,72,1403,6161,1,8,122,55,-,69,19.7,3791,100.0,100.0,0.2178862830569514,B
532,대구광역시 남구_2017,11,12,9,10,18,20,22,23,96,34,71,1675,4758,2,8,103,55,-,62,28.6,4368,100.0,100.0,0.3249403357007535,B
533,대구광역시 북구_2017,12,14,11,12,19,22,24,30,564,53,66,7488,23118,2,19,244,142,-,120,14.5,6379,99.8,99.99,1.639273250167862,D
534,대구광역시 수성구_2017,11,15,12,14,19,24,25,32,909,55,42,6348,23967,1,17,324,165,1,201,8.3,3666,99.6,100.0,1.2979408680206943,C
535,대구광역시 달서구_2017,13,14,12,12,22,23,25,29,879,71,59,9887,32135,2,33,354,198,-,175,13.3,7714,100.0,100.0,1.667763757662272,D
536,대구광역시 달성군_2017,14,12,11,11,22,20,23,29,310,11,66,5758,13365,-,7,112,59,-,56,9.9,2399,87.5,100.0,2.562469104136769,D
537,대전광역시 동구_2017,11,13,11,11,16,20,26,27,181,33,92,2403,11794,1,3,155,71,1,82,14.3,3300,99.17,99.99,0.6488767468568324,C
538,대전광역시 중구_2017,11,13,13,12,18,20,28,30,242,106,76,3725,13082,3,4,179,88,1,86,23.5,5846,99.45,100.0,0.7469813547530297,C
539,대전광역시 서구_2017,11,15,12,11,19,22,27,27,758,127,63,7866,26732,3,22,402,209,4,183,16.3,7930,99.32,99.89,2.530312816972449,D
540,대전광역시 유성구_2017,12,14,12,12,19,22,27,29,486,46,82,7387,23055,1,6,190,100,-,105,11.8,4112,91.67,99.82,4.898368236147097,D
541,대전광역시 대덕구_2017,12,11,11,9,17,19,24,23,232,12,67,2631,9577,2,4,111,49,-,47,15,2811,99.59,99.96,1.1900660787242834,C
542,부산광역시 중구_2017,9,14,11,9,17,21,24,23,30,27,250,189,1396,1,2,68,41,-,23,38,1681,100.0,100.0,0.201275846487018,B
543,부산광역시 서구_2017,13,12,12,10,25,20,26,26,105,5,69,1022,3694,4,2,61,33,1,37,46.4,5107,100.0,100.0,0.1731886530282965,B
544,부산광역시 동구_2017,12,12,11,12,20,18,24,24,42,31,96,820,2456,3,5,74,37,1,46,34,3022,100.0,100.0,0.2295352834897476,B
545,부산광역시 영도구_2017,11,12,9,12,18,19,22,24,79,1,81,967,4086,2,1,74,29,-,34,13.6,1686,100.0,100.0,0.1079911455158337,A
546,부산광역시 부산진구_2017,12,14,12,9,22,21,25,22,386,195,57,5297,15375,4,18,407,168,1,157,18.6,6898,100.0,100.0,0.7061863641591164,C
547,부산광역시 동래구_2017,12,16,14,14,22,23,27,30,486,50,47,3895,12486,3,15,179,132,-,110,22.8,6184,100.0,100.0,0.8513016055020185,C
548,부산광역시 남구_2017,12,14,13,11,21,22,26,26,288,52,70,2970,12130,1,5,152,93,-,85,12.7,3481,100.0,100.0,0.5434863974198331,B
549,부산광역시 북구_2017,12,14,11,12,22,21,25,29,362,32,69,4542,13403,2,8,161,90,-,75,15.8,4783,100.0,100.0,1.0148678562467317,C
550,부산광역시 해운대구_2017,12,15,13,14,21,23,27,32,626,34,58,5092,20391,2,12,308,163,1,128,15.5,6374,100.0,100.0,0.9841115349102396,C
551,부산광역시 사하구_2017,11,14,12,12,21,21,26,28,395,35,52,4307,14394,-,20,178,103,1,87,22.3,7424,100.0,100.0,0.9091061692080824,C
552,부산광역시 금정구_2017,11,14,13,11,22,21,25,26,342,49,49,2908,9690,1,10,138,91,2,80,23.8,5824,100.0,100.0,0.7062728982318894,C
