경상남도 고성군_2015,315,1.307,100.5,-0.84,55284,22765,3.5,59.2,77.3
경상남도 남해군_2015,182,1.238,91.2,-1.46,45865,19940,6.9,73.3,65.4
경상남도 하동군_2015,240,1.341,97.4,2.18,50259,19500,5.4,66.5,53.8
경상남도 산청군_2015,234,1.888,95.7,0.8,36071,15186,4.7,66.1,45.6
경상남도 함양군_2015,209,1.404,91.6,-0.7,40339,16841,5.3,75.0,57.0
경상남도 거창군_2015,338,1.234,94.2,0.12,63232,24917,6.1,81.0,74.6
경상남도 합천군_2015,169,0.98,91.0,-2.69,49145,20600,4.7,57.2,47.4
경상북도 포항시_2015,4604,1.475,102.4,0.07,519584,198722,6.8,96.0,95.0
경상북도 경주시_2015,1743,1.294,100.3,-0.36,259773,107047,5.4,94.0,91.0
경상북도 김천시_2015,1012,1.419,99.8,3.52,140132,54262,5.7,89.3,86.0
경상북도 안동시_2015,1475,1.619,97.4,0.29,169221,68214,4.6,93.2,91.0
경상북도 구미시_2015,4760,1.44,104.5,-0.17,419915,159782,8.8,99.8,99.0
경상북도 영주시_2015,654,1.357,98.7,-0.89,109735,43981,6.9,90.3,88.0
경상북도 영천시_2015,723,1.554,101.3,0.21,100648,41011,8.8,97.1,93.0
경상북도 상주시_2015,564,1.391,95.8,-0.51,102374,41375,4.8,79.2,74.0
경상북도 문경시_2015,526,1.571,96.1,-0.17,75784,30056,5.1,90.8,89.0
경상북도 경산시_2015,2477,1.457,101.3,1.29,256888,108004,4.8,99.3,99.0
대구광역시 군위군_2015,97,1.239,100.2,-0.12,24126,10176,8.0,92.0,72.0
경상북도 의성군_2015,249,1.505,95.2,-1.17,54477,23873,4.9,95.2,76.0
경상북도 청송군_2015,137,1.548,97.9,-0.44,26384,11404,6.8,77.3,68.0
경상북도 영양군_2015,90,1.517,96.8,-1.54,17898,7650,7.1,90.9,90.0
경상북도 영덕군_2015,215,1.542,90.6,-0.88,39191,17051,4.3,96.7,89.0
경상북도 청도군_2015,175,1.081,95.7,-0.33,43724,18189,3.4,87.6,71.0
경상북도 고령군_2015,255,1.71,103.9,-1.12,34594,14023,5.5,99.1,91.0
경상북도 성주군_2015,319,1.674,105.1,0.34,45029,17453,6.4,81.9,73.0
경상북도 칠곡군_2015,1361,1.583,107.4,0.69,122829,47393,10.6,95.2,90.0
경상북도 예천군_2015,252,1.544,96.1,-0.89,44674,18970,5.3,91.8,78.0
경상북도 봉화군_2015,193,1.623,98.5,-0.64,33808,13972,3.9,70.9,63.0
경상북도 울진군_2015,374,1.647,99.0,-0.4,51885,21767,5.6,83.7,68.0
경상북도 울릉군_2015,55,1.164,115.2,-1.12,10153,4104,6.6,92.3,86.0
광주광역시 동구_2015,679,1.072,99.9,-1.91,98784,44297,4.0,99.2,100.0
광주광역시 서구_2015,2233,1.03,96.7,-1.69,305028,118970,7.5,99.8,100.0
광주광역시 남구_2015,1600,1.089,93.8,0.73,221318,83918,5.5,98.7,100.0
광주광역시 북구_2015,3841,1.235,98.9,-0.26,446316,178485,3.5,99.2,99.8
광주광역시 광산구_2015,4088,1.427,100.9,1.1,400753,147511,4.0,96.7,99.5
대구광역시 중구_2015,664,1.157,95.3,2.67,80928,33818,8.0,100.0,100.0
대구광역시 동구_2015,3082,1.322,99.3,0.53,349728,132054,5.3,98.7,99.5
대구광역시 서구_2015,1219,0.985,102.4,-2.17,206028,81930,4.8,100.0,100.0
