광주광역시 서구_2015,99.8,100.0,110745,47777774,97973
광주광역시 남구_2015,98.7,100.0,112688,60872269,73586
광주광역시 북구_2015,99.2,99.8,114370,120297717,149640
광주광역시 광산구_2015,96.7,99.5,115187,201906113,133260
대구광역시 중구_2015,100.0,100.0,119722,7055265,25954
대구광역시 동구_2015,98.7,99.5,123586,146895864,112298
대구광역시 서구_2015,100.0,100.0,19303,17326096,54382
대구광역시 남구_2015,100.0,100.0,19474,17435694,41950
대구광역시 북구_2015,99.7,99.98,18979,94070533,131259
대구광역시 수성구_2015,99.4,100.0,18763,76465609,132563
대구광역시 달서구_2015,100.0,100.0,18640,62341541,176191
대구광역시 달성군_2015,82.5,100.0,18688,376372147,63503
대전광역시 동구_2015,97.97,99.98,18831,120563421,77218
대전광역시 중구_2015,99.43,99.98,17288,56218607,80402
대전광역시 서구_2015,99.7,99.87,17460,73093288,143769
대전광역시 유성구_2015,91.36,99.75,17620,177251011,105937
대전광역시 대덕구_2015,97.68,99.96,17801,68419960,61559
부산광역시 중구_2015,100.0,100.0,17963,4466946,16464
부산광역시 서구_2015,100.0,100.0,18519,29362772,39725
부산광역시 동구_2015,100.0,100.0,18754,11593305,30235
부산광역시 영도구_2015,100.0,100.0,27190,56165682,45992
부산광역시 부산진구_2015,100.0,100.0,27614,29682617,131457
부산광역시 동래구_2015,100.0,100.0,28339,16697578,82667
부산광역시 남구_2015,100.0,100.0,28691,42507261,100079
부산광역시 북구_2015,100.0,100.0,28728,39434038,104993
부산광역시 해운대구_2015,100.0,100.0,29533,55065412,139199
부산광역시 사하구_2015,100.0,100.0,29991,68381835,110491
부산광역시 금정구_2015,100.0,100.0,11313,65179775,79553
부산광역시 강서구_2015,85.19,100.0,11168,238454382,30060
부산광역시 연제구_2015,100.0,100.0,10387,12078474,66327
부산광역시 수영구_2015,100.0,100.0,10282,14084751,61123
부산광역시 사상구_2015,100.0,100.0,9826,36106274,73863
부산광역시 기장군_2015,91.04,100.0,9997,221563955,52124
서울특별시 종로구_2015,100.0,100.0,10114,23910000,43550
서울특별시 중구_2015,100.0,100.0,17339,9970000,37478
서울특별시 용산구_2015,100.0,100.0,17659,21870000,70723
서울특별시 성동구_2015,100.0,100.0,18180,16839500,82331
서울특별시 광진구_2015,100.0,100.0,18843,17050000,79393
서울특별시 동대문구_2015,100.0,100.0,19162,14626119,98203
서울특별시 중랑구_2015,100.0,100.0,19775,18530000,99265
서울특별시 성북구_2015,100.0,100.0,20217,24550000,128046
서울특별시 강북구_2015,100.0,100.0,4537581,23635959,91806
서울특별시 도봉구_2015,100.0,100.0,4647205,20850000,102443
서울특별시 노원구_2015,100.0,100.0,4773632,35459862,186626
서울특별시 은평구_2015,100.0,100.0,4934208,28791778,140330
서울특별시 서대문구_2015,100.0,100.0,5097857,17600000,92885
서울특별시 마포구_2015,100.0,100.0,5294836,23870000,116135
서울특별시 양천구_2015,100.0,100.0,5492783,17410000,134097
서울특별시 강서구_2015,100.0,100.0,23320,41400000,179045
서울특별시 구로구_2015,100.0,100.0,24017,20119485,118047
서울특별시 금천구_2015,100.0,100.0,24606,13370000,57096
서울특별시 영등포구_2015,100.0,100.0,25133,24354829,96195
서울특별시 동작구_2015,100.0,100.0,25361,16387882,109362
서울특별시 관악구_2015,100.0,100.0,26056,29570000,121277
서울특별시 서초구_2015,100.0,100.0,26659,47138000,125403
서울특별시 강남구_2015,100.0,100.0,357370,39550000,176654
서울특별시 송파구_2015,100.0,100.0,363388,33858375,187030
서울특별시 강동구_2015,100.0,100.0,370113,24556203,119824
울산광역시 중구_2015,99.8,100.0,375860,37063741,69071
울산광역시 남구_2015,99.9,100.0,390836,73691355,104365
울산광역시 동구_2015,100.0,99.4,404705,36351722,53323
울산광역시 북구_2015,98.5,99.0,417004,120602619,57734
울산광역시 울주군_2015,95.5,91.1,22728,487841070,73181
인천광역시 강화군_2015,46.0,68.2,21368,17306615,26609
인천광역시 옹진군_2015,35.0,26.1,18637,7576815,6731
인천광역시 중구_2015,87.0,96.3,18813,141043696,41170
인천광역시 동구_2015,100.0,100.0,19023,7611804,25474
인천광역시 미추홀구_2015,100.0,100.0,20629,24644025,133023
인천광역시 연수구_2015,100.0,100.0,23867,118979885,96889
인천광역시 남동구_2015,100.0,99.9,120612,69090152,171768
인천광역시 부평구_2015,100.0,100.0,119951,31987758,173141
인천광역시 계양구_2015,100.0,100.0,120086,45550111,107880
인천광역시 서구_2015,99.0,99.9,120765,111605882,159559
전라남도 목포시_2015,97.9,99.7,118926,112490000,87463
전라남도 여수시_2015,83.9,85.4,114422,345097039,108842
전라남도 순천시_2015,89.8,94.2,113282,198748000,102667
전라남도 나주시_2015,58.8,78.6,111807,104170378,42150
전라남도 광양시_2015,92.1,85.4,116834,176887820,57939
전라남도 담양군_2015,63.8,75.4,125090,133453605,17050
전라남도 곡성군_2015,68.2,77.9,135384,15477288,13087
전라남도 구례군_2015,88.6,58.1,141279,10906000,11287
전라남도 고흥군_2015,44.4,65.9,147712,31675678,32786
전라남도 보성군_2015,55.4,55.8,152450,24034080,19830
전라남도 화순군_2015,71.9,90.3,64598,74012000,27448
전라남도 장흥군_2015,59.7,77.2,66610,37238230,17192
전라남도 강진군_2015,56.1,57.6,69553,27041759,16553
전라남도 해남군_2015,45.5,60.9,72501,37986279,29935
전라남도 영암군_2015,70.6,80.7,72624,101048377,25088
전라남도 무안군_2015,57.8,86.4,73909,48439987,32005
