±∏∫–,«◊∏Ò,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
º”√ ,≥‚∆Ú±’,,,,,16.55 ,12.27 ,11.90 ,10.42 ,19.50 
øµø˘,≥‚∆Ú±’,,,,,25.00 ,20.64 ,13.42 ,15.42 ,15.42 
√∂ø¯,≥‚∆Ú±’,,,,,21.75 ,19.50 ,16.08 ,15.00 ,17.09 
»´√µ,≥‚∆Ú±’,,,,,22.36 ,21.00 ,16.58 ,17.58 ,18.67 
»≠√µ,≥‚∆Ú±’,,,,,20.25 ,16.00 ,14.67 ,15.75 ,16.78 
≈¬πÈ,≥‚∆Ú±’,,,,,20.73 ,19.33 ,11.25 ,11.00 ,10.50 
¿Œ¡¶,≥‚∆Ú±’,,,,,15.63 ,15.50 ,13.20 ,11.33 ,11.58 
µµ∆Ú±’,≥‚∆Ú±’,26.50 ,28.08 ,26.18 ,23.09 ,21.33 ,17.00 ,14.83 ,14.83 ,15.33 
±´ªÍ,≥‚∆Ú±’,,,,,26.36 ,21.25 ,20.08 ,20.75 ,20.25 
¿Ωº∫,≥‚∆Ú±’,,,,,28.09 ,23.08 ,20.58 ,22.08 ,21.00 
√ª¡÷,≥‚∆Ú±’,28.00 ,28.75 ,28.58 ,28.75 ,28.50 ,22.25 ,21.08 ,20.67 ,20.50 
√Ê¡÷,≥‚∆Ú±’,33.00 ,24.08 ,28.00 ,26.00 ,27.18 ,19.67 ,18.00 ,20.17 ,21.25 
¡¶√µ,≥‚∆Ú±’,28.00 ,23.58 ,27.58 ,26.75 ,26.08 ,20.30 ,18.67 ,18.58 ,19.25 
¥‹æÁ,≥‚∆Ú±’,28.00 ,21.58 ,22.67 ,24.83 ,28.67 ,19.25 ,17.67 ,18.50 ,19.83 
