±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
∆Ú√¢,≥‚∆Ú±’,,,,,0.45,0.38,0.32,0.38,0.35,0.31
æÁæÁ,≥‚∆Ú±’,,,,,,0.45,0.42,0.5,0.4,0.42
º”√ ,≥‚∆Ú±’,,,,,,0.45,0.42,0.42,0.32,0.3
øµø˘,≥‚∆Ú±’,,,,,,0.44,0.43,0.46,0.46,0.51
√∂ø¯,≥‚∆Ú±’,,,,,,0.48,0.43,0.43,0.32,0.22
»´√µ,≥‚∆Ú±’,,,,,,0.45,0.47,0.43,0.31,0.32
»≠√µ,≥‚∆Ú±’,,,,,,0.49,0.44,0.38,0.35,0.36
≈¬πÈ,≥‚∆Ú±’,,,,,,0.35,0.42,0.35,0.38,0.41
¿Œ¡¶,≥‚∆Ú±’,,,,,,0.46,0.4,0.47,0.33,0.31
µµ∆Ú±’,≥‚∆Ú±’,0.63,0.6,0.55,0.49,0.45,0.45,0.42,0.44,0.38,0.38
±´ªÍ,≥‚∆Ú±’,,,,,,0.45,0.43,0.41,0.33,0.33
¿Ωº∫,≥‚∆Ú±’,,,,,,0.44,0.39,0.43,0.41,0.37
√ª¡÷,≥‚∆Ú±’,0.45,0.5,0.47,0.51,0.46,0.43,0.43,0.43,0.38,0.4
√Ê¡÷,≥‚∆Ú±’,0.53,0.48,0.46,0.47,0.47,0.54,0.45,0.46,0.45,0.46
¡¶√µ,≥‚∆Ú±’,0.62,0.65,0.67,0.68,0.58,0.46,0.53,0.53,0.52,0.51
√ªø¯,≥‚∆Ú±’,0.43,,,,,,,,,
¥‹æÁ,≥‚∆Ú±’,0.56,0.53,0.62,0.72,0.56,0.44,0.52,0.51,0.5,0.51
¡¯√µ,≥‚∆Ú±’,,,0.48,0.46,0.54,0.5,0.47,0.45,0.37,0.34
ø¡√µ,≥‚∆Ú±’,,,,0.43,0.42,0.45,0.46,0.51,0.43,0.42
øµµø,≥‚∆Ú±’,,,,,0.34,0.4,0.43,0.36,0.31,0.35
¡ı∆Ú,≥‚∆Ú±’,,,,,0.34,0.4,0.42,0.44,0.33,0.35
∫∏¿∫,≥‚∆Ú±’,,,,,,0.46,0.47,0.44,0.31,0.34
µµ∆Ú±’,≥‚∆Ú±’,0.52,0.52,0.53,0.51,0.48,0.46,0.44,0.45,0.4,0.41
√µæ»,≥‚∆Ú±’,0.58,0.58,0.49,0.49,0.56,0.55,0.49,0.44,0.4,0.42
¥Á¡¯,≥‚∆Ú±’,0.37,0.43,0.38,0.45,0.58,0.58,0.48,0.48,0.44,0.42
º≠ªÍ,≥‚∆Ú±’,0.59,0.56,0.53,0.54,0.53,0.6,0.45,0.43,0.39,0.39
æ∆ªÍ,≥‚∆Ú±’,0.66,0.73,0.56,0.53,0.43,0.45,0.39,0.38,0.38,0.39
≥ÌªÍ,≥‚∆Ú±’,,,,0.47,0.49,0.53,0.49,0.47,0.41,0.41
≈¬æ»,≥‚∆Ú±’,,,,0.44,0.5,0.52,0.48,0.43,0.4,0.42
∫∏∑…,≥‚∆Ú±’,,,,0.38,0.45,0.48,0.43,0.51,0.35,0.38
»´º∫,≥‚∆Ú±’,,,,0.4,0.41,0.49,0.41,0.4,0.34,0.36
∞¯¡÷,≥‚∆Ú±’,,,,0.37,0.35,0.41,0.34,0.33,0.29,0.32
∫Œø©,≥‚∆Ú±’,,,,0.48,0.49,0.54,0.52,0.41,0.43,0.46
