,인구밀도,오존
2014,335.8249085824909,
2015,453.611529361153,
2016,522.79630027963,0.028
2017,602.4951602495161,0.03
2018,675.6850935685094,0.027
2019,732.5768982576899,0.028
2020,765.3925575392558,0.029
2021,799.9462249946225,0.031
2022,825.1043235104324,0.032
2023,831.236559139785,0.03
