시도별,하수도보급률,상수도보급률
전라남도 순천시_2020,96.1,96.7
전라남도 나주시_2020,77.4,83.1
전라남도 광양시_2020,94,88.3
전라남도 담양군_2020,73.4,79
전라남도 곡성군_2020,81.4,85.7
전라남도 구례군_2020,90.5,73.9
전라남도 고흥군_2020,56.8,75.8
전라남도 보성군_2020,59.8,60.3
전라남도 화순군_2020,83.9,90.4
전라남도 장흥군_2020,64.7,87.1
전라남도 강진군_2020,65,66.9
전라남도 해남군_2020,50.8,77.7
전라남도 영암군_2020,75.7,88.9
전라남도 무안군_2020,67.2,98.7
전라남도 함평군_2020,74.1,93.1
전라남도 영광군_2020,63.8,95
전라남도 장성군_2020,65.3,93.1
전라남도 완도군_2020,61.3,97.3
전라남도 진도군_2020,98.1,99
전라남도 신안군_2020,43.3,89.8
전북특별자치도 전주시_2020,99,100
전북특별자치도 군산시_2020,91,99.1
전북특별자치도 익산시_2020,92,99.4
전북특별자치도 정읍시_2020,83,98.8
전북특별자치도 남원시_2020,82,93.5
전북특별자치도 김제시_2020,66,100
전북특별자치도 완주군_2020,83,85.9
전북특별자치도 진안군_2020,82,84
전북특별자치도 무주군_2020,69,84.3
전북특별자치도 장수군_2020,84,90
전북특별자치도 임실군_2020,68,92.2
전북특별자치도 순창군_2020,60,83.2
전북특별자치도 고창군_2020,75,99.6
전북특별자치도 부안군_2020,78,99.9
제주특별자치도 제주시_2020,93.2,100
제주특별자치도 서귀포시_2020,93.6,100
충청남도 천안시_2020,96.8,97.1
충청남도 공주시_2020,79.1,89.5
충청남도 보령시_2020,78.4,89.5
충청남도 아산시_2020,86.6,97.7
충청남도 서산시_2020,79.4,98.6
충청남도 논산시_2020,77.4,93.3
충청남도 계룡시_2020,97.3,97.9
충청남도 당진시_2020,69.6,90.6
충청남도 금산군_2020,81,83.8
충청남도 부여군_2020,66.7,88.4
충청남도 서천군_2020,60,87.8
충청남도 청양군_2020,55.6,48.7
충청남도 홍성군_2020,73,92.7
충청남도 예산군_2020,62.6,79.4
충청남도 태안군_2020,59.5,96.5
충청북도 청주시_2020,94,97.2
충청북도 충주시_2020,93.5,94.4
충청북도 제천시_2020,93.4,94.6
충청북도 보은군_2020,77.8,53.5
충청북도 옥천군_2020,90.5,89.2
충청북도 영동군_2020,70.3,80.4
충청북도 증평군_2020,97.1,99.9
충청북도 진천군_2020,79.4,92.3
충청북도 괴산군_2020,49.6,71.6
충청북도 음성군_2020,63.5,89.9
충청북도 단양군_2020,77.6,77.2
서울특별시_2020,0,0
인천광역시_2020,0,0
경기도_2020,0,0
강원도_2020,0,0
충청남도_2020,0,0
충청북도 _2020,0,0
대전광역시_2020,0,0
전북특별자치도_2020,0,0
전라남도_2020,0,0
광주광역시_2020,0,0
경상북도_2020,0,0
대구광역시_2020,0,0
경상남도_2020,0,0
울산광역시_2020,0,0
부산광역시_2020,0,0
제주특별자치도_2020,0,0
