시도별_2016,하수도보급률,상수도보급률
경기도 수원시_2016,99,100
경기도 성남시_2016,99.6,99.9
경기도 안양시_2016,100,100
경기도 부천시_2016,99.9,100
경기도 광명시_2016,98.7,100
경기도 평택시_2016,83.6,97.8
경기도 안산시_2016,98.9,99.8
경기도 과천시_2016,98.5,99.7
경기도 오산시_2016,98.9,100
경기도 시흥시_2016,93.9,99.9
경기도 군포시_2016,99.7,100
경기도 의왕시_2016,99.3,99.9
경기도 하남시_2016,94.8,98
경기도 용인시_2016,92.9,98.5
경기도 이천시_2016,91,94
경기도 안성시_2016,77.5,91.2
경기도 김포시_2016,84.4,92.7
경기도 화성시_2016,83.2,98.4
경기도 광주시_2016,94.3,88.9
경기도 여주시_2016,81.2,85.6
경기도 양평군_2016,78,65.6
경기도 의정부시_2016,98.8,99.6
경기도 동두천시_2016,99,99.3
경기도 고양시_2016,92.1,99.6
경기도 구리시_2016,100,99.9
경기도 남양주시_2016,97.3,100
경기도 파주시_2016,93.5,98.4
경기도 양주시_2016,91.1,97.4
경기도 포천시_2016,65.6,75.9
경기도 연천군_2016,86.8,94.3
경기도 가평군_2016,78.2,77
강원특별자치도 춘천시_2016,93.4,96
강원특별자치도 원주시_2016,90.2,92.9
강원특별자치도 강릉시_2016,91.5,94.7
강원특별자치도 동해시_2016,98.1,99
강원특별자치도 태백시_2016,81.2,98
강원특별자치도 속초시_2016,99.5,99.7
강원특별자치도 삼척시_2016,88.8,89.5
강원특별자치도 홍천군_2016,73.8,71.5
강원특별자치도 횡성군_2016,55,74.6
강원특별자치도 영월군_2016,72.7,76.1
강원특별자치도 평창군_2016,68.1,80.2
강원특별자치도 정선군_2016,85.8,80.3
강원특별자치도 철원군_2016,79.5,90.4
강원특별자치도 화천군_2016,68.4,62.9
강원특별자치도 양구군_2016,84.1,80.8
강원특별자치도 인제군_2016,80.3,81.5
강원특별자치도 고성군_2016,85.7,83.2
강원특별자치도 양양군_2016,63.7,87.8
경상남도 창원시_2016,96.3,98.2
경상남도 진주시_2016,91.9,99.9
경상남도 통영시_2016,82.7,98.5
경상남도 사천시_2016,93.5,95.6
경상남도 김해시_2016,96.6,97.7
경상남도 밀양시_2016,73.1,79.2
경상남도 거제시_2016,85.8,96.9
경상남도 양산시_2016,96.5,96.9
경상남도 의령군_2016,63.2,68.9
경상남도 함안군_2016,52.9,92.8
경상남도 창녕군_2016,69.2,99.2
경상남도 고성군_2016,59.2,79.4
경상남도 남해군_2016,74.9,66.1
경상남도 하동군_2016,70.1,54
경상남도 산청군_2016,64,46.7
