시도별,하수도보급률,상수도보급률
경기도 수원시_2019,99.8,100
경기도 성남시_2019,99.6,100
경기도 안양시_2019,100,100
경기도 부천시_2019,99.9,100
경기도 광명시_2019,99.6,99.9
경기도 평택시_2019,82.5,99.9
경기도 안산시_2019,99.1,99.8
경기도 과천시_2019,98.5,98.5
경기도 오산시_2019,99,100
경기도 시흥시_2019,97.6,99.9
경기도 군포시_2019,99.8,100
경기도 의왕시_2019,99.5,99.9
경기도 하남시_2019,96,98.5
경기도 용인시_2019,92.9,99.2
경기도 이천시_2019,92.1,98.8
경기도 안성시_2019,77.7,92.9
경기도 김포시_2019,90.1,95.1
경기도 화성시_2019,85.1,100
경기도 광주시_2019,96.1,91.7
경기도 여주시_2019,84.1,89.5
경기도 양평군_2019,79.3,79.4
경기도 의정부시_2019,98.9,99.3
경기도 동두천시_2019,98.9,98.5
경기도 고양시_2019,92.7,99.7
경기도 구리시_2019,99.6,99.9
경기도 남양주시_2019,96.6,97.2
경기도 파주시_2019,93.9,99.1
경기도 양주시_2019,93.1,98.1
경기도 포천시_2019,84.9,89.8
경기도 연천군_2019,88.9,98
경기도 가평군_2019,81.2,81.7
강원특별자치도 춘천시_2019,95.3,97.3
강원특별자치도 원주시_2019,91.1,95.5
강원특별자치도 강릉시_2019,91.8,95.8
강원특별자치도 동해시_2019,98.4,99.6
강원특별자치도 태백시_2019,81.1,98
강원특별자치도 속초시_2019,99.5,99.6
강원특별자치도 삼척시_2019,89.4,91.2
강원특별자치도 홍천군_2019,78.7,75.1
강원특별자치도 횡성군_2019,67.7,81.8
강원특별자치도 영월군_2019,76.1,77.3
강원특별자치도 평창군_2019,77.9,81.9
강원특별자치도 정선군_2019,88.8,81.4
강원특별자치도 철원군_2019,84.6,89
강원특별자치도 화천군_2019,70.6,68.3
강원특별자치도 양구군_2019,85.8,81.3
강원특별자치도 인제군_2019,75.7,85.4
강원특별자치도 고성군_2019,88.2,86.1
강원특별자치도 양양군_2019,79.8,92.1
경상남도 창원시_2019,96.6,98.6
경상남도 진주시_2019,92.2,100
경상남도 통영시_2019,86.3,99
경상남도 사천시_2019,96.9,96.6
경상남도 김해시_2019,99.5,98.3
경상남도 밀양시_2019,84.3,85.4
경상남도 거제시_2019,85.1,97.4
경상남도 양산시_2019,98.4,98.4
경상남도 의령군_2019,64.9,73
경상남도 함안군_2019,59.7,96.2
경상남도 창녕군_2019,76.8,99.8
경상남도 고성군_2019,65.9,80.3
경상남도 남해군_2019,80,73.7
경상남도 하동군_2019,75.5,58
경상남도 산청군_2019,64.9,47.1
경상남도 함양군_2019,77.9,62.3
경상남도 거창군_2019,83.2,77.1
경상남도 합천군_2019,67.1,53.5
경상북도 포항시_2019,83.6,95.9
경상북도 경주시_2019,94.5,93.8
경상북도 김천시_2019,81.9,87.9
경상북도 안동시_2019,80.1,92.9
경상북도 구미시_2019,98,99.9
경상북도 영주시_2019,87,89.3
경상북도 영천시_2019,71.7,95.6
경상북도 상주시_2019,72.6,74.4
경상북도 문경시_2019,82.6,94.3
경상북도 경산시_2019,93.2,99.3
경상북도 군위군_2019,35.5,76.1
경상북도 의성군_2019,45.6,91.5
경상북도 청송군_2019,44.5,73.5
경상북도 영양군_2019,58.4,90.6
경상북도 영덕군_2019,75.6,94
경상북도 청도군_2019,56.3,80.8
경상북도 고령군_2019,62.4,97.3
경상북도 성주군_2019,43.3,76.6
경상북도 칠곡군_2019,77,94.2
경상북도 예천군_2019,60.1,89
경상북도 봉화군_2019,61.5,68.8
경상북도 울진군_2019,69.3,74.4
경상북도 울릉군_2019,1.6,91.3
광주광역시 동구_2019,99.7,100
광주광역시 서구_2019,99.8,100
광주광역시 남구_2019,99,100
광주광역시 북구_2019,99.5,99.78
광주광역시 광산구_2019,97.8,99.97
대구광역시 중구_2019,100,100
대구광역시 동구_2019,99,99.8
대구광역시 서구_2019,100,100
대구광역시 남구_2019,100,100
대구광역시 북구_2019,99.8,100
대구광역시 수성구_2019,99.6,100
대구광역시 달서구_2019,100,100
대구광역시 달성군_2019,91.1,100
대전광역시 동구_2019,99.23,99.99
대전광역시 중구_2019,99.43,100
대전광역시 서구_2019,99.31,99.92
대전광역시 유성구_2019,92.74,99.81
대전광역시 대덕구_2019,99.56,99.98
부산광역시 중구_2019,100,100
부산광역시 서구_2019,100,100
부산광역시 동구_2019,100,100
부산광역시 영도구_2019,100,100
부산광역시 부산진구_2019,100,100
부산광역시 동래구_2019,100,100
부산광역시 남구_2019,100,100
부산광역시 북구_2019,100,100
부산광역시 해운대구_2019,100,100
부산광역시 사하구_2019,100,100
부산광역시 금정구_2019,100,100
부산광역시 강서구_2019,94.4,100
부산광역시 연제구_2019,100,100
부산광역시 수영구_2019,100,100
부산광역시 사상구_2019,100,100
부산광역시 기장군_2019,91.8,100
서울특별시 종로구_2019,100,100
서울특별시 중구_2019,100,100
서울특별시 용산구_2019,100,100
서울특별시 성동구_2019,100,100
서울특별시 광진구_2019,100,100
서울특별시 동대문구_2019,100,100
서울특별시 중랑구_2019,100,100
서울특별시 성북구_2019,100,100
서울특별시 강북구_2019,100,100
서울특별시 도봉구_2019,100,100
서울특별시 노원구_2019,100,100
서울특별시 은평구_2019,100,100
서울특별시 서대문구_2019,100,100
서울특별시 마포구_2019,100,100
서울특별시 양천구_2019,100,100
서울특별시 강서구_2019,100,100
서울특별시 구로구_2019,100,100
서울특별시 금천구_2019,99,100
서울특별시 영등포구_2019,100,100
서울특별시 동작구_2019,100,100
서울특별시 관악구_2019,100,100
서울특별시 서초구_2019,100,100
서울특별시 강남구_2019,100,100
서울특별시 송파구_2019,100,100
서울특별시 강동구_2019,100,100
세종특별자치시_2019,96.8,95.7
울산광역시 중구_2019,99.8,100
울산광역시 남구_2019,99.9,100
울산광역시 동구_2019,99.9,99.9
울산광역시 북구_2019,99.1,99.9
울산광역시 울주군_2019,96.2,93.2
인천광역시 강화군_2019,34.2,77.2
인천광역시 옹진군_2019,45.1,35.4
인천광역시 중구_2019,88.4,99.5
인천광역시 동구_2019,98.3,100
인천광역시 미추홀구_2019,100,100
인천광역시 연수구_2019,99.6,100
인천광역시 남동구_2019,99.2,100
인천광역시 부평구_2019,100,100
인천광역시 계양구_2019,99.3,100
인천광역시 서구_2019,99.1,100
전라남도 목포시_2019,98,99.8
전라남도 여수시_2019,84.2,93.1
전라남도 순천시_2019,96,96.5
전라남도 나주시_2019,72.1,82.8
전라남도 광양시_2019,93.5,87.8
전라남도 담양군_2019,73.4,78.9
전라남도 곡성군_2019,80.6,81.3
전라남도 구례군_2019,89.3,72.2
전라남도 고흥군_2019,57.3,76.7
전라남도 보성군_2019,58.1,59.3
전라남도 화순군_2019,83.2,88.1
전라남도 장흥군_2019,59.5,86.4
전라남도 강진군_2019,64.7,65.7
전라남도 해남군_2019,47.5,75.8
전라남도 영암군_2019,73.1,86.6
전라남도 무안군_2019,66.3,98.7
전라남도 함평군_2019,68.9,90.7
전라남도 영광군_2019,62,94
전라남도 장성군_2019,62.4,92.6
전라남도 완도군_2019,57.7,96.4
전라남도 진도군_2019,66.3,99
전라남도 신안군_2019,37.8,89.9
전북특별자치도 전주시_2019,99,99.9
전북특별자치도 군산시_2019,91,99
전북특별자치도 익산시_2019,92,99.4
전북특별자치도 정읍시_2019,81,98.8
전북특별자치도 남원시_2019,81,92.9
전북특별자치도 김제시_2019,65,100
전북특별자치도 완주군_2019,87,83.1
전북특별자치도 진안군_2019,79,85.1
전북특별자치도 무주군_2019,79,82.6
전북특별자치도 장수군_2019,83,86.3
전북특별자치도 임실군_2019,63,88.7
전북특별자치도 순창군_2019,59,81.6
전북특별자치도 고창군_2019,73,99.6
전북특별자치도 부안군_2019,81,99.8
제주특별자치도 제주시_2019,93.1,100
제주특별자치도 서귀포시_2019,93.4,100
충청남도 천안시_2019,96.62,99.1
충청남도 공주시_2019,73.78,96.7
충청남도 보령시_2019,75.06,98.4
충청남도 아산시_2019,85.6,99.8
충청남도 서산시_2019,78.33,98.3
충청남도 논산시_2019,72.83,94.1
충청남도 계룡시_2019,96.68,99.4
충청남도 당진시_2019,66.14,96.1
충청남도 금산군_2019,78.69,91.6
충청남도 부여군_2019,64.13,94.8
충청남도 서천군_2019,56.33,97
충청남도 청양군_2019,53.18,93
충청남도 홍성군_2019,71.5,98.8
충청남도 예산군_2019,60.1,94.6
충청남도 태안군_2019,58.4,92.9
충청북도 청주시_2019,93.1,97.1
충청북도 충주시_2019,92.8,93.5
충청북도 제천시_2019,93.5,94.6
충청북도 보은군_2019,76.5,53.2
충청북도 옥천군_2019,87.8,88.5
충청북도 영동군_2019,70,79.9
충청북도 증평군_2019,97.1,99.9
충청북도 진천군_2019,78.5,90.8
충청북도 괴산군_2019,49.5,70.3
충청북도 음성군_2019,62.5,87.4
충청북도 단양군_2019,78.1,75.3
서울특별시_2019,0,0
인천광역시_2019,0,0
경기도_2019,0,0
강원도_2019,0,0
충청남도_2019,0,0
충청북도 _2019,0,0
대전광역시_2019,0,0
전북특별자치도_2019,0,0
전라남도_2019,0,0
광주광역시_2019,0,0
경상북도_2019,0,0
대구광역시_2019,0,0
경상남도_2019,0,0
울산광역시_2019,0,0
부산광역시_2019,0,0
제주특별자치도_2019,0,0
