시도별_2015,하수도보급률,상수도보급률
전라남도 담양군_2015,63.8,75.4
전라남도 곡성군_2015,68.2,77.9
전라남도 구례군_2015,88.6,58.1
전라남도 고흥군_2015,44.4,65.9
전라남도 보성군_2015,55.4,55.8
전라남도 화순군_2015,71.9,90.3
전라남도 장흥군_2015,59.7,77.2
전라남도 강진군_2015,56.1,57.6
전라남도 해남군_2015,45.5,60.9
전라남도 영암군_2015,70.6,80.7
전라남도 무안군_2015,57.8,86.4
전라남도 함평군_2015,50.4,68
전라남도 영광군_2015,53.2,91.5
전라남도 장성군_2015,58.5,82.4
전라남도 완도군_2015,49.8,96.2
전라남도 진도군_2015,60,99.6
전라남도 신안군_2015,31.3,88.5
전북특별자치도 전주시_2015,99,99.7
전북특별자치도 군산시_2015,92,98.2
전북특별자치도 익산시_2015,87,99
전북특별자치도 정읍시_2015,75,98
전북특별자치도 남원시_2015,80,86.5
전북특별자치도 김제시_2015,59,99.7
전북특별자치도 완주군_2015,66,76.4
전북특별자치도 진안군_2015,70,70.6
전북특별자치도 무주군_2015,74,73.9
전북특별자치도 장수군_2015,72,76.4
전북특별자치도 임실군_2015,57,81.9
전북특별자치도 순창군_2015,49,69.1
전북특별자치도 고창군_2015,63,99.1
전북특별자치도 부안군_2015,67,99.9
제주특별자치도 제주시_2015,91,100
제주특별자치도 서귀포시_2015,92.6,100
충청남도 천안시_2015,95.99,91.8
충청남도 공주시_2015,68.27,96.9
충청남도 보령시_2015,66.3,94.5
충청남도 아산시_2015,71,97.5
충청남도 서산시_2015,71.63,93.1
충청남도 논산시_2015,61.99,91.6
충청남도 계룡시_2015,95.79,99
충청남도 당진시_2015,61.5,88.9
충청남도 금산군_2015,74.07,95.3
충청남도 부여군_2015,50.63,91.6
충청남도 서천군_2015,51.12,94.1
충청남도 청양군_2015,50.36,92.3
충청남도 홍성군_2015,66.27,96.6
충청남도 예산군_2015,57.08,91.8
충청남도 태안군_2015,52.25,81
충청북도 청주시_2015,92.2,96.7
충청북도 충주시_2015,92.3,89.3
충청북도 제천시_2015,94.8,90.8
충청북도 보은군_2015,70.9,47.7
충청북도 옥천군_2015,86.2,84
충청북도 영동군_2015,67.1,77
충청북도 증평군_2015,93,99
충청북도 진천군_2015,75.3,81.8
충청북도 괴산군_2015,47.9,58.3
충청북도 음성군_2015,51.9,83.5
충청북도 단양군_2015,73.2,72.3
서울특별시_2015,0,0
인천광역시_2015,0,0
경기도_2015,0,0
강원도_2015,0,0
충청남도_2015,0,0
충청북도 _2015,0,0
대전광역시_2015,0,0
전북특별자치도_2015,0,0
전라남도_2015,0,0
광주광역시_2015,0,0
경상북도_2015,0,0
대구광역시_2015,0,0
경상남도_2015,0,0
울산광역시_2015,0,0
부산광역시_2015,0,0
제주특별자치도_2015,0,0
