행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시_2016,10.0,12.0,9.0,10.0,17.0,19.0,21.0,23.0,249.0,8.0,24.0,1036.0,3534.0
경기도 수원시_2016,14.0,17.0,15.0,13.0,20.0,26.0,30.0,31.0,1877.0,171.0,68.0,21223.0,68571.0
경기도 성남시_2016,12.0,16.0,13.0,12.0,20.0,25.0,29.0,29.0,1687.0,106.0,51.0,11509.0,47233.0
경기도 안양시_2016,13.0,17.0,14.0,13.0,19.0,25.0,29.0,31.0,1048.0,66.0,52.0,7316.0,30053.0
경기도 부천시_2016,14.0,16.0,14.0,11.0,19.0,25.0,30.0,26.0,1161.0,99.0,71.0,11662.0,41012.0
경기도 광명시_2016,15.0,17.0,13.0,12.0,22.0,26.0,28.0,29.0,524.0,16.0,73.0,4637.0,20192.0
경기도 평택시_2016,13.0,15.0,14.0,14.0,16.0,23.0,28.0,31.0,624.0,36.0,68.0,7953.0,28000.0
경기도 안산시_2016,14.0,17.0,15.0,13.0,19.0,25.0,29.0,30.0,937.0,77.0,83.0,9753.0,38137.0
경기도 과천시_2016,14.0,17.0,15.0,11.0,19.0,25.0,31.0,25.0,73.0,2.0,100.0,694.0,3379.0
경기도 오산시_2016,16.0,16.0,15.0,14.0,20.0,26.0,32.0,33.0,233.0,10.0,113.0,6673.0,15381.0
경기도 시흥시_2016,14.0,16.0,15.0,14.0,19.0,24.0,29.0,32.0,561.0,32.0,89.0,5273.0,24816.0
경기도 군포시_2016,14.0,16.0,14.0,14.0,22.0,25.0,29.0,32.0,396.0,30.0,77.0,4241.0,16234.0
경기도 의왕시_2016,13.0,16.0,14.0,12.0,21.0,24.0,28.0,27.0,182.0,3.0,73.0,2004.0,7707.0
경기도 하남시_2016,16.0,17.0,13.0,9.0,20.0,25.0,27.0,22.0,166.0,7.0,98.0,2302.0,9254.0
경기도 용인시_2016,15.0,17.0,15.0,14.0,19.0,26.0,30.0,33.0,1663.0,49.0,75.0,18571.0,67099.0
경기도 이천시_2016,13.0,14.0,14.0,12.0,16.0,22.0,27.0,29.0,335.0,25.0,72.0,2944.0,12741.0
경기도 안성시_2016,13.0,13.0,13.0,13.0,15.0,20.0,27.0,29.0,210.0,16.0,84.0,2844.0,10688.0
경기도 김포시_2016,15.0,16.0,14.0,13.0,17.0,24.0,28.0,29.0,535.0,24.0,77.0,8568.0,23614.0
경기도 화성시_2016,16.0,17.0,15.0,16.0,19.0,25.0,31.0,35.0,1031.0,31.0,78.0,15041.0,49157.0
경기도 광주시_2016,13.0,18.0,16.0,13.0,21.0,27.0,31.0,31.0,363.0,9.0,80.0,2848.0,17042.0
