행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
행정구역(시군)별(1),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%)
행정구역(시군)별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
거제시,270879,47156,223723,223723,-,750,222973,82.6,271361,38568,232793,232793,-,-,232793,85.8,263162,49177,213985,217760,-,49177,168583,81.3,257989,50183,207806,214034,-,50183,163851,80.5,256578,38216,218362,171232,-,-,171232,85.1,252395,34615,217780,169304,-,-,169304,67.1,246620,34115,212505,187536,-,-,187536,86.2,242523,31904,210619,185650,-,-,185650,86.8
양산시,307040,10446,296594,296594,-,-,296594,96.6,322975,11422,311553,311553,-,-,311553,96.5,344450,-,344450,337065,-,-,337065,100.0,354747,-,354747,347362,-,-,347362,100.0,357078,5701,351377,351377,-,-,351377,98.4,358005,5701,352304,352304,-,-,352304,98.4,360332,5045,355287,355287,-,-,355287,98.6,359912,5061,354851,354851,-,-,354851,98.6
의령군,29339,10913,18426,18426,-,78,18348,62.8,28880,10619,18261,18261,-,133,18128,63.2,28624,516,28108,18231,-,649,17582,98.2,28426,497,27929,18436,-,630,17806,98.3,27933,9793,18140,17657,-,133,17524,64.9,27518,9235,18283,17800,-,133,17667,64.7,27024,8869,18155,17672,-,133,17539,67.2,26801,8715,18086,17603,-,133,17470,67.5
함안군,72899,34858,38041,38041,-,953,37088,52.2,72640,34181,38459,38459,-,1179,37280,52.9,71822,-,71822,37641,-,1179,36462,100.0,70622,-,70622,37641,-,1179,36462,100.0,69198,27913,41285,41285,-,590,40695,59.7,67261,24832,42429,42429,-,590,41839,63.1,65363,20957,44406,44406,-,298,44108,67.9,64614,19520,45094,45094,-,298,44796,69.8
창녕군,65908,21258,44650,44650,-,1733,42917,67.7,66267,20401,45866,45866,-,2589,43277,69.2,66517,-,66517,47212,-,2460,44752,100.0,66098,-,66098,50525,-,2453,48072,100.0,65120,15130,49990,49990,-,2359,47631,76.8,63634,14591,49043,49043,-,1954,47089,77.1,62259,13351,48908,48908,-,2220,46688,78.6,60855,13062,47793,47793,-,2199,45594,78.5
고성군,57175,23345,33830,33830,-,354,33476,59.2,56413,23025,33388,33388,-,342,33046,59.2,55471,736,54735,35116,-,1078,34038,98.7,54494,736,53758,35746,-,1097,34649,98.6,53532,18266,35266,34530,-,356,34174,65.9,52498,16773,35725,34989,-,356,34633,66.6,51498,15192,36306,35650,-,-,35650,70.5,51642,13285,38357,37701,-,-,37701,74.3
남해군,46711,12463,34248,34248,-,14496,19752,73.3,45994,11551,34443,34443,-,14733,19710,74.9,45476,-,45476,35449,-,-,35449,100.0,44819,-,44819,35839,-,-,35839,100.0,44483,8884,35599,35599,-,-,35599,80.0,43738,8331,35407,35407,-,12723,22684,81.0,43015,8097,34918,34918,-,12660,22258,81.2,42462,6282,36180,36180,-,13008,23172,85.2
하동군,50870,17027,33843,33843,-,52,33791,66.5,50151,14995,35156,35156,-,-,35156,70.1,49386,-,49386,34801,-,-,34801,100.0,48082,-,48082,33952,-,-,33952,100.0,47099,11519,35580,35580,-,-,35580,75.5,45255,10830,34425,34425,-,350,34075,76.1,43889,9522,34367,34367,-,300,34067,78.3,42965,6216,36749,36749,-,-,36749,85.5
산청군,36655,12434,24221,24221,-,644,23577,66.1,36701,13198,23503,23503,-,6097,17406,64.0,36971,-,36971,25056,-,6215,18841,100.0,36629,-,36629,25156,-,6188,18968,100.0,36025,12639,23386,23386,-,2873,20513,64.9,35430,11741,23689,23689,-,-,23689,66.9,34871,10890,23981,23981,-,-,23981,68.8,34647,12112,22535,22535,-,-,22535,65.0
함양군,40784,10205,30579,30579,-,2397,28182,75.0,40668,9729,30939,30939,-,1447,29492,76.1,40582,-,40582,31226,-,1447,29779,100.0,40462,418,40044,31336,-,1849,29487,99.0,40141,8887,31254,30836,-,1431,29405,77.9,39506,8625,30881,30881,-,1176,29705,78.2,38677,8256,30421,30421,-,1020,29401,78.7,38104,8051,30053,30053,-,-,30053,78.9
거창군,63699,12106,51593,51593,-,319,51274,81.0,63819,12131,51688,51688,-,52,51636,81.0,63290,-,63290,51688,-,52,51636,100.0,62958,-,62958,52131,-,52,52079,100.0,62726,10509,52217,52217,-,52,52165,83.2,62005,9840,52165,52165,-,-,52165,84.1,61585,9737,51848,51848,-,-,51848,84.2,61131,10287,50844,50844,-,-,50844,83.2
합천군,49660,21242,28418,28418,-,119,28299,57.2,48537,20564,27973,27973,-,-,27973,57.6,47542,-,47542,28906,-,-,28906,100.0,46458,-,46458,29254,-,-,29254,100.0,45799,15078,30721,30510,-,-,30510,67.1,44582,13986,30596,30385,-,-,30385,68.2,43504,13502,30002,29791,-,-,29791,69.0,42898,12045,30853,30640,-,-,30640,71.9
