시군별(1),시군별(2),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
시군별(1),시군별(2),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
남부,시흥시,429770,429340,99.9,348800,142375,332.0,36325,434187,433753,99.9,392800,146255,337.0,37393,451695,451243,99.9,394800,152499,338.0,39615,483327,482844,99.9,394800,163341,338.0,40989,508379,507870,99.9,394800,167374,330.0,42023,533305,532776,99.9,394800,172053,323.0,43631,543553,542971,99.9,392800,179663,330.9,43242
남부,군포시,294516,294462,100.0,156000,83267,283.0,17796,291662,291617,100.0,156000,82132,282.0,19135,287988,287971,100.0,156000,81500,283.0,20584,283876,283859,100.0,156000,81585,287.0,21330,282862,282845,100.0,156000,80130,283.0,22249,280039,280022,100.0,156000,80474,287.0,22809,274100,274083,100.0,156000,79543,290.2,22966
남부,의왕시,159125,158966,99.9,78000,47075,296.0,9103,157997,157867,99.9,78000,47391,300.0,9806,156957,156833,99.9,78000,47326,302.0,10665,155084,154972,99.9,78000,47656,308.0,11281,162344,162242,99.9,78000,51740,319.0,11833,164857,164857,100.0,78000,49256,299.0,11668,164363,164363,100.0,78000,48736,296.5,12706
남부,하남시,168464,165095,98.0,90000,48492,294.0,12416,212941,208895,98.1,73000,61153,293.0,13850,234634,230588,98.3,73000,69705,302.0,15414,256760,252714,98.4,143100,75761,300.0,16215,274734,270688,98.5,143100,83159,307.0,17422,295620,291777,98.7,143100,89196,306.0,18299,322271,321001,99.6,143100,94184,293.4,18757
남부,용인시,992396,977695,98.5,348000,303903,311.0,53204,1008012,995735,98.8,348000,307537,309.0,56845,1021007,1010274,98.9,348000,306654,304.0,68708,1053522,1043886,99.1,350100,331003,317.0,73949,1078591,1070363,99.2,350100,337229,315.0,74758,1090907,1084770,99.4,350100,345046,318.0,78243,1093665,1087868,99.5,350100,348288,320.2,83523
남부,이천시,211062,198398,94.0,102700,55684,281.0,28657,216831,205339,94.7,102700,59264,289.0,32223,220021,212122,96.4,102700,60222,284.0,35172,221585,217483,98.1,102700,64683,297.0,37503,223349,220664,98.8,102700,66736,302.0,39864,225418,223955,99.4,102700,68714,307.0,41708,229854,218852,95.2,60000,72590,331.7,44080
남부,안성시,189450,172712,91.2,106900,64182,372.0,22432,192747,177270,92.0,116900,66282,374.0,23294,193442,177935,92.0,96900,69296,389.0,24452,194954,180221,92.4,84900,76081,422.0,25536,195207,181285,92.9,106900,82276,454.0,26409,198234,184426,93.0,96900,81201,440.0,27865,200408,186608,93.1,96900,81291,435.6,28711
남부,김포시,366773,340035,92.7,175000,114291,336.0,28815,381278,358661,94.1,175000,123830,345.0,31703,410432,387815,94.5,175000,125495,324.0,34696,443019,420402,94.9,175000,138518,329.0,37639,457556,434939,95.1,175000,146094,336.0,39977,492766,474041,96.2,175000,155266,328.0,41873,504267,486618,96.5,175000,160825,330.5,43669
남부,화성시,629934,619635,98.4,325000,226251,365.0,49959,675575,666167,98.6,255000,248777,373.0,54127,727602,717416,98.6,325000,264179,368.0,58707,798100,797990,100.0,202000,299834,376.0,62940,855949,855824,100.0,325000,313341,366.0,66616,892884,892704,100.0,325000,326655,366.0,69765,922092,922033,100.0,255000,335579,364.0,73580
남부,광주시,324056,288115,88.9,124000,97394,338.0,76439,339837,302901,89.1,124000,104247,344.0,85717,358371,339657,94.8,124000,108558,320.0,86716,376819,343282,91.1,124000,116287,339.0,87913,385640,353631,91.7,124000,119124,337.0,88837,393954,364406,92.5,124000,126078,346.0,89833,398225,370306,93.0,124000,128925,348.2,92182
