담양군,48024,454.97,35130,-,-,35130,-,-,-,-,11.80,12894,2624,10270,443.17,73.2,48300,455.89,35406,-,-,35406,-,-,-,-,18.77,12894,2624,10270,437.12,73.3,48334,441.03,35503,-,-,35503,-,-,-,-,-,5.98,12831,435.05,73.4,47952,453.75,35218,-,-,35218,-,-,-,-,-,18.74,12734,435.01,73.4,47533,455.09,37110,-,-,37110,-,-,-,-,-,25.28,10423,429.81,78.1
곡성군,31046,-,23179,-,568,22611,-,-,-,-,-,7867,349,7518,-,74.7,30795,547.45,23879,-,568,23311,-,-,-,-,6.28,6916,233,6683,541.17,77.5,30566,550.85,23873,-,568,23305,-,-,-,-,764,10.25,5929,540.60,80.6,30118,550.85,23923,-,502,23421,-,-,-,-,590,10.25,5605,540.60,81.4,29376,550.85,23662,-,502,23160,-,-,-,-,620,10.25,5094,540.60,82.7
구례군,27536,443.18,24100,-,9254,14846,383,-,383,-,284.93,3053,-,3053,158.25,88.9,27640,446.18,24280,-,9226,15054,386,-,386,-,284.93,2974,-,2974,158.25,89.2,27770,422.87,23612,-,9265,14347,386,-,386,-,802,264.62,2970,158.25,89.3,27350,443.23,23552,-,9001,14551,386,-,386,-,802,15.28,2610,427.95,90.5,26784,443.23,23446,-,9047,14399,386,-,386,-,342,15.28,2610,427.95,90.3
고흥군,69391,776.12,36453,-,13613,22840,-,-,-,-,22.76,32938,-,32938,753.36,52.5,68469,807.32,39385,-,17200,22185,-,-,-,-,22.76,29084,-,29084,784.56,57.5,67631,802.86,38757,-,16887,21870,-,-,-,-,-,18.30,28874,784.56,57.3,66757,802.86,37927,-,15993,21934,-,-,-,-,-,18.30,28830,784.56,56.8,65972,805.46,37976,-,16308,21668,-,-,-,-,-,20.90,27996,784.56,57.6
보성군,45781,663.32,26107,-,4755,21352,-,-,-,-,9.88,19674,-,19674,653.44,57.0,44962,662.64,25772,-,4681,21091,-,-,-,-,9.20,19190,-,19190,653.44,57.3,44245,661.50,25713,-,5578,20135,-,-,-,-,-,9.46,18532,652.05,58.1,43295,661.30,25885,-,2333,23552,-,-,-,-,-,8.65,17410,652.65,59.8,41908,661.43,25422,-,2403,23019,-,-,-,-,-,9.29,16486,652.14,60.7
화순군,66727,786.74,52383,-,1300,51083,518,-,518,-,25.78,13826,-,13826,760.96,79.3,66229,786.76,51686,-,1300,50386,518,-,518,-,25.80,14025,-,14025,760.96,78.8,65636,786.91,54132,-,1278,52854,499,-,499,-,-,25.84,11005,761.07,83.2,64833,786.91,53897,-,1318,52579,528,-,528,-,-,25.84,10408,761.07,83.9,63646,786.91,52924,-,1299,51625,518,-,518,-,-,25.84,10204,761.07,84.0
장흥군,44043,618.20,27959,-,385,27574,-,-,-,-,12.74,16084,-,16084,605.47,63.5,41234,621.63,24632,-,337,24295,-,-,-,-,10.65,16602,-,16602,610.98,59.7,40686,621.63,24240,-,333,23907,-,-,-,-,-,10.65,16446,610.98,59.5,39913,622.27,25833,-,-,25833,-,-,-,-,-,11.29,14080,610.98,64.7,39155,622.27,28056,-,-,28056,-,-,-,-,-,11.29,11099,610.98,71.7
강진군,39168,500.93,22300,-,3546,18754,-,-,-,-,9.00,16868,-,16868,491.93,56.9,38161,499.84,23010,-,3116,19894,-,-,-,-,9.69,15151,-,15151,490.15,60.3,37307,500.94,23406,-,3499,19907,-,-,-,-,738,9.81,13163,491.13,64.7,36598,501.03,21997,-,100,21897,-,-,-,-,1788,10.31,12813,490.72,65.0,35742,501.03,22069,-,100,21969,-,-,-,-,1772,10.31,11901,490.72,66.7
해남군,77517,1006.73,38828,-,2995,35833,64,-,64,-,24.98,38625,1905,36720,981.75,50.2,76509,1016.45,39357,-,3008,36349,64,-,64,-,35.06,37088,1815,35273,981.40,51.5,74969,1016.45,35241,-,-,35241,64,-,64,-,366,35.06,39298,981.39,47.5,73280,1016.45,36837,-,-,36837,-,-,-,-,366,36.18,36077,980.27,50.8,71806,1016.45,37499,-,-,37499,-,-,-,-,382,37.03,33925,979.41,52.8
영암군,63605,603.50,30670,-,30670,-,16162,-,16162,-,37.17,16773,-,16773,566.33,73.6,61891,603.50,38043,-,33211,4832,7000,-,7000,-,37.17,16848,-,16848,566.33,72.8,59304,590.25,19554,-,14722,4832,7776,-,7776,-,16072,26.37,15902,563.88,73.1,58703,590.25,19000,-,15121,3879,10774,-,10774,-,14685,26.37,14244,563.88,75.7,59109,590.25,18450,-,14830,3620,11323,-,11323,-,15570,26.52,13766,563.74,76.7
무안군,83753,449.76,51903,-,1021,50882,187,-,-,187,15.28,31663,4121,27542,434.48,62.2,83781,449.76,54235,-,1019,53216,187,-,-,187,15.28,29359,2749,26610,434.50,65.0,84558,449.80,55414,-,3750,51664,187,-,-,187,478,14.80,28479,435.00,66.3,83591,449.80,55574,-,-,55574,187,-,-,187,403,17.14,27427,432.66,67.2,82733,449.51,56680,-,-,56680,187,-,-,187,324,17.14,25542,432.37,69.1
함평군,35484,392.90,20513,-,-,20513,336,-,336,-,4.90,14635,49,14586,388.00,58.8,35043,393.90,22092,-,-,22092,316,-,316,-,5.90,12635,49,12586,388.00,63.9,34984,393.90,24113,-,-,24113,-,-,-,-,-,13.59,10871,380.31,68.9,34100,393.90,25275,-,-,25275,-,-,-,-,-,13.59,8825,380.31,74.1,33560,393.90,25709,-,-,25709,-,-,-,-,-,13.59,7851,380.31,76.6
영광군,57017,475.15,31359,-,-,31359,157,-,-,157,30.29,25501,7091,18410,444.86,55.3,56379,474.91,31359,-,-,31359,157,-,-,157,30.29,24863,6819,18044,444.62,55.9,55632,475.00,34542,-,-,34542,-,-,-,-,-,15.67,21090,459.33,62.0,55016,475.00,35089,-,35089,-,-,-,-,-,-,16.53,19927,458.47,63.8,54773,475.00,34877,-,34877,-,-,-,-,-,-,16.53,19896,458.47,63.7
장성군,47456,519.22,27241,-,3924,23317,-,-,-,-,41.26,20215,-,20215,477.96,57.4,47218,518.50,28453,-,4168,24285,-,-,-,-,41.26,18765,-,18765,477.96,60.3,47259,517.45,29515,-,4134,25381,-,-,-,-,-,15.35,17744,502.10,62.4,46900,517.45,30620,-,5239,25381,-,-,-,-,-,15.35,16280,502.10,65.3,46836,517.45,30556,-,5239,25317,-,-,-,-,-,15.35,16280,502.10,65.2
완도군,54378,396.30,26423,-,26423,-,1555,-,1555,-,17.00,26400,-,26400,379.30,51.5,54336,396.30,30441,-,30441,-,1512,-,1512,-,17.00,22383,-,22383,378.30,58.8,53878,396.40,29633,-,29633,-,1472,1472,-,-,-,17.30,22773,379.10,57.7,53449,391.97,31301,-,31301,-,1472,1472,-,-,-,12.87,20676,379.10,61.3,52858,392.32,33273,-,-,33273,1472,1472,-,-,-,13.22,18113,379.10,65.7
진도군,33369,440.15,19989,-,6338,13651,-,-,-,-,182.16,13380,675,12705,257.99,59.9,33417,440.15,20021,-,6360,13661,-,-,-,-,182.16,13396,673,12723,258.00,59.9,33008,440.13,21899,-,7535,14364,-,-,-,-,-,15.18,11109,424.95,66.3,32631,441.13,31278,-,12969,18309,-,-,-,-,737,15.18,616,425.95,98.1,32232,441.13,20795,-,6817,13978,-,-,-,-,1517,15.18,9920,425.95,69.2
신안군,44020,655.81,13845,-,2375,11470,-,-,-,-,7.20,30175,-,30175,648.61,31.5,43375,655.81,13542,-,2522,11020,-,-,-,-,7.20,29833,-,29833,649.00,31.2,42837,655.92,16198,-,1222,14976,-,-,-,-,-,9.91,26639,646.01,37.8,42036,657.07,18193,-,1095,17098,-,-,-,-,-,11.68,23843,645.39,43.3,41102,657.07,18493,-,1115,17378,-,-,-,-,-,12.01,22609,645.06,45.0
