행정구역별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
행정구역별(1),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%)
행정구역별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,1490647,20435,1470212,1470212,-,-,1470212,98.6,1489134,19926,1469208,1469208,-,-,1469208,98.6,1485049,19784,1465265,1465265,-,-,1465265,98.7,1482151,23899,1458252,1458252,-,891,1457361,98.4,1480293,14397,1465896,1465896,-,-,1465896,99.0,1471385,16656,1454729,1454729,-,-,1454729,98.9,1462545,16660,1445885,1445885,-,-,1445885,98.9,1454017,14077,1439940,1439940,-,-,1439940,99.0
동구,99883,708,99175,99175,-,-,99175,99.2,97045,718,96327,96327,-,-,96327,99.3,96786,498,96288,96288,-,-,96288,99.5,96347,523,95824,95824,-,-,95824,99.5,100504,264,100240,100240,-,-,100240,99.7,104510,150,104360,104360,-,-,104360,99.9,105077,150,104927,104927,-,-,104927,99.9,107550,150,107400,107400,-,-,107400,99.9
서구,306717,329,306388,306388,-,-,306388,99.8,311281,211,311070,311070,-,-,311070,99.9,308591,202,308389,308389,-,-,308389,99.9,305870,202,305668,305668,-,216,305452,99.9,302666,573,302093,302093,-,-,302093,99.8,298223,2033,296190,296190,-,-,296190,99.3,292837,293,292544,292544,-,-,292544,99.9,289282,293,288989,288989,-,-,288989,99.9
남구,222741,2826,219915,219915,-,-,219915,98.7,221189,2809,218380,218380,-,-,218380,98.7,219855,2656,217199,217199,-,-,217199,98.8,217787,1394,216393,216393,-,-,216393,99.4,219613,2110,217503,217503,-,-,217503,99.0,216032,1948,214084,214084,-,-,214084,99.1,217032,1930,215102,215102,-,-,215102,99.1,213816,2352,211464,211464,-,-,211464,98.9
북구,450749,3281,447468,447468,-,-,447468,99.2,445663,3244,442419,442419,-,-,442419,99.3,443532,3107,440425,440425,-,-,440425,99.3,444646,3730,440916,440916,-,-,440916,99.2,438734,2109,436625,436625,-,-,436625,99.5,435063,3620,431443,431443,-,-,431443,99.2,431587,5537,426050,426050,-,-,426050,98.7,429573,5021,424552,424552,-,-,424552,98.8
광산구,410557,13291,397266,397266,-,-,397266,96.7,413956,12944,401012,401012,-,-,401012,96.9,416285,13321,402964,402964,-,-,402964,96.8,417501,18050,399451,399451,-,675,398776,95.7,418776,9341,409435,409435,-,-,409435,97.8,417557,8905,408652,408652,-,-,408652,97.9,416012,8750,407262,407262,-,-,407262,97.9,413796,6261,407535,407535,-,-,407535,98.5
