행정구역(일반구)별,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
행정구역(일반구)별,총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),급수보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개)
합계,1535191,1533553,99.89,1350000,473964,309,129905,1531405,1529882,99.90,1350000,472875,309,131859,1519658,1518400,99.92,1350000,472214,310,133756,1508120,1506903,99.92,1350000,474414,315,134804,1493979,1492844,99.92,1350000,465205,312,135513,1480777,1479645,99.92,1350000,460087,311,136147,1469543,1468681,99.94,1350000,462772,315,136899
동구,243149,243108,99.98,-,-,-,30997,238833,238792,99.98,-,-,-,31295,234726,234700,99.99,-,-,-,31415,233789,233773,99.99,-,68109,291,31431,232012,231990,99.99,-,...,337,31597,227426,227410,99.99,...,...,...,31546,226448,226448,100.00,...,...,...,31681
중구,257880,257830,99.98,-,-,-,30527,254052,254052,100.00,-,-,-,30606,250433,250433,100.00,-,-,-,30827,245964,245964,100.00,-,74201,302,30785,242006,242006,100.00,-,...,337,30921,237000,237000,100.00,...,...,...,30569,231718,231718,100.00,...,...,...,30367
서구,494166,493540,99.87,-,-,-,30835,494379,493753,99.87,-,-,-,31207,490775,490252,99.89,-,-,-,31768,488118,487686,99.91,600000,143574,294,31968,485026,484631,99.92,600000,...,273,31525,481107,480726,99.92,...,...,...,31638,476851,476580,99.93,...,...,...,31696
유성구,340901,340064,99.75,-,-,-,16226,349107,348335,99.78,-,-,-,17293,354519,353894,99.82,-,-,-,18133,355983,355292,99.81,-,125299,353,18761,355516,354832,99.81,-,...,574,19248,356738,356081,99.82,...,...,...,19799,357441,356916,99.85,...,...,...,20256
대덕구,199095,199011,99.96,-,-,-,21320,195034,194950,99.96,-,-,-,21458,189205,189121,99.96,-,-,-,21613,184266,184188,99.96,750000,63231,343,21859,179419,179385,99.98,750000,...,337,22222,178506,178428,99.96,...,...,...,22595,177085,177019,99.96,...,...,...,22899
