시군별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
시군별(1),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%)
시군별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
삼척시,71534,8707,62827,62827,0,4562,58265,87.8,70371,7874,62497,62497,-,4129,58368,88.8,69339,8145,61194,60392,-,988,59404,88.3,69115,7367,61748,61149,-,801,60348,89.3,68001,7205,60796,60214,-,804,59410,89.4,65939,6980,58959,58544,-,719,57825,89.4,64064,6853,57211,56796,-,857,55939,89.3,64203,6733,57470,57271,-,1570,55701,89.5
홍천군,70428,17661,52767,52767,0,383,52384,74.9,70961,18581,52380,52380,-,262,52118,73.8,71285,15086,56199,53536,-,32,53504,78.8,70898,14699,56199,53536,-,233,53303,79.3,70065,14934,55131,52502,-,233,52269,78.7,70052,14881,55171,52580,-,230,52350,78.8,69118,14786,54332,51776,-,227,51549,78.6,68874,14626,54248,51692,-,227,51465,78.8
횡성군,46424,20880,25544,25544,851,868,23825,55.0,46662,20990,25672,25672,588,716,24368,55.0,46912,21089,25823,25768,-,866,24902,55.0,47340,16379,30961,30344,-,686,29658,65.4,47257,15260,31997,31380,-,689,30691,67.7,47097,14200,32897,32530,-,662,31868,69.8,47163,14034,33129,32788,-,661,32127,70.2,47439,13794,33645,33335,-,671,32664,70.9
영월군,40461,11095,29366,29366,0,0,29366,72.6,40330,11027,29303,29303,-,-,29303,72.7,40327,11027,29300,29300,-,-,29300,72.7,39998,9919,30079,30079,-,-,30079,75.2,39408,9434,29974,29974,-,-,29974,76.1,38902,8322,30580,30580,-,-,30580,78.6,38149,8087,30062,30062,-,-,30062,78.8,37988,7842,30146,30146,-,-,30146,79.4
평창군,43980,14129,29851,29851,0,1655,28196,67.9,43782,13956,29826,29826,-,928,28898,68.1,43592,11242,32350,32074,-,52,32022,74.2,43021,10099,32922,32646,-,52,32594,76.5,42577,9392,33185,32909,-,52,32857,77.9,42132,8656,33476,33200,-,52,33148,79.5,41460,7475,33985,33709,-,52,33657,82.0,41526,7306,34220,33944,-,52,33892,82.4
정선군,39502,6636,32866,32866,0,0,32866,83.2,38993,5525,33468,33468,-,-,33468,85.8,38429,5406,33023,33023,-,-,33023,85.9,37965,5331,32634,32634,-,-,32634,86.0,37573,4222,33351,33351,-,-,33351,88.8,37135,4157,32978,32978,-,-,32978,88.8,35939,3543,32396,32396,-,-,32396,90.1,35232,3312,31920,31920,-,-,31920,90.6
철원군,48198,10287,37911,37911,0,10922,26989,78.7,48699,9967,38732,38732,-,11111,27621,79.5,47921,9389,38532,36031,-,5424,30607,80.4,47138,8501,38637,36423,-,5396,31027,82.0,46295,7143,39152,37034,-,5396,31638,84.6,45325,7737,37588,35470,-,5438,30032,82.9,43950,7482,36468,34900,-,5438,29462,83.0,43036,7096,35940,34372,-,5416,28956,83.5
화천군,27231,9112,18119,18119,0,1260,16859,66.5,26489,8370,18119,18119,-,1260,16859,68.4,26252,8296,17956,17674,-,1227,16447,68.4,25342,7947,17395,17126,-,1167,15959,68.6,25181,7396,17785,17252,-,1293,15959,70.6,25081,7338,17743,17224,-,-,17224,70.7,24425,6804,17621,17454,-,-,17454,72.1,23614,6327,17287,17120,-,-,17120,73.2
양구군,24329,4024,20305,20305,0,0,20305,83.5,24264,3853,20411,20411,-,-,20411,84.1,24098,3662,20436,20436,-,-,20436,84.8,23666,3235,20431,20431,-,-,20431,86.3,23052,3267,19785,19785,-,-,19785,85.8,22526,3053,19473,19473,-,-,19473,86.4,22079,2377,19702,19563,-,-,19563,89.2,21769,1854,19915,19776,-,-,19776,91.5
인제군,33599,6184,27415,27415,0,0,27415,81.6,33061,6502,26559,26559,-,239,26320,80.3,32901,8669,24232,24232,-,96,24136,73.7,32455,8527,23928,23928,-,98,23830,73.7,31981,7761,24220,24220,-,97,24123,75.7,31959,7629,24330,24330,-,97,24233,76.1,32476,5223,27253,27253,-,-,27253,83.9,32736,5223,27513,27513,-,-,27513,84.0
고성군,30060,4207,25853,25853,0,1390,24463,86.0,30749,4400,26349,26349,-,1347,25002,85.7,30871,4043,26828,26086,-,1327,24759,86.9,29118,4046,25072,24450,-,1265,23185,86.1,28392,3346,25046,24472,-,1255,23217,88.2,27869,3226,24643,24069,-,1245,22824,88.4,28432,3184,25248,24674,-,1145,23529,88.8,28647,3184,25463,24889,-,1145,23744,88.9
양양군,27766,10677,17089,17089,0,138,16951,61.5,27515,9977,17538,17538,-,138,17400,63.7,27490,8659,18831,18555,-,580,17975,68.5,27652,6859,20793,20212,-,580,19632,75.2,28032,5671,22361,21310,-,580,20730,79.8,28242,4928,23314,22501,-,982,21519,82.6,28196,4591,23605,22842,-,920,21922,83.7,28209,3334,24875,23915,-,956,22959,88.2
