행정구역(시군)별,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
행정구역(시군)별,총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개)
청송군,26615,18036,68.0,9600,12090,670,8064,26552,18083,68.1,9600,8847,487,8515,26201,18325,69.9,9600,8894,485,8740,25881,18505,71.5,9600,8996,486,8834,25623,18830,73.5,9600,9677,514,9557,25223,19009,75.4,9600,10154,533,9998,24727,19119,77.3,9600,9290,486,10289
영양군,18125,16301,90.0,7200,6814,418,7662,17929,16092,89.8,7200,6550,405,7981,17696,15480,87.5,7200,6448,416,8211,17562,15666,89.2,7200,7397,472,8444,17198,15582,90.6,7200,7250,465,8670,16884,15344,90.9,7200,7450,484,8810,16575,15070,90.9,7200,7118,472,9026
영덕군,39963,35386,89.0,24200,19863,561,18993,39973,36073,90.2,23000,20029,553,19391,39475,35494,89.9,23000,20377,574,20440,39104,36381,93.0,24200,20368,560,20929,38358,36048,94.0,24200,20798,577,21062,37249,35382,95.0,24200,19236,542,21357,36233,35023,96.7,23000,19884,568,21538
청도군,44751,31965,71.0,0,12624,394,12293,44603,32266,72.3,-,12288,379,13146,44366,34405,77.5,-,13468,391,14543,44129,35171,79.7,-,15091,429,16069,43952,35496,80.8,-,13314,375,16639,43229,35758,82.7,-,13835,386,17064,42822,37532,87.6,-,15185,405,18417
고령군,36439,33068,91.0,9000,13628,412,10814,36069,33184,92.0,9000,14327,430,11418,35525,33246,93.6,9000,15125,454,12081,34673,33384,96.3,9000,16113,483,12634,34122,33209,97.3,9000,16216,488,13489,32891,32453,98.7,9000,16196,498,13801,32001,31728,99.1,9000,17894,564,14100
성주군,46665,34205,73.0,2400,12738,372,9687,46886,33655,71.8,2400,13972,414,10495,46846,33992,72.6,2400,12802,376,11140,46323,34218,73.9,2400,12804,374,11658,45713,35001,76.6,2400,13239,378,12456,44970,35965,80.0,2400,13671,379,13537,44277,36277,81.9,2400,13619,375,14443
칠곡군,126961,114816,90.0,0,41047,357,17120,127330,116549,91.5,-,42876,366,18262,124837,114852,92.0,-,43091,375,19683,122789,114083,92.9,-,43581,382,20261,121085,114111,94.2,-,43660,383,21562,118430,112640,95.1,-,47848,424,22239,117463,111776,95.2,-,50943,456,22738
예천군,45152,35186,78.0,16800,12966,368,13945,46688,37715,80.8,16800,14187,375,14638,49786,41585,83.5,17700,14603,351,15208,53811,46466,86.4,17700,16694,359,15750,55664,49517,89.0,16700,17597,355,16629,56165,50792,90.4,14700,18142,356,16930,56237,51617,91.8,14700,19051,369,17566
봉화군,34088,21345,63.0,10800,8247,386,7901,33809,21612,63.9,10800,8093,373,8260,33561,22114,65.9,10800,7601,343,8385,33150,22340,67.4,10800,7758,347,8487,32464,22340,68.8,10800,7751,347,8652,31812,21958,69.0,10800,8289,377,8747,31072,22043,70.9,11200,9338,424,8826
울진군,53103,35925,68.0,20400,20523,571,14165,52974,36502,68.9,20400,18552,506,14616,52337,35755,68.3,20400,18238,510,15469,51538,38047,73.8,20400,18339,482,16814,50810,37817,74.4,35400,18259,483,17947,50104,39460,78.8,35400,19023,481,19297,49276,41232,83.7,35400,20577,499,20811
울릉군,10279,8840,86.0,5000,4136,467,2931,10146,8618,84.9,5000,4543,525,2775,10126,8540,84.3,5000,4618,540,2661,10014,8950,89.4,5000,4896,547,3205,9785,8929,91.3,7000,5098,571,3058,9227,8442,91.5,7000,3836,453,3244,9009,8313,92.3,7000,4310,519,3311
