행정구역(시군)별(1),산업대분류별(1),2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4
행정구역(시군)별(1),산업대분류별(1),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명)
창원시,제조업,9923,-,131729,-,-,9956,-,131460,-,-,10128,-,131305,-,-,10137,-,128222,-,-,10274,-,126562,-,-,13625,-,130061,-,-,13611,-,127736,-,-
창원시,"전기,가스,증기 및 공기조절 공급업",18,-,989,-,-,25,-,1058,-,-,19,-,735,-,-,25,-,703,-,-,37,-,779,-,-,238,-,1063,-,-,223,-,1074,-,-
창원시,수도·하수 및 폐기물 처리 원료재생업,148,-,1659,-,-,134,-,1645,-,-,147,-,1927,-,-,142,-,1958,-,-,152,-,1942,-,-,212,-,2063,-,-,214,-,2231,-,-
창원시,건설업,3051,-,21906,-,-,3132,-,25421,-,-,3176,-,27031,-,-,3135,-,24233,-,-,3133,-,23205,-,-,8064,-,29620,-,-,8238,-,27681,-,-
창원시,도매 및 소매업,20691,-,56340,-,-,20609,-,56076,-,-,20769,-,56154,-,-,20912,-,56262,-,-,20627,-,57033,-,-,28783,-,58856,-,-,27806,-,58344,-,-
창원시,운수 및 창고업,6822,-,19915,-,-,7054,-,20252,-,-,6916,-,20036,-,-,6945,-,20339,-,-,6697,-,20176,-,-,9363,-,22595,-,-,10073,-,25715,-,-
창원시,숙박 및 음식점업,17084,-,44584,-,-,17593,-,46360,-,-,17820,-,46593,-,-,18130,-,47171,-,-,18143,-,47466,-,-,19957,-,41433,-,-,19922,-,41523,-,-
창원시,정보통신업,408,-,4217,-,-,424,-,4066,-,-,449,-,4029,-,-,442,-,4107,-,-,463,-,4445,-,-,872,-,5063,-,-,953,-,5196,-,-
창원시,금융 및 보험업,979,-,15123,-,-,988,-,15442,-,-,1018,-,15309,-,-,1005,-,13967,-,-,981,-,14606,-,-,1193,-,13797,-,-,1220,-,14133,-,-
창원시,부동산업,3078,-,10629,-,-,3334,-,11586,-,-,3144,-,10654,-,-,3081,-,10436,-,-,3127,-,10517,-,-,4504,-,11366,-,-,4475,-,12393,-,-
