행정구역(시)별,산업별,2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4
행정구역(시)별,산업별,사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
합계,보건업 및 사회복지 서비스업,1763,-,20234,-,-,1821,-,20733,-,-,1898,886,22451,4726,17725,1939,895,23033,5006,18027,2037,-,25268,-,-,2130,-,28335,-,-,2160,-,28769,-,-
합계,"예술, 스포츠 및 여가 관련 서비스업",1466,-,10885,-,-,1572,-,10769,-,-,1668,661,10241,5483,4758,1812,717,11104,6077,5027,1945,-,11673,-,-,2483,-,11723,-,-,2645,-,12044,-,-
합계,"협회 및 단체, 수리 및 기타개인서비스업",5396,-,12578,-,-,5424,-,13346,-,-,5348,2683,11707,5863,5844,5600,2870,12642,6167,6475,5816,-,13268,-,-,6778,-,13614,-,-,7144,-,14148,-,-
제주시,합계,40917,17275,190910,101822,89088,43021,17958,196235,105171,91064,44601,18972,198440,104921,93519,46399,19803,205552,108659,96893,48635,20860,214650,112736,101914,70039,27992,241012,133283,107729,71409,28805,243092,133371,109721
제주시,"농업, 임업 및 어업",189,-,1331,-,-,209,-,1382,-,-,191,30,1167,850,317,194,33,1157,905,252,198,-,1278,-,-,443,-,2131,-,-,454,-,1999,-,-
제주시,광업,10,-,151,-,-,11,-,169,-,-,11,4,168,150,18,9,2,134,119,15,10,-,160,-,-,9,-,171,-,-,9,-,166,-,-
제주시,제조업,1741,-,8814,-,-,1736,-,8756,-,-,1859,564,9124,6113,3011,1927,592,9447,6345,3102,2022,-,9554,-,-,2730,-,10856,-,-,2780,-,10717,-,-
제주시,"전기, 가스, 증기 및 수도사업",20,-,820,-,-,23,-,821,-,-,20,1,762,668,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주시,"전기, 가스, 증기 및 공기조절 공급업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,3,804,606,198,41,-,1039,-,-,670,-,1439,-,-,676,-,1698,-,-
제주시,"하수폐기물 처리, 원료재생 및 환경복원업",62,-,546,-,-,72,-,671,-,-,79,10,781,645,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주시,"수도, 하수 및 폐기물처리, 원료재생업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,12,795,643,152,82,-,843,-,-,126,-,1043,-,-,128,-,1099,-,-
제주시,건설업,1913,-,18086,-,-,2110,-,19017,-,-,2099,446,18473,15541,2932,2126,470,17955,14918,3037,2081,-,17173,-,-,7558,-,29416,-,-,7685,-,27646,-,-
제주시,도매 및 소매업,10337,-,31476,-,-,10361,-,31431,-,-,10565,5183,32149,15877,16272,10746,5252,32923,16468,16455,11074,-,34355,-,-,16082,-,36920,-,-,15868,-,37917,-,-
