구분별(1),구분별(2),구분별(3),자치구별(1),산업대분류별(1),2015,2016,2017,2018,2019,2020,2021
합계,종사자수 (명),소계,서울시,운수업,279921,276926,-,-,-,-,-
합계,종사자수 (명),소계,서울시,운수 및 창고업,-,-,274793,272618,264181,279478,274477
합계,종사자수 (명),소계,서울시,숙박 및 음식점업,480090,470357,474515,495092,493912,432643,424071
합계,종사자수 (명),소계,서울시,출판 영상 방송통신 및 정보서비스업,350342,344155,-,-,-,-,-
합계,종사자수 (명),소계,서울시,정보통신업,-,-,345030,357761,360062,459805,490621
합계,종사자수 (명),소계,서울시,금융 및 보험업,285098,269712,268252,262273,266110,293104,299058
합계,종사자수 (명),소계,서울시,부동산업 및 임대업,168981,177672,-,-,-,-,-
합계,종사자수 (명),소계,서울시,부동산업,-,-,158593,158063,166094,213544,205378
합계,종사자수 (명),소계,서울시,전문 과학 및 기술 서비스업,452004,435086,437822,463519,485150,590946,597759
합계,종사자수 (명),소계,서울시,사업시설관리 및 사업지원 서비스업,428089,460776,-,-,-,-,-
합계,종사자수 (명),소계,서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,478382,496433,472573,505800,492983
합계,종사자수 (명),소계,서울시,공공행정 국방 및 사회보장 행정,136166,136043,138150,140121,141582,150905,155790
합계,종사자수 (명),소계,서울시,교육 서비스업,340950,333486,341732,346219,351320,354237,361663
합계,종사자수 (명),소계,서울시,보건업 및 사회복지 서비스업,320189,332028,358563,378366,400143,443245,450396
합계,종사자수 (명),소계,서울시,예술 스포츠 및 여가관련 서비스업,80512,84990,86452,91104,92752,88627,88491
합계,종사자수 (명),소계,서울시,협회 및 단체 수리 및 기타 개인서비스업,210489,207858,190963,191423,189557,195171,186496
합계,종사자수 (명),남,서울시,합계,2887719,2847402,2848150,2878227,2885614,3304944,3218529
합계,종사자수 (명),남,서울시,농업 임업 및 어업,401,386,381,384,349,610,544
합계,종사자수 (명),남,서울시,광업,57,48,58,62,36,81,105
합계,종사자수 (명),남,서울시,제조업,167339,162001,161452,154449,155915,165795,155801
합계,종사자수 (명),남,서울시,전기 가스 증기 및 수도사업,7084,5973,-,-,-,-,-
