구분별(1),구분별(2),구분별(3),자치구별(1),산업대분류별(1),2015,2016,2017,2018,2019,2020,2021
조직형태별,회사이외의 법인,종사자수 (명),서울시,하수폐기물처리 원료재생 및 환경복원업,470,433,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,2521,2599,2541,2648,2860
조직형태별,회사이외의 법인,종사자수 (명),서울시,건설업,781,746,738,712,868,547,879
조직형태별,회사이외의 법인,종사자수 (명),서울시,도매 및 소매업,4922,5300,5411,5905,5949,7202,6669
조직형태별,회사이외의 법인,종사자수 (명),서울시,운수업,18092,19485,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,운수 및 창고업,-,-,19380,20179,20387,20781,21589
조직형태별,회사이외의 법인,종사자수 (명),서울시,숙박 및 음식점업,2594,2760,2659,2763,2774,2837,3202
조직형태별,회사이외의 법인,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,18329,17728,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,정보통신업,-,-,16005,17136,17468,17448,18144
조직형태별,회사이외의 법인,종사자수 (명),서울시,금융 및 보험업,37324,34920,35403,37071,39317,41795,43327
조직형태별,회사이외의 법인,종사자수 (명),서울시,부동산업 및 임대업,4981,5397,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,부동산업,-,-,5073,4847,5759,30848,34160
조직형태별,회사이외의 법인,종사자수 (명),서울시,전문 과학 및 기술 서비스업,65789,65762,68756,75278,83550,93954,97340
조직형태별,회사이외의 법인,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,8921,8744,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,7085,7079,7794,10599,10425
조직형태별,회사이외의 법인,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,136158,136034,137845,139845,141241,150464,155339
조직형태별,회사이외의 법인,종사자수 (명),서울시,교육 서비스업,197585,195355,196807,198704,202056,201743,205239
조직형태별,회사이외의 법인,종사자수 (명),서울시,보건업 및 사회복지 서비스업,123275,130894,128350,136543,146999,191247,191902
조직형태별,회사이외의 법인,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,19107,20647,19650,21795,22513,22370,23467
조직형태별,회사이외의 법인,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,30940,31456,30813,32662,33197,62752,59495
조직형태별,비법인단체,사업체수 (개),서울시,합계,20228,20101,20815,21250,21477,13260,14912
조직형태별,비법인단체,사업체수 (개),서울시,농업 임업 및 어업,-,-,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,광업,-,-,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,제조업,17,17,25,25,29,2,3
조직형태별,비법인단체,사업체수 (개),서울시,전기 가스 증기 및 수도사업,1,1,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,1,1,2,-,-
조직형태별,비법인단체,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,건설업,4,4,3,2,4,1,1
조직형태별,비법인단체,사업체수 (개),서울시,도매 및 소매업,98,99,97,88,101,15,13
조직형태별,비법인단체,사업체수 (개),서울시,운수업,90,79,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,운수 및 창고업,-,-,75,60,67,11,9
조직형태별,비법인단체,사업체수 (개),서울시,숙박 및 음식점업,89,87,112,119,125,12,11
조직형태별,비법인단체,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,59,58,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,정보통신업,-,-,76,64,74,14,23
조직형태별,비법인단체,사업체수 (개),서울시,금융 및 보험업,23,55,59,38,52,251,1793
조직형태별,비법인단체,사업체수 (개),서울시,부동산업 및 임대업,3918,3982,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,부동산업,-,-,4098,4146,4355,1696,1727
조직형태별,비법인단체,사업체수 (개),서울시,전문 과학 및 기술 서비스업,241,218,247,225,221,43,39
조직형태별,비법인단체,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,268,253,-,-,-,-,-
조직형태별,비법인단체,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,248,221,221,67,73
조직형태별,비법인단체,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,1,1,2,2,10,1,-
조직형태별,비법인단체,사업체수 (개),서울시,교육 서비스업,835,840,900,825,853,548,556
조직형태별,비법인단체,사업체수 (개),서울시,보건업 및 사회복지 서비스업,1909,1902,2503,3500,3757,7257,7089
조직형태별,비법인단체,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,502,502,504,471,520,200,227
조직형태별,비법인단체,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,12173,12003,11865,11463,11086,3142,3348
조직형태별,비법인단체,종사자수 (명),서울시,합계,115594,115315,125444,136358,147000,117367,124322
조직형태별,비법인단체,종사자수 (명),서울시,농업 임업 및 어업,-,-,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,광업,-,-,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,제조업,209,166,274,251,252,2,5
조직형태별,비법인단체,종사자수 (명),서울시,전기 가스 증기 및 수도사업,5,5,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,5,5,6,-,-
조직형태별,비법인단체,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,건설업,54,9,6,9,11,3,1
조직형태별,비법인단체,종사자수 (명),서울시,도매 및 소매업,693,1211,1397,402,481,24,26
조직형태별,비법인단체,종사자수 (명),서울시,운수업,604,546,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,운수 및 창고업,-,-,596,514,668,57,41
조직형태별,비법인단체,종사자수 (명),서울시,숙박 및 음식점업,352,425,526,631,666,83,39
조직형태별,비법인단체,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,346,406,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,정보통신업,-,-,429,334,379,27,56
조직형태별,비법인단체,종사자수 (명),서울시,금융 및 보험업,151,246,236,164,314,406,3067
조직형태별,비법인단체,종사자수 (명),서울시,부동산업 및 임대업,31772,31833,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,부동산업,-,-,32019,32036,31973,8041,8358
조직형태별,비법인단체,종사자수 (명),서울시,전문 과학 및 기술 서비스업,1119,982,1251,920,865,69,71
조직형태별,비법인단체,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,2757,2595,-,-,-,-,-
조직형태별,비법인단체,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,2362,1950,3205,246,244
조직형태별,비법인단체,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,8,9,305,276,341,2,-
조직형태별,비법인단체,종사자수 (명),서울시,교육 서비스업,7881,7315,8456,7859,7917,6488,6333
조직형태별,비법인단체,종사자수 (명),서울시,보건업 및 사회복지 서비스업,27501,27377,41963,56536,65821,93964,97948
조직형태별,비법인단체,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,2754,2749,2382,2178,2423,676,616
조직형태별,비법인단체,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,39388,39441,33237,32293,31678,7279,7517
사업체구분별,단독,사업체수 (개),서울시,합계,767371,765609,766329,764987,761276,1127404,1106963
사업체구분별,단독,사업체수 (개),서울시,농업 임업 및 어업,11,18,23,24,19,157,143
사업체구분별,단독,사업체수 (개),서울시,광업,21,16,17,20,15,22,20
사업체구분별,단독,사업체수 (개),서울시,제조업,60522,59355,59749,56993,55053,76141,74066
사업체구분별,단독,사업체수 (개),서울시,전기 가스 증기 및 수도사업,67,71,-,-,-,-,-
사업체구분별,단독,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,78,122,157,744,609
사업체구분별,단독,사업체수 (개),서울시,하수폐기물처리 원료재생 및 환경복원업,406,386,-,-,-,-,-
사업체구분별,단독,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,391,402,415,648,636
사업체구분별,단독,사업체수 (개),서울시,건설업,21526,21123,20992,20513,20276,65570,65229
사업체구분별,단독,사업체수 (개),서울시,도매 및 소매업,217863,213151,209493,205459,200874,326857,313278
사업체구분별,단독,사업체수 (개),서울시,운수업,91595,92849,-,-,-,-,-
사업체구분별,단독,사업체수 (개),서울시,운수 및 창고업,-,-,91720,93352,92640,103000,107957
사업체구분별,단독,사업체수 (개),서울시,숙박 및 음식점업,120248,121166,122709,122650,123880,135201,131610
사업체구분별,단독,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,22318,21834,-,-,-,-,-
사업체구분별,단독,사업체수 (개),서울시,정보통신업,-,-,21498,21597,21348,52807,53663
사업체구분별,단독,사업체수 (개),서울시,금융 및 보험업,4071,4567,5066,5390,5712,16758,17682
사업체구분별,단독,사업체수 (개),서울시,부동산업 및 임대업,36385,38737,-,-,-,-,-
사업체구분별,단독,사업체수 (개),서울시,부동산업,-,-,37983,39416,40668,63725,64198
사업체구분별,단독,사업체수 (개),서울시,전문 과학 및 기술 서비스업,35574,34052,33797,36010,36691,77218,73891
사업체구분별,단독,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,11818,11260,-,-,-,-,-
사업체구분별,단독,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,13306,13483,13625,30807,28207
사업체구분별,단독,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,1250,1261,1264,1250,1259,1266,1261
사업체구분별,단독,사업체수 (개),서울시,교육 서비스업,30711,31099,31625,32125,32239,41197,42956
사업체구분별,단독,사업체수 (개),서울시,보건업 및 사회복지 서비스업,25184,25873,27260,27257,27461,29204,29420
사업체구분별,단독,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,19822,20828,21987,21935,22293,28540,27199
사업체구분별,단독,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,67979,67963,67371,66989,66651,77542,74938
사업체구분별,단독,종사자수 (명),서울시,합계,3267847,3253718,3253437,3260903,3220428,3716641,3622479
사업체구분별,단독,종사자수 (명),서울시,농업 임업 및 어업,142,149,139,170,147,685,532
사업체구분별,단독,종사자수 (명),서울시,광업,60,44,54,49,31,58,109
사업체구분별,단독,종사자수 (명),서울시,제조업,232451,229277,232656,222066,212027,230731,214498
사업체구분별,단독,종사자수 (명),서울시,전기 가스 증기 및 수도사업,2514,2173,-,-,-,-,-
사업체구분별,단독,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,579,700,434,1146,992
사업체구분별,단독,종사자수 (명),서울시,하수폐기물처리 원료재생 및 환경복원업,5722,5497,-,-,-,-,-
사업체구분별,단독,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,7646,7764,7767,8554,8578
사업체구분별,단독,종사자수 (명),서울시,건설업,236300,248313,256054,238480,227668,313318,281626
사업체구분별,단독,종사자수 (명),서울시,도매 및 소매업,602468,587617,576501,575755,567306,692211,662524
사업체구분별,단독,종사자수 (명),서울시,운수업,182871,186811,-,-,-,-,-
사업체구분별,단독,종사자수 (명),서울시,운수 및 창고업,-,-,180588,176888,169340,174006,175910
사업체구분별,단독,종사자수 (명),서울시,숙박 및 음식점업,385398,379283,382738,397067,393723,339878,331196
사업체구분별,단독,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,227600,221206,-,-,-,-,-
사업체구분별,단독,종사자수 (명),서울시,정보통신업,-,-,212831,220353,213296,300252,314781
사업체구분별,단독,종사자수 (명),서울시,금융 및 보험업,38468,41850,45013,45788,45188,58775,65003
사업체구분별,단독,종사자수 (명),서울시,부동산업 및 임대업,123835,129189,-,-,-,-,-
사업체구분별,단독,종사자수 (명),서울시,부동산업,-,-,118616,120242,120542,158464,151615
사업체구분별,단독,종사자수 (명),서울시,전문 과학 및 기술 서비스업,230753,224777,223674,230548,232728,318716,314264
사업체구분별,단독,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,213155,207331,-,-,-,-,-
사업체구분별,단독,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,205536,200415,193886,228036,213671
사업체구분별,단독,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,132836,132626,134698,136477,137387,146629,152108
사업체구분별,단독,종사자수 (명),서울시,교육 서비스업,199419,194340,198895,199832,199857,210797,207941
사업체구분별,단독,종사자수 (명),서울시,보건업 및 사회복지 서비스업,217338,225264,251169,262951,275176,308629,311073
사업체구분별,단독,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,62895,65207,66946,68313,69167,67558,65212
사업체구분별,단독,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,173622,172764,159104,157045,154758,158198,150846
사업체구분별,본사본점 등,사업체수 (개),서울시,합계,15271,15493,16088,16740,18106,25638,25688
사업체구분별,본사본점 등,사업체수 (개),서울시,농업 임업 및 어업,4,4,4,4,3,5,7
사업체구분별,본사본점 등,사업체수 (개),서울시,광업,2,2,4,4,4,3,3
사업체구분별,본사본점 등,사업체수 (개),서울시,제조업,1022,1071,1074,1114,1282,1482,1568
사업체구분별,본사본점 등,사업체수 (개),서울시,전기 가스 증기 및 수도사업,15,14,-,-,-,-,-
사업체구분별,본사본점 등,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,11,11,13,23,19
사업체구분별,본사본점 등,사업체수 (개),서울시,하수폐기물처리 원료재생 및 환경복원업,25,24,-,-,-,-,-
사업체구분별,본사본점 등,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,25,21,26,41,45
사업체구분별,본사본점 등,사업체수 (개),서울시,건설업,689,659,679,722,751,1217,1277
사업체구분별,본사본점 등,사업체수 (개),서울시,도매 및 소매업,4962,5080,5269,5276,5633,7636,7224
사업체구분별,본사본점 등,사업체수 (개),서울시,운수업,730,692,-,-,-,-,-
사업체구분별,본사본점 등,사업체수 (개),서울시,운수 및 창고업,-,-,700,706,684,833,807
사업체구분별,본사본점 등,사업체수 (개),서울시,숙박 및 음식점업,577,600,694,714,888,1392,1252
사업체구분별,본사본점 등,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,760,747,-,-,-,-,-
사업체구분별,본사본점 등,사업체수 (개),서울시,정보통신업,-,-,846,903,1030,1745,2102
사업체구분별,본사본점 등,사업체수 (개),서울시,금융 및 보험업,621,612,631,647,687,878,879
사업체구분별,본사본점 등,사업체수 (개),서울시,부동산업 및 임대업,647,691,-,-,-,-,-
사업체구분별,본사본점 등,사업체수 (개),서울시,부동산업,-,-,540,597,849,2381,2130
사업체구분별,본사본점 등,사업체수 (개),서울시,전문 과학 및 기술 서비스업,2600,2606,2686,2933,3065,4116,4303
사업체구분별,본사본점 등,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,914,929,-,-,-,-,-
사업체구분별,본사본점 등,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,1113,1137,1141,1338,1362
사업체구분별,본사본점 등,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,8,7,7,8,9,9,8
사업체구분별,본사본점 등,사업체수 (개),서울시,교육 서비스업,615,620,663,711,748,899,934
사업체구분별,본사본점 등,사업체수 (개),서울시,보건업 및 사회복지 서비스업,257,276,277,295,328,423,502
사업체구분별,본사본점 등,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,139,161,178,201,240,341,363
사업체구분별,본사본점 등,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,684,698,687,736,725,876,903
사업체구분별,본사본점 등,종사자수 (명),서울시,합계,1053006,1072058,1121605,1167192,1168597,1316981,1299758
사업체구분별,본사본점 등,종사자수 (명),서울시,농업 임업 및 어업,345,310,319,288,276,141,183
사업체구분별,본사본점 등,종사자수 (명),서울시,광업,9,10,12,32,11,36,20
사업체구분별,본사본점 등,종사자수 (명),서울시,제조업,42511,38980,34642,33411,39220,41060,39703
사업체구분별,본사본점 등,종사자수 (명),서울시,전기 가스 증기 및 수도사업,2732,2096,-,-,-,-,-
사업체구분별,본사본점 등,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,1769,1641,1893,1891,2013
사업체구분별,본사본점 등,종사자수 (명),서울시,하수폐기물처리 원료재생 및 환경복원업,540,707,-,-,-,-,-
사업체구분별,본사본점 등,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,848,754,707,915,1275
사업체구분별,본사본점 등,종사자수 (명),서울시,건설업,99857,101200,112226,120687,110104,169076,142499
사업체구분별,본사본점 등,종사자수 (명),서울시,도매 및 소매업,168228,167918,174344,180736,189969,211002,205058
사업체구분별,본사본점 등,종사자수 (명),서울시,운수업,65114,58837,-,-,-,-,-
사업체구분별,본사본점 등,종사자수 (명),서울시,운수 및 창고업,-,-,62535,61213,62152,72710,64243
사업체구분별,본사본점 등,종사자수 (명),서울시,숙박 및 음식점업,13690,11577,12858,13383,14304,15597,14921
사업체구분별,본사본점 등,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,92302,94097,-,-,-,-,-
사업체구분별,본사본점 등,종사자수 (명),서울시,정보통신업,-,-,99729,103584,107398,119056,130603
사업체구분별,본사본점 등,종사자수 (명),서울시,금융 및 보험업,117399,104605,109941,111771,116747,129721,128568
사업체구분별,본사본점 등,종사자수 (명),서울시,부동산업 및 임대업,27194,30342,-,-,-,-,-
사업체구분별,본사본점 등,종사자수 (명),서울시,부동산업,-,-,25506,22003,23652,29634,26574
사업체구분별,본사본점 등,종사자수 (명),서울시,전문 과학 및 기술 서비스업,158105,151954,154327,164892,175921,193708,200000
사업체구분별,본사본점 등,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,153788,200297,-,-,-,-,-
사업체구분별,본사본점 등,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,221777,242801,219754,219903,224332
사업체구분별,본사본점 등,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,2083,2278,2175,2281,2802,2843,2291
사업체구분별,본사본점 등,종사자수 (명),서울시,교육 서비스업,59235,57243,58011,60488,55788,56626,61424
사업체구분별,본사본점 등,종사자수 (명),서울시,보건업 및 사회복지 서비스업,27949,27679,29974,25312,25464,29546,29998
사업체구분별,본사본점 등,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,3680,4995,4900,5850,6881,6449,8655
사업체구분별,본사본점 등,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,18245,16933,15712,16065,15554,17067,17398
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,합계,38016,39054,40446,41658,44242,58011,55440
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,농업 임업 및 어업,2,2,2,2,2,8,4
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,광업,-,-,-,-,1,-,2
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,제조업,667,714,760,863,986,1019,1236
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,전기 가스 증기 및 수도사업,55,52,-,-,-,-,-
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,50,50,55,57,55
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,하수폐기물처리 원료재생 및 환경복원업,32,29,-,-,-,-,-
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,29,28,34,39,39
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,건설업,480,478,557,590,599,811,876
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,도매 및 소매업,11669,12603,13533,13220,13548,17931,15315
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,운수업,1317,1301,-,-,-,-,-
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,운수 및 창고업,-,-,1282,1354,1435,1572,1575
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,숙박 및 음식점업,5960,6375,6792,7231,7707,9164,8817
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,825,775,-,-,-,-,-
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,정보통신업,-,-,862,884,978,1385,1850
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,금융 및 보험업,6157,5776,5468,5183,5045,4902,4767
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,부동산업 및 임대업,1539,1518,-,-,-,-,-
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,부동산업,-,-,1154,1269,2094,7325,6656
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,전문 과학 및 기술 서비스업,2453,2446,2454,2711,3026,4146,4208
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,1245,1186,-,-,-,-,-
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,1531,1578,1588,1927,1891
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,27,25,25,24,28,32,34
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,교육 서비스업,2286,2346,2474,2541,2774,2837,2965
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,보건업 및 사회복지 서비스업,1087,1118,1146,1272,1379,1641,1944
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,586,664,748,889,994,1163,1160
사업체구분별,공장지사(점)영업소,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,1629,1646,1579,1969,1969,2052,2046
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,합계,787975,753675,744871,782841,837972,835304,848989
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,농업 임업 및 어업,4,4,11,4,3,9,38
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,광업,-,-,-,-,1,-,6
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,제조업,12452,10846,10622,11023,14026,12565,13288
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,전기 가스 증기 및 수도사업,3467,3348,-,-,-,-,-
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,3228,3742,3907,3804,3868
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,하수폐기물처리 원료재생 및 환경복원업,450,393,-,-,-,-,-
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,469,621,684,873,757
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,건설업,24035,15561,16928,20186,25013,33052,24935
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,도매 및 소매업,141710,135919,137619,139835,142367,140294,141541
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,운수업,31936,31278,-,-,-,-,-
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,운수 및 창고업,-,-,31670,34517,32689,32762,34324
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,숙박 및 음식점업,81002,79497,78919,84642,85885,77168,77954
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,30440,28852,-,-,-,-,-
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,정보통신업,-,-,32470,33824,39368,40497,45237
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,금융 및 보험업,129231,123257,113298,104714,104175,104608,105487
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,부동산업 및 임대업,17952,18141,-,-,-,-,-
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,부동산업,-,-,14471,15818,21900,25446,27189
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,전문 과학 및 기술 서비스업,63146,58355,59821,68079,76501,78522,83495
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,61146,53148,-,-,-,-,-
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,51069,53217,58933,57861,54980
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,1247,1139,1277,1363,1393,1433,1391
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,교육 서비스업,82296,81903,84826,85899,95675,86814,92298
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,보건업 및 사회복지 서비스업,74902,79085,77420,90103,99503,105070,109325
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,13937,14788,14606,16941,16704,14620,14624
사업체구분별,공장지사(점)영업소,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,18622,18161,16147,18313,19245,19906,18252
