시군별,산업별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,Unnamed: 10
동두천시,보건업 및 사회복지서비스업,사업체수[개],개,314,323,313,318,316,320,
동두천시,보건업 및 사회복지서비스업,종사자수[명],명,4012,4323,4375,4372,4633,4724,
동두천시,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,166,178,196,203,209,223,
동두천시,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,589,635,684,679,625,658,
동두천시,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,809,840,885,887,1003,1013,
동두천시,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,1478,1516,1513,1577,1655,1612,
고양시,합계,사업체수[개],개,63642,66621,69255,69687,107469,110660,
고양시,합계,여성대표자 사업체수[개],개,24104,25351,26162,26619,40009,41459,
고양시,합계,종사자수[명],명,305875,319434,332904,334751,371470,381611,
고양시,합계,남성 종사자수[명],명,161254,167053,173153,173435,198806,203106,
고양시,합계,여성 종사자수[명],명,144621,152381,159751,161316,172664,178505,
고양시,농업 임업 및 어업,사업체수[개],개,6,16,24,23,68,60,
고양시,농업 임업 및 어업,종사자수[명],명,39,151,152,130,262,275,
고양시,광업,사업체수[개],개,-,-,-,-,2,2,
고양시,광업,종사자수[명],명,-,-,-,-,22,22,
고양시,제조업,사업체수[개],개,5453,5751,5858,5891,8073,8135,
고양시,제조업,종사자수[명],명,30993,32476,32669,32526,33565,32641,
고양시,전기가스증기 및 공기조절 공급업,사업체수[개],개,17,17,23,26,195,186,
고양시,전기가스증기 및 공기조절 공급업,종사자수[명],명,705,532,579,609,810,837,
고양시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,98,108,112,117,186,199,
고양시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,1581,1761,1800,2086,2285,2506,
고양시,건설업,사업체수[개],개,2079,2256,2415,2408,7803,8107,
고양시,건설업,종사자수[명],명,17737,18728,21120,20535,28767,30738,
고양시,도매 및 소매업,사업체수[개],개,17289,18032,18468,18411,33411,33473,
고양시,도매 및 소매업,종사자수[명],명,60212,63659,65854,64562,77682,78644,
고양시,운수 및 창고업,사업체수[개],개,5898,6451,7244,7011,8309,9959,
고양시,운수 및 창고업,종사자수[명],명,17566,17992,19324,19277,23038,25530,
고양시,숙박 및 음식점업,사업체수[개],개,9949,10226,10434,10686,12106,12147,
고양시,숙박 및 음식점업,종사자수[명],명,34408,35864,37118,37464,33440,34152,
고양시,정보통신업,사업체수[개],개,860,898,932,925,3348,3735,
고양시,정보통신업,종사자수[명],명,6025,6747,6826,6628,10315,11099,
고양시,금융 및 보험업,사업체수[개],개,573,596,598,594,880,914,
고양시,금융 및 보험업,종사자수[명],명,8360,8126,7808,8275,7845,8137,
고양시,부동산업,사업체수[개],개,3317,3074,3215,3325,5125,5468,
고양시,부동산업,종사자수[명],명,13830,10381,10984,10985,13033,13977,
고양시,"전문, 과학 및 기술서비스업",사업체수[개],개,1663,1703,1873,1969,4426,4640,
고양시,"전문, 과학 및 기술서비스업",종사자수[명],명,9241,9102,10040,10813,15200,15401,
고양시,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,815,1238,1342,1330,3279,3026,
고양시,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,12197,15390,14631,14432,16918,16703,
고양시,"공공행정, 국방 및 사회보장행정",사업체수[개],개,106,107,106,108,107,110,
고양시,"공공행정, 국방 및 사회보장행정",종사자수[명],명,6143,7054,7250,7343,7661,8009,
고양시,교육서비스업,사업체수[개],개,4058,4212,4331,4385,5443,5862,
고양시,교육서비스업,종사자수[명],명,28797,30052,31112,31386,29803,30402,
고양시,보건업 및 사회복지서비스업,사업체수[개],개,2548,2629,2667,2675,2834,2922,
고양시,보건업 및 사회복지서비스업,종사자수[명],명,31607,34684,38170,40593,44196,46238,
고양시,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,2065,2313,2379,2432,3084,3032,
고양시,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,8185,9122,9512,8997,8465,8745,
고양시,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,6848,6994,7234,7371,8790,8683,
고양시,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,18249,17613,17955,18110,18163,17555,
구리시,합계,사업체수[개],개,13758,14201,14648,14826,21866,21325,
구리시,합계,여성대표자 사업체수[개],개,5245,5500,5733,5742,8059,7925,
구리시,합계,종사자수[명],명,62474,64560,66759,66383,68787,69136,
구리시,합계,남성 종사자수[명],명,31912,31949,33048,33128,36107,36199,
구리시,합계,여성 종사자수[명],명,30562,32611,33711,33255,32680,32937,
구리시,농업 임업 및 어업,사업체수[개],개,-,-,-,1,9,5,
구리시,농업 임업 및 어업,종사자수[명],명,-,-,-,2,17,18,
구리시,광업,사업체수[개],개,1,1,1,-,1,1,
구리시,광업,종사자수[명],명,2,2,2,-,1,1,
구리시,제조업,사업체수[개],개,831,838,818,787,1180,1114,
구리시,제조업,종사자수[명],명,4196,4207,4063,4092,4226,3780,
구리시,전기가스증기 및 공기조절 공급업,사업체수[개],개,3,1,1,2,11,10,
구리시,전기가스증기 및 공기조절 공급업,종사자수[명],명,200,64,64,87,79,73,
구리시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,18,17,21,22,31,31,
구리시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,260,293,297,336,331,336,
구리시,건설업,사업체수[개],개,475,459,495,457,1960,1927,
구리시,건설업,종사자수[명],명,5088,3703,4077,4031,5479,5007,
구리시,도매 및 소매업,사업체수[개],개,3968,4146,4250,4152,6892,6501,
구리시,도매 및 소매업,종사자수[명],명,13039,13927,14422,13974,15665,15237,
구리시,운수 및 창고업,사업체수[개],개,1623,1636,1661,1838,2029,2260,
구리시,운수 및 창고업,종사자수[명],명,3490,3791,4041,4106,4403,4700,
구리시,숙박 및 음식점업,사업체수[개],개,2398,2497,2588,2626,2896,2745,
구리시,숙박 및 음식점업,종사자수[명],명,8036,8249,8728,8582,7159,6657,
구리시,정보통신업,사업체수[개],개,56,48,50,62,290,304,
구리시,정보통신업,종사자수[명],명,651,604,573,518,615,749,
구리시,금융 및 보험업,사업체수[개],개,181,180,185,162,254,238,
구리시,금융 및 보험업,종사자수[명],명,3466,3379,3369,2902,2222,2508,
구리시,부동산업,사업체수[개],개,616,579,592,627,958,962,
구리시,부동산업,종사자수[명],명,1962,1732,1732,1821,2310,2226,
구리시,"전문, 과학 및 기술서비스업",사업체수[개],개,279,269,306,326,687,670,
구리시,"전문, 과학 및 기술서비스업",종사자수[명],명,2250,2419,2663,2314,2874,2839,
구리시,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,127,183,198,209,595,549,
구리시,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,2252,2386,2454,2834,3160,4066,
구리시,"공공행정, 국방 및 사회보장행정",사업체수[개],개,30,30,31,30,29,31,
구리시,"공공행정, 국방 및 사회보장행정",종사자수[명],명,2003,2149,1985,2194,1471,2179,
구리시,교육서비스업,사업체수[개],개,732,770,812,781,989,1010,
구리시,교육서비스업,종사자수[명],명,4747,5289,5169,5105,5161,4918,
구리시,보건업 및 사회복지서비스업,사업체수[개],개,546,602,624,619,638,647,
구리시,보건업 및 사회복지서비스업,종사자수[명],명,5854,6642,6970,7395,8353,9043,
구리시,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,377,414,439,482,543,532,
구리시,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,1494,1490,1514,1624,1492,1499,
구리시,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,1497,1531,1576,1643,1874,1788,
구리시,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,3484,4234,4636,4466,3769,3300,
남양주시,합계,사업체수[개],개,36225,36939,38058,39232,68337,66794,
남양주시,합계,여성대표자 사업체수[개],개,13235,13524,14201,15079,24435,24728,
남양주시,합계,종사자수[명],명,154301,158434,165207,174878,214083,215236,
남양주시,합계,남성 종사자수[명],명,84176,85426,88530,92354,119153,117417,
남양주시,합계,여성 종사자수[명],명,70125,73008,76677,82524,94930,97819,
남양주시,농업 임업 및 어업,사업체수[개],개,13,15,19,19,58,48,
남양주시,농업 임업 및 어업,종사자수[명],명,81,65,58,80,153,151,
남양주시,광업,사업체수[개],개,3,3,4,5,4,2,
남양주시,광업,종사자수[명],명,40,40,40,30,10,5,
남양주시,제조업,사업체수[개],개,5376,5662,5702,5673,8268,8069,
남양주시,제조업,종사자수[명],명,31779,32941,33453,33690,38052,36493,
남양주시,전기가스증기 및 공기조절 공급업,사업체수[개],개,14,9,10,12,86,86,
남양주시,전기가스증기 및 공기조절 공급업,종사자수[명],명,485,237,238,213,290,329,
남양주시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,67,71,75,68,122,111,
남양주시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,616,902,1075,1028,1367,1274,
남양주시,건설업,사업체수[개],개,1149,1194,1279,1379,5336,5090,
남양주시,건설업,종사자수[명],명,8133,7965,8879,9497,18396,17215,
남양주시,도매 및 소매업,사업체수[개],개,8672,8798,9026,9606,20459,20213,
남양주시,도매 및 소매업,종사자수[명],명,31216,31834,32898,34867,47832,48999,
남양주시,운수 및 창고업,사업체수[개],개,4357,4140,4083,3381,6608,5293,
남양주시,운수 및 창고업,종사자수[명],명,8778,8400,8792,8622,11749,10551,
남양주시,숙박 및 음식점업,사업체수[개],개,6077,6154,6350,6706,7717,7824,
남양주시,숙박 및 음식점업,종사자수[명],명,17630,18012,19327,21228,19590,20574,
남양주시,정보통신업,사업체수[개],개,107,107,116,125,886,1033,
남양주시,정보통신업,종사자수[명],명,785,764,889,857,1957,2332,
남양주시,금융 및 보험업,사업체수[개],개,159,165,170,173,262,284,
남양주시,금융 및 보험업,종사자수[명],명,1970,2040,1904,2003,2025,2423,
남양주시,부동산업,사업체수[개],개,1704,1613,1769,1911,3345,3570,
남양주시,부동산업,종사자수[명],명,4790,4116,4463,4871,6885,7473,
남양주시,"전문, 과학 및 기술서비스업",사업체수[개],개,467,473,555,696,1962,2007,
남양주시,"전문, 과학 및 기술서비스업",종사자수[명],명,1957,2143,2260,2943,4652,4718,
남양주시,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,226,439,470,516,1999,1670,
남양주시,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,1721,2559,2487,2821,5201,4848,
남양주시,"공공행정, 국방 및 사회보장행정",사업체수[개],개,59,59,59,56,59,63,
남양주시,"공공행정, 국방 및 사회보장행정",종사자수[명],명,3194,3340,3549,3683,5015,5044,
남양주시,교육서비스업,사업체수[개],개,1870,1890,2005,2139,2922,3198,
남양주시,교육서비스업,종사자수[명],명,14654,15334,15639,16757,16898,17319,
남양주시,보건업 및 사회복지서비스업,사업체수[개],개,1560,1655,1684,1764,1854,1930,
남양주시,보건업 및 사회복지서비스업,종사자수[명],명,15275,16660,17801,19422,21895,23130,
남양주시,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,974,1086,1115,1215,1493,1479,
남양주시,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,3870,4114,4311,4472,3831,4013,
남양주시,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,3371,3406,3567,3788,4897,4824,
남양주시,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,7327,6968,7144,7794,8285,8345,
파주시,합계,사업체수[개],개,27220,28532,30369,32368,53459,56504,
파주시,합계,여성대표자 사업체수[개],개,9824,10445,11149,11910,18662,19883,
파주시,합계,종사자수[명],명,173306,181857,187258,192653,214917,225992,
파주시,합계,남성 종사자수[명],명,105963,110955,114350,116888,132330,138069,
파주시,합계,여성 종사자수[명],명,67343,70902,72908,75765,82587,87923,
파주시,농업 임업 및 어업,사업체수[개],개,17,20,22,23,96,92,
파주시,농업 임업 및 어업,종사자수[명],명,227,211,184,181,341,346,
파주시,광업,사업체수[개],개,3,4,4,5,4,3,
파주시,광업,종사자수[명],명,39,43,63,59,45,47,
파주시,제조업,사업체수[개],개,5145,5555,5810,6075,8058,8313,
파주시,제조업,종사자수[명],명,75363,78434,76911,76913,78279,80586,
파주시,전기가스증기 및 공기조절 공급업,사업체수[개],개,11,10,10,12,308,332,
파주시,전기가스증기 및 공기조절 공급업,종사자수[명],명,258,209,202,235,557,624,
파주시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,69,76,78,80,128,132,
파주시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,867,1117,1236,1238,1297,1502,
파주시,건설업,사업체수[개],개,814,869,955,990,4623,4932,
파주시,건설업,종사자수[명],명,5481,7154,8051,8003,13226,12558,
파주시,도매 및 소매업,사업체수[개],개,6040,6196,6438,6868,12608,13350,
파주시,도매 및 소매업,종사자수[명],명,20858,21386,22724,23802,30427,31458,
파주시,운수 및 창고업,사업체수[개],개,2574,2567,2933,3329,5972,6343,
파주시,운수 및 창고업,종사자수[명],명,9557,9703,10450,11194,13895,14582,
파주시,숙박 및 음식점업,사업체수[개],개,4869,5067,5349,5636,6430,6551,
