P-Value,Correlation
0.004053944,0.845904653
0.000367247,0.924147674
0.386515507,0.329523477
0.603703095,0.20119571
0.012193641,0.785074228
0.001043649,0.896972198
0.002279733,0.870199739
0.007843417,-0.847768237
0.000297901,-0.928641701
0.010905088,0.792273915
0.062749083,-0.64116422
0.06650156,-0.634369373
0.00267107,0.863941514
0.007152671,0.817221516
0.002369739,0.868698329
0.005654388,0.829725761
0.000153651,-0.941150008
