행정구역(동읍면)별,2015,2016,2017,2018,2019,2020,2021
강원특별자치도 강릉시,0.6239108106623947,0.596853875139251,0.549556518212774,0.454851533321406,0.4514267613723639,0.3700681307854616,0.343882564347157
강원특별자치도 고성군,0.1875000995839813,0.2287741293753657,0.1915904146637031,-0.2590297505146759,-0.1067029637106552,0.009909191142966,0.2820222751882398
강원특별자치도 동해시,0.7083592595657736,0.6524257318216993,0.5756906336002369,0.3954819027996569,0.3843589971055685,0.3947418765361563,0.3143521951171364
강원특별자치도 삼척시,0.2305345326378197,0.2244103590795173,0.209080044051261,0.2801342175619187,0.1207027777866106,-0.0310054341628906,0.0094977844504561
강원특별자치도 속초시,0.8427035815022093,0.7975680808159028,0.7599530170655776,0.5754627337276069,0.5282239914244283,0.5032137517809009,0.415040722369389
강원특별자치도 양구군,0.5852383693967742,0.4528629270089078,0.3830169557907174,0.2727544418119511,0.1308160756783957,0.1337987160682113,0.0818977107734887
강원특별자치도 양양군,0.2030228604889806,0.132013054998576,0.193823487989151,0.2043442358085616,0.2737217305557659,0.2206347662254226,0.1499389178038183
강원특별자치도 영월군,0.254017359603204,0.1930522427649032,0.2308881828233545,0.1197749843112302,0.0385224113801121,0.0475818038648058,0.0677293519163422
강원특별자치도 원주시,1.7153964530143109,1.6260416055660072,1.4018979007725716,1.2585156624554297,1.162897264176066,1.0302317545443331,0.8997213984987583
강원특별자치도 인제군,0.6393717566701675,0.3309058100285725,0.3718644623061331,0.2620698932645128,0.2155984488172874,0.2866984341965643,0.3645568614440915
강원특별자치도 정선군,0.2219611837705075,0.1373675096895921,0.100470996505892,0.0971914768888462,0.0775473463613392,0.0648580494047317,-0.0134049938842082
강원특별자치도 철원군,0.5890043719829263,0.2498506698932585,0.213416319629506,0.1824928326191636,0.1301877386732292,0.0661416481960446,-0.0108459053030054
강원특별자치도 춘천시,1.0994316806439794,1.0868765076610252,0.8982217745316192,0.8125420233142686,0.7297405486199458,0.6527336040753672,0.6213073145753755
강원특별자치도 태백시,0.3385845158269358,0.3429137868638426,0.1492016660895209,0.1205170434647232,0.0712389729620145,-0.0118766755115009,-0.0851130485582196
강원특별자치도 평창군,0.260274625062739,0.2435617914582036,0.1977561455505596,0.1126469491173567,0.0601508772688369,0.074070640295505,0.0488044390444698
강원특별자치도 홍천군,0.3203397827172921,0.2934358759420431,0.3202833515187021,0.1995854362389775,0.1116804920118749,0.2213646402355818,0.1043551384580891
강원특별자치도 화천군,0.3570751970672426,0.2002540650834395,0.2916506248104089,0.0607084554547221,0.2125589724848964,0.2120255241860946,0.0568824147472618
강원특별자치도 횡성군,0.3224230587219117,0.277018174361137,0.2812128822322432,0.3024641947734696,0.1544288793814812,0.1482600256259543,0.1893450896104346
경기도 가평군,0.4258470612535009,0.3792254021974566,0.3670698455189821,0.2664768222433194,0.1623696087978197,0.2089124502288889,0.2185898650899876
경기도 고양시,2.680214332545797,2.4494756744039314,2.085585427159646,1.81601032493746,1.7318781743006526,1.424406890099839,1.163239238471268
경기도 과천시,1.9306425794600288,1.3896326257478533,0.927060638656106,1.427784590503395,1.246853724441995,1.5153524713667832,1.756725906067676
경기도 광명시,2.52598892233238,2.209883063772637,1.8358958564939656,1.5780592262485411,1.1962484185231892,0.8935348801814866,0.9452252964711024
경기도 광주시,2.6154622288839704,2.4977109437361125,2.3034152687763134,2.0921533805245622,1.6923513670266968,1.4461109397377965,1.1683420914516256
경기도 구리시,2.673484826869082,2.701054938586899,2.4038215047212383,2.0281923049564514,1.3824205128276177,1.216846652778368,0.8953495865971033
경기도 군포시,3.0974965451465275,2.694367104529654,2.213449560481969,1.853722931360616,1.6261634727673622,1.283145375506103,0.9690601218265747
경기도 김포시,2.3847195089215667,2.2987883320718407,2.408640912562311,2.3758731479891337,1.977163981051243,2.0585062870052853,1.65619335876259
경기도 남양주시,2.362166415926008,2.08758924795366,1.7165643361618697,1.703218888643918,1.5903693495883289,1.293183416915759,1.256265471724442
경기도 동두천시,0.8412484708503774,0.766416663909435,0.5629816819050978,0.5051736288974338,0.3723764739038798,0.3854185060557059,0.3878662117502251
경기도 부천시,2.9333219329782816,2.693350123244936,2.2268576580284885,1.8385618567316333,1.4006614608878083,1.1341745700310075,0.9148634208306998
경기도 성남시,2.417350443071441,2.28763718901751,1.922287954802224,1.6158759845509985,1.3733091822493488,1.242592546277259,1.0698560871835965
