"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"서울특별시","20 - 24세","남자인구수[명]","명","355317","347534","336372","323758","310553","301012","285890","272653","260394",
"서울특별시","20 - 24세","여자인구수[명]","명","348466","343194","338302","335157","331411","329103","317187","305721","294664",
"서울특별시","25 - 29세","총인구수[명]","명","743438","751973","772441","790875","814659","830296","819200","811109","800753",
"서울특별시","25 - 29세","남자인구수[명]","명","367883","372249","383647","392439","403107","406657","398640","391586","382835",
"서울특별시","25 - 29세","여자인구수[명]","명","375555","379724","388794","398436","411552","423639","420560","419523","417918",
"서울특별시","30 - 34세","총인구수[명]","명","856461","803507","758616","730349","725858","726382","736001","758697","777975",
"서울특별시","30 - 34세","남자인구수[명]","명","429916","402358","378649","364172","361646","362815","367125","379883","390093",
"서울특별시","30 - 34세","여자인구수[명]","명","426545","401149","379967","366177","364212","363567","368876","378814","387882",
"서울특별시","35 - 39세","총인구수[명]","명","811792","817467","820573","818421","784101","748724","703278","667111","649430",
"서울특별시","35 - 39세","남자인구수[명]","명","407741","410076","412218","410013","393184","375086","351638","332792","323822",
"서울특별시","35 - 39세","여자인구수[명]","명","404051","407391","408355","408408","390917","373638","351640","334319","325608",
"서울특별시","40 - 44세","총인구수[명]","명","859470","811751","778634","734337","725112","728008","729566","730905","737027",
"서울특별시","40 - 44세","남자인구수[명]","명","430700","405561","386206","365464","358785","360658","361658","363347","365462",
"서울특별시","40 - 44세","여자인구수[명]","명","428770","406190","392428","368873","366327","367350","367908","367558","371565",
"서울특별시","45 - 49세","총인구수[명]","명","842139","866421","869355","856037","835871","800174","751214","718801","683046",
"서울특별시","45 - 49세","남자인구수[명]","명","418873","428554","432103","424481","414743","396292","371713","353680","337539",
"서울특별시","45 - 49세","여자인구수[명]","명","423266","437867","437252","431556","421128","403882","379501","365121","345507",
"서울특별시","65 - 69세","총인구수[명]","명","452512","448956","462481","468466","489156","529494","563260","579856","609103",
"서울특별시","65 - 69세","남자인구수[명]","명","213781","211568","218051","220092","229978","247661","263247","270603","284228",
"서울특별시","65 - 69세","여자인구수[명]","명","238731","237388","244430","248374","259178","281833","300013","309253","324875",
"서울특별시","70 - 74세","총인구수[명]","명","347368","350580","356509","372218","388790","404546","396569","408481","417048",
"서울특별시","70 - 74세","남자인구수[명]","명","163424","163766","164771","171611","178497","185490","182384","187795","191108",
"서울특별시","70 - 74세","여자인구수[명]","명","183944","186814","191738","200607","210293","219056","214185","220686","225940",
"서울특별시","75 - 79세","총인구수[명]","명","234999","251961","278800","288607","295297","299530","299231","305015","321421",
"서울특별시","75 - 79세","남자인구수[명]","명","103173","112076","125578","130235","133393","134926","134124","135811","142967",
"서울특별시","75 - 79세","여자인구수[명]","명","131826","139885","153222","158372","161904","164604","165107","169204","178454",
"서울특별시","80 - 84세","총인구수[명]","명","130345","141649","152642","164475","178836","188219","199138","219561","228831",
"서울특별시","80 - 84세","남자인구수[명]","명","48243","54033","59470","65445","72707","77789","83319","93014","97049",
"서울특별시","80 - 84세","여자인구수[명]","명","82102","87616","93172","99030","106129","110430","115819","126547","131782",
"서울특별시","85 - 89세","총인구수[명]","명","62456","66067","70471","74394","80651","89875","95871","101648","110383",
"서울특별시","85 - 89세","남자인구수[명]","명","18019","19595","21695","23864","26524","30550","33205","35923","39975",
"서울특별시","85 - 89세","여자인구수[명]","명","44437","46472","48776","50530","54127","59325","62666","65725","70408",
"서울특별시","90 - 94세","총인구수[명]","명","23212","24153","25877","27804","30848","33503","33815","34536","36809",
"서울특별시","90 - 94세","남자인구수[명]","명","5985","6146","6469","6950","8008","8848","8844","9315","10239",
"서울특별시","90 - 94세","여자인구수[명]","명","17227","18007","19408","20854","22840","24655","24971","25221","26570",
"서울특별시","95 - 99세","총인구수[명]","명","6507","7058","7602","8490","8842","9180","7920","7818","8537",
"서울특별시","95 - 99세","남자인구수[명]","명","1742","1900","2016","2303","2405","2373","1793","1682","1820",
"서울특별시","95 - 99세","여자인구수[명]","명","4765","5158","5586","6187","6437","6807","6127","6136","6717",
"서울특별시","100+","총인구수[명]","명","5037","5475","5519","5843","6244","6792","1643","1292","1448",
"서울특별시","100+","남자인구수[명]","명","1293","1406","1328","1450","1596","1791","381","274","319",
"서울특별시","100+","여자인구수[명]","명","3744","4069","4191","4393","4648","5001","1262","1018","1129",
