시도별_2015,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
경기도 수원시_2015,6,191,0,0,"3,697","39,536",12,786,68,728,"2,254","20,947","16,890","55,797","7,432","18,934","12,777","45,028",548,"6,092",806,"14,248","3,357","11,582","2,154","45,302","1,187","33,967",132,"15,510","4,052","36,612","2,941","31,576","2,114","6,979","7,905","20,755"
경기도 성남시_2015,3,70,2,9,"4,250","41,552",16,"1,300",69,"1,001","2,148","25,223","16,253","64,013","5,633","15,685","10,929","41,097","1,586","48,342",698,"12,108","3,287","14,408","2,404","42,581",882,"22,004",118,"8,230","3,583","32,758","2,530","29,880","1,811","7,133","6,266","17,240"
경기도 안양시_2015,2,8,3,67,"3,998","34,543",10,269,53,661,"1,822","17,424","11,868","39,113","4,037","11,036","6,949","22,965",716,"7,454",496,"8,343","1,989","7,080","1,757","20,555",519,"13,574",71,"4,539","2,341","19,796","1,515","15,282","1,207","3,368","4,264","10,945"
경기도 부천시_2015,1,29,1,2,"10,881","73,380",5,233,55,"1,398","1,659","12,718","13,265","41,042","6,151","11,372","9,152","27,964",433,"3,982",622,"9,862","2,494","8,090","1,195","6,724",621,"13,300",85,"5,420","2,494","21,351","2,012","23,232","1,728","5,048","6,365","15,836"
경기도 광명시_2015,1,1,0,0,"1,796","15,162",4,158,33,297,618,"4,358","4,974","17,190","2,035","4,751","2,846","9,266",106,750,139,"2,367",841,"2,901",272,"2,034",138,"2,435",44,"1,910","1,119","8,141",851,"7,649",454,"2,056","2,029","4,706"
경기도 평택시_2015,34,448,2,38,"3,577","79,443",16,987,127,"1,276","1,168","9,143","8,111","23,253","3,167","11,512","6,679","19,034",89,"1,074",318,"4,386","1,615","4,127",579,"4,068",523,"9,464",83,"4,051","1,416","11,370","1,045","9,968",812,"1,970","3,565","8,006"
경기도 안산시_2015,7,47,5,46,"8,932","126,404",18,760,132,"1,545","1,790","13,234","11,695","36,094","6,078","13,362","8,669","24,823",231,"1,663",477,"7,222","1,924","5,768","1,167","9,619",784,"14,596",91,"5,890","2,034","18,306","1,660","19,026","1,584","4,687","4,812","10,692"
경기도 과천시_2015,4,37,0,0,80,364,3,204,10,128,152,"2,448","1,326","5,191",277,947,535,"2,492",43,"1,976",32,590,200,823,120,"3,406",53,"1,428",31,"3,953",241,"1,940",149,"1,373",88,"4,652",318,"1,004"
경기도 오산시_2015,2,18,0,0,775,"10,082",3,142,37,411,331,"2,461","2,569","8,458","1,647","3,378","2,304","7,149",38,283,81,"1,119",440,"1,264",162,"1,273",223,"5,030",22,"1,502",584,"7,111",511,"5,071",362,"1,184","1,192","2,997"
경기도 시흥시_2015,4,14,0,0,"12,041","92,856",6,171,91,754,975,"6,503","8,590","26,362","3,383","7,396","4,980","13,756",100,749,164,"1,951","1,347","3,325",474,"2,390",312,"4,352",52,"3,037","1,158","9,819",935,"9,526",858,"2,106","2,730","5,884"
경기도 군포시_2015,0,0,0,0,"2,911","26,340",4,185,32,307,552,"4,756","3,113","11,071","1,686","8,178","2,479","7,368",114,"1,006",93,975,730,"2,396",420,"4,696",198,"6,341",26,"2,243",992,"7,820",715,"6,436",434,"1,696","1,709","4,777"
경기도 의왕시_2015,2,40,0,0,988,"9,215",4,57,25,162,287,"2,035","1,801","6,184","1,124","4,297","1,262","4,113",75,"1,133",41,"1,119",413,"1,361",173,"3,660",84,"1,162",25,"2,056",429,"3,335",357,"3,512",206,615,847,"2,019"
경기도 하남시_2015,1,2,0,0,"1,440","8,525",8,291,20,68,577,"5,204","4,224","18,006","1,278","3,969","1,457","4,768",58,662,62,748,586,"1,911",205,"1,722",103,"1,019",32,"1,688",387,"3,173",390,"3,520",234,"1,143","1,018","2,323"
경기도 용인시_2015,20,188,13,223,"3,957","57,810",13,374,95,"1,664","1,443","13,721","10,854","39,617","5,063","17,853","8,103","27,909",281,"3,986",330,"4,386","2,773","9,272","1,128","25,934",531,"11,429",95,"6,038","3,449","34,450","2,251","21,818","1,419","10,022","4,787","13,222"
경기도 이천시_2015,36,488,0,0,"1,692","33,682",7,142,54,750,557,"4,034","3,594","11,396","1,653","7,163","2,960","9,244",56,410,133,"1,885",681,"2,116",276,"3,160",217,"6,407",65,"2,011",751,"5,907",473,"5,379",433,"2,130","1,692","4,269"
경기도 안성시_2015,47,669,4,38,"2,311","37,445",10,157,74,595,474,"3,070","2,918","8,965","1,212","4,079","2,808","7,149",35,667,88,"1,200",433,"1,236",211,"1,155",164,"2,518",58,"2,224",586,"6,655",518,"5,097",405,"2,043","1,366","2,888"
경기도 김포시_2015,11,83,2,9,"8,318","67,203",7,255,108,789,655,"3,922","5,301","17,520","1,895","5,558","3,431","10,562",68,473,133,"1,982",945,"2,930",365,"1,637",179,"1,278",46,"2,133","1,028","8,795",814,"7,432",521,"1,712","1,925","4,795"
경기도 화성시_2015,28,242,23,130,"16,481","211,329",11,255,279,"2,345","1,669","14,988","10,211","34,645","4,312","13,255","7,065","22,399",114,952,249,"2,966","2,176","6,403",917,"26,772",446,"8,063",82,"3,498","1,947","19,309","1,448","12,497",985,"4,054","3,510","11,076"
경기도 광주시_2015,19,193,4,40,"6,211","45,515",4,238,50,412,849,"5,545","5,527","21,666","2,987","9,101","3,137","9,455",53,423,81,"1,279",952,"2,331",360,"1,871",137,889,38,"2,320",721,"6,339",699,"6,644",531,"2,415","2,002","4,906"
경기도 여주시_2015,19,216,9,50,"1,005","7,882",3,93,30,262,286,"1,592","1,984","5,621",681,"1,871","1,755","4,711",21,149,58,807,338,893,140,866,65,"1,190",60,"2,214",311,"3,079",282,"3,191",261,"2,856",892,"1,970"
경기도 양평군_2015,20,210,0,0,333,"1,387",4,94,25,168,382,"1,859","1,534","3,970",471,976,"2,163","5,647",43,230,49,560,413,763,137,599,47,211,48,"2,092",268,"2,451",271,"3,111",231,"1,043",773,"1,777"
경기도 의정부시_2015,1,2,1,21,"1,344","6,768",8,693,20,386,761,"5,699","6,244","19,152","2,611","5,630","4,990","14,500",114,"1,353",309,"5,011","1,090","3,557",588,"3,404",279,"4,383",61,"5,553","1,405","12,218","1,170","12,441",791,"2,266","3,136","6,899"
경기도 동두천시_2015,1,4,0,0,435,"5,654",7,292,29,254,186,845,"1,511","3,532",629,"1,353","1,471","3,733",14,181,50,791,227,685,55,157,57,598,29,"1,489",249,"2,121",287,"3,284",150,453,805,"1,654"
경기도 고양시_2015,8,86,0,0,"5,317","30,700",12,687,90,"1,385","2,011","16,230","16,640","58,123","5,801","16,831","9,494","33,754",816,"5,421",543,"8,221","3,056","11,606","1,530","8,793",814,"13,109",102,"5,938","3,903","28,713","2,386","27,694","1,834","6,862","6,512","16,771"
경기도 구리시_2015,0,0,1,2,842,"4,222",3,199,19,282,459,"4,698","3,950","12,814","1,506","3,292","2,277","7,598",57,669,177,"3,540",543,"1,705",266,"2,046",120,"2,012",30,"2,205",714,"4,827",513,"5,575",342,"1,309","1,432","3,444"
경기도 남양주시_2015,9,70,3,39,"5,233","30,167",14,481,72,686,"1,093","7,498","8,280","29,336","3,781","8,478","5,859","17,294",109,762,154,"1,952","1,533","5,791",434,"1,837",211,"1,365",53,"2,832","1,740","14,311","1,479","14,019",848,"3,426","3,225","7,427"
경기도 파주시_2015,12,188,4,71,"4,854","72,339",10,303,65,840,760,"4,925","5,810","19,587","2,589","9,423","4,681","13,485",345,"3,783",163,"2,186",961,"3,495",397,"1,688",231,"3,523",61,"2,283","1,036","10,156",989,"8,940",660,"2,780","2,343","5,639"
