시도별_2018,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
부산광역시 영도구_2018,2,14,0,0,"1,552","9,874",2,40,20,264,258,"1,761","2,141","5,711","1,082","3,606","1,756","4,328",44,454,50,343,254,661,108,"1,615",138,"2,755",38,"2,283",311,"4,071",282,"4,637",180,533,"1,052","2,109"
부산광역시 부산진구_2018,0,0,0,0,"2,250","8,011",1,20,16,497,"1,108","13,476","10,379","28,309","2,522","7,137","6,428","21,695",213,"1,462",778,"14,805","1,481","5,874",915,"5,866",768,"16,277",62,"3,283","1,423","12,865","1,212","18,257",782,"2,950","3,525","8,145"
부산광역시 동래구_2018,2,14,3,10,992,"3,391",3,89,12,551,885,"10,288","5,200","14,608","1,881","3,495","4,040","12,496",73,681,171,"1,894",921,"2,182",405,"2,761",389,"8,022",34,"1,911","1,254","7,462",777,"11,838",635,"1,950","2,418","4,700"
부산광역시 남구_2018,0,0,0,0,963,"5,400",5,398,17,287,531,"5,506","3,806","10,936","2,087","10,199","3,254","10,227",160,734,145,"4,640",710,"2,050",387,"1,890",315,"4,092",51,"2,363",921,"10,966",644,"8,870",491,"1,760","2,065","4,347"
부산광역시 북구_2018,0,0,0,0,603,"2,442",1,20,17,414,393,"2,666","3,510","9,912","2,276","3,513","2,990","8,514",50,531,152,"2,872",691,"1,769",181,"1,100",202,"2,244",43,"2,582",985,"7,132",694,"9,577",591,"1,468","1,845","3,530"
부산광역시 해운대구_2018,0,0,2,10,884,"6,961",7,146,26,367,820,"10,509","7,695","25,799","2,632","6,469","5,074","22,050",557,"5,938",288,"3,597","1,652","5,887","1,211","8,061",524,"9,400",66,"3,188","1,812","11,680","1,057","13,393",808,"3,485","2,888","6,574"
부산광역시 사하구_2018,10,461,0,0,"3,233","30,758",9,358,54,903,527,"4,176","4,985","14,542","2,540","9,468","4,230","11,140",74,486,135,"1,616",790,"2,318",269,"1,780",289,"2,491",52,"2,902","1,078","8,623",778,"10,602",625,"1,559","2,511","4,834"
부산광역시 금정구_2018,3,3,0,0,"1,642","9,850",20,258,23,342,711,"11,723","4,476","13,822","1,660","8,178","3,549","9,676",96,806,103,"1,019",763,"1,757",485,"3,090",254,"3,735",45,"2,333",940,"10,363",618,"8,447",622,"2,266","2,114","4,479"
부산광역시 강서구_2018,9,28,6,37,"6,477","69,297",12,147,83,748,468,"3,289","4,506","15,542",894,"8,358","1,955","6,409",48,928,82,758,714,"1,284",289,"2,686",229,"1,486",59,"3,043",386,"3,014",270,"2,374",266,"1,724",664,"1,591"
부산광역시 연제구_2018,1,3,0,0,695,"2,770",40,458,10,88,782,"10,966","3,717","12,255","1,457","3,686","3,048","9,089",114,"1,056",416,"6,854",997,"3,807","1,181","6,125",415,"5,844",48,"8,198",777,"4,920",606,"8,498",418,"1,169","1,979","4,464"
부산광역시 수영구_2018,0,0,0,0,570,"2,103",3,323,16,332,617,"8,017","3,572","9,494",997,"3,214","2,998","9,507",71,753,92,941,662,"1,806",346,"1,985",314,"2,082",30,"1,869",738,"3,636",501,"7,118",382,960,"1,766","3,503"
부산광역시 사상구_2018,0,0,0,0,"7,244","40,803",3,92,77,756,749,"5,085","9,374","27,998","2,003","6,286","3,618","9,277",135,827,134,"1,199",618,"1,880",490,"2,876",273,"3,715",37,"2,638",602,"7,056",489,"7,921",553,"1,238","1,989","4,716"
부산광역시 기장군_2018,7,37,0,0,"1,211","16,547",9,"1,587",45,445,413,"4,742","2,905","8,987",832,"3,238","2,473","8,431",24,230,63,559,475,"1,199",130,533,162,"2,579",26,"2,862",549,"4,355",438,"5,412",270,"1,507","1,111","2,301"
서울특별시 종로구_2018,3,17,4,10,"4,437","13,071",12,350,7,126,328,"30,305","16,587","43,116","1,388","7,260","6,625","27,639",858,"18,599",567,"19,260","1,316","6,392","1,553","21,766","1,227","18,157",89,"15,658",850,"13,504",744,"15,888",909,"6,227","2,448","7,672"
서울특별시 중구_2018,0,0,2,3,"9,369","29,402",6,724,10,369,390,"4,896","31,547","98,606","1,547","14,316","6,050","33,032",914,"25,013","1,217","50,108","1,694","9,169","2,752","36,078","1,483","39,020",62,"19,280",471,"8,321",747,"10,104",558,"3,723","2,138","8,366"
서울특별시 용산구_2018,0,0,0,0,964,"3,181",4,43,10,150,421,"7,591","7,248","31,093","1,251","3,918","4,603","19,474",484,"9,750",266,"5,085","1,139","3,807",833,"15,387",365,"15,708",47,"3,149",550,"7,452",579,"6,658",408,"2,831","1,641","5,939"
서울특별시 성동구_2018,1,3,0,0,"4,444","27,062",13,421,31,782,666,"5,790","7,385","31,602","2,629","8,653","3,836","12,442",860,"10,725",314,"4,131","1,371","5,520","1,447","14,631",419,"18,907",47,"4,471",961,"11,371",748,"8,539",581,"2,157","2,115","7,612"
서울특별시 광진구_2018,1,3,0,0,"1,707","7,198",3,69,16,244,784,"13,397","5,889","19,023","2,519","5,828","4,764","17,023",345,"3,720",235,"4,739","1,275","3,725",798,"4,811",451,"10,213",36,"2,662","1,183","14,139",909,"11,615","1,033","3,862","2,587","5,608"
