Metric,Value,Unnamed: 0
Correlation,0.8420494981738028,0.0
P-Value,0.004402652258616,1.0
Correlation,0.9365911475444136,0.0
P-Value,0.0001986003187126,1.0
Correlation,0.5052264579398881,0.0
P-Value,0.1653291446530113,1.0
Correlation,0.1918522536782521,0.0
P-Value,0.6209521878073051,1.0
Correlation,0.9028187287073892,0.0
P-Value,0.0008556832067178,1.0
Correlation,0.8494752160321353,0.0
P-Value,0.00374831972431,1.0
Correlation,0.8960587140480956,0.0
P-Value,0.0010754040374638,1.0
Correlation,-0.6787035948012334,0.0
P-Value,0.0642223192572953,1.0
Correlation,-0.8787672894118869,0.0
P-Value,0.0018108228947058,1.0
Correlation,0.8707393363908442,0.0
P-Value,0.0022479711575669,1.0
Correlation,-0.575041875995103,0.0
P-Value,0.105266766196103,1.0
Correlation,-0.5133992225853636,0.0
P-Value,0.193152455776539,1.0
Correlation,0.8793607993671169,0.0
P-Value,0.0017810581640036,1.0
Correlation,0.9468258119268518,0.0
P-Value,0.0001083482223149,1.0
Correlation,0.8845372100174251,0.0
P-Value,0.0035227215718941,1.0
Correlation,0.76150708421421,0.0
P-Value,0.0171184905783118,1.0
Correlation,-0.90462422318991,0.0
P-Value,0.0008027804563695,1.0
