시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
경상북도 영양군,26,138,1,10,105,339,239,286,7,31,265,"1,263",375,647,74,135,285,439,13,64,14,116,3,5,26,297,17,55,27,"1,163",43,398,63,696,24,76,159,207,
경상북도 영덕군,22,114,13,51,359,"1,367",213,263,20,143,678,"2,122","1,414","2,176",203,336,"1,234","2,189",26,128,51,358,69,110,66,265,47,171,39,"1,276",109,884,128,"1,539",89,388,476,717,
경상북도 청도군,88,"1,064",2,20,578,"2,479",135,187,21,168,325,"1,255","1,220","2,511",587,791,"1,107","2,136",28,114,39,666,167,217,92,292,72,238,36,"1,940",128,757,158,"1,955",89,420,500,835,
경상북도 고령군,27,165,9,74,"1,735","10,057",115,160,57,390,451,"1,916","1,102","2,305",453,739,535,"1,018",26,97,30,196,102,167,66,203,58,116,29,"1,026",82,578,113,"1,313",71,303,307,605,
경상북도 성주군,49,252,6,64,"1,887","10,671",315,450,55,377,682,"2,374","1,248","2,438",931,"1,682",939,"1,754",25,128,45,315,153,252,96,310,84,196,36,"1,343",101,703,132,"1,690",76,219,375,587,
경상북도 칠곡군,39,236,6,46,"4,039","27,369",233,373,95,543,"1,139","3,937","4,113","9,048","1,577","4,410","2,266","4,659",63,299,76,586,451,926,198,980,426,"1,248",48,"1,803",435,"3,282",325,"4,325",310,907,"1,158","2,076",
경상북도 예천군,53,195,4,12,365,"1,267",553,686,25,211,442,"1,831","1,233","2,417",284,514,894,"1,635",39,221,48,312,118,231,90,283,73,183,47,"1,763",228,"1,288",200,"2,525",92,339,515,838,
경상북도 봉화군,43,186,6,82,261,"1,886",274,361,22,175,442,"1,868",727,"1,268",140,359,687,"1,138",19,92,34,212,36,47,44,105,22,76,38,"1,266",77,661,82,883,61,457,315,503,
경상북도 울진군,29,217,10,41,294,"1,073",66,"2,409",21,150,619,"2,359","1,614","2,634",216,372,"1,484","2,819",34,132,55,383,78,138,79,"1,299",99,400,46,"2,238",181,"1,200",127,"1,838",133,405,557,788,
경상북도 울릉군,3,10,0,0,107,360,4,46,11,73,114,519,319,549,74,234,460,912,13,55,13,66,6,11,11,21,46,168,25,607,25,183,16,176,24,79,128,329,
광주광역시 동구,7,11,0,0,966,"2,031",72,98,8,147,891,"5,630","5,605","10,447",826,"1,890","2,896","6,744",283,"2,567",340,"3,990","1,095","2,424","1,021","4,166",431,"4,526",36,"2,865",626,"6,360",492,"12,411",458,"1,806","1,597","2,716",
광주광역시 서구,18,91,8,29,"1,303","11,386",355,740,42,972,"5,209","24,173","11,161","25,564","2,282","6,351","5,088","13,752",410,"2,279",954,"12,280","2,426","8,883","1,609","7,454","1,016","10,026",74,"7,064","1,624","7,928","1,167","15,170",985,"3,207","3,615","7,094",
광주광역시 남구,15,36,1,4,637,"1,773",185,203,32,357,"1,536","15,006","4,634","8,719","1,414","2,663","2,642","5,902",249,"1,146",137,807,"1,204","2,403",524,"1,937",407,"1,905",32,"1,804","1,302","8,535",815,"14,667",608,"1,352","2,212","4,221",
광주광역시 북구,27,39,1,4,"2,927","21,150",526,946,38,333,"4,359","25,192","12,401","27,048","5,315","9,968","6,236","14,176",465,"2,533",330,"2,969","2,240","5,407","1,454","6,862","1,174","8,593",69,"4,568","2,103","15,846","1,456","22,021","1,378","3,699","4,568","7,559",
광주광역시 광산구,45,335,2,8,"5,702","51,820",547,"1,040",120,726,"3,346","11,660","10,958","24,384","7,591","14,052","5,933","14,323",277,"2,177",244,"1,922","2,278","4,903",951,"3,254","1,099","5,733",60,"3,443","2,063","13,075","1,290","17,428","1,152","2,614","3,778","6,920",
대구광역시 중구,0,0,0,0,"2,190","4,573",22,263,14,348,702,"6,379","11,135","20,228",940,"1,723","3,862","9,568",312,"1,641",693,"10,016","1,038","2,467",986,"3,275",625,"4,097",37,"2,804",729,"3,810",664,"13,339",435,"1,200","1,883","3,691",
대구광역시 동구,13,32,1,4,"1,948","8,381",102,"1,603",65,441,"2,720","15,024","10,278","22,841","5,457","12,055","5,320","12,156",448,"3,606",292,"2,759","1,749","4,455","1,214","6,293",895,"6,469",73,"3,554","1,442","8,060","1,056","13,279",798,"1,875","3,554","7,137",
대구광역시 서구,1,3,1,4,"3,770","18,467",34,290,52,539,"1,742","4,830","6,880","15,434","2,204","4,927","3,101","5,530",88,548,167,"1,714",726,"1,619",343,"1,490",498,"2,623",39,"2,897",484,"3,467",574,"8,550",439,790,"2,198","4,287",
대구광역시 남구,3,12,1,4,967,"2,194",38,46,28,206,"1,735","4,871","4,872","8,768","1,151","1,932","2,795","5,436",263,"1,264",143,"1,040",752,"1,591",753,"2,847",451,"3,365",32,"1,827",601,"4,405",565,"13,705",494,990,"2,061","3,092",
대구광역시 북구,9,184,0,0,"10,059","33,214",78,431,66,564,"3,025","11,452","16,039","35,627","5,328","8,773","6,541","14,431",495,"3,289",295,"2,393","1,837","4,377","1,109","4,491",881,"5,835",70,"5,500","2,007","18,022","1,166","16,551","1,049","2,516","3,714","6,557",
대구광역시 수성구,8,9,2,8,"1,164","3,062",146,372,22,339,"2,322","23,825","9,149","19,307","3,078","4,732","5,690","15,355",483,"2,713",587,"7,748","2,796","6,233","1,953","7,703",790,"9,769",71,"6,201","3,355","15,236","1,293","15,091","1,116","3,108","3,827","6,382",
대구광역시 달서구,7,14,2,8,"7,563","54,441",139,278,96,"1,043","5,513","13,942","13,535","28,367","8,184","14,252","8,070","17,948",452,"2,235",591,"5,398","2,582","5,871","1,495","6,323","1,304","9,050",78,"5,035","2,834","19,734","1,540","23,257","1,524","3,579","5,082","8,553",
대구광역시 달성군,26,188,2,8,"5,597","49,050",111,343,127,956,"1,638","6,716","5,756","11,413","3,040","6,609","3,381","7,603",126,359,111,949,"1,072","2,683",396,"1,761",578,"2,655",44,"3,515","1,065","7,315",674,"8,401",530,"1,417","1,810","2,819",
대전광역시 동구,6,24,0,0,"2,357","6,763",52,605,38,238,"1,518","8,414","7,197","15,034","2,606","7,496","3,558","7,649",234,812,135,931,860,"1,752",431,"2,209",537,"5,326",45,"2,666",712,"7,536",792,"10,095",551,"1,047","2,307","4,017",
대전광역시 중구,11,42,1,4,"1,099","3,415",49,397,37,200,"3,637","10,561","7,761","16,233","3,442","6,858","4,208","9,202",315,"1,794",337,"4,886","1,023","2,596",664,"2,177",784,"8,020",47,"3,495",998,"7,048",902,"17,234",739,"2,071","2,992","5,036",
대전광역시 서구,16,216,0,0,"1,526","4,334",113,488,48,348,"3,383","17,599","13,502","28,450","4,116","6,182","7,318","18,606",940,"6,593",936,"11,759","2,568","7,817","2,283","10,305","1,473","16,189",103,"15,428","2,656","17,936","1,744","24,138","1,496","3,648","4,954","9,032",
대전광역시 유성구,48,179,6,6,"2,434","23,575",109,422,33,837,"2,431","17,803","9,666","28,273","2,599","4,862","5,901","16,738","1,147","9,088",221,"1,541","2,032","4,724","2,002","38,347",901,"7,365",52,"4,720","1,960","20,461","1,086","13,458",969,"3,363","2,968","6,125",
대전광역시 대덕구,10,43,3,9,"3,633","29,748",67,152,71,"2,519","2,056","8,570","7,203","17,512","4,099","9,411","2,846","6,164",155,582,103,773,627,"1,244",385,"2,801",500,"5,951",31,"2,285",665,"4,822",554,"8,588",558,"1,038","2,118","4,214",
부산광역시 중구,18,"1,596",1,5,697,"1,521",2,25,11,192,307,"1,888","6,511","12,027","4,937","21,150","2,746","6,533",128,832,219,"1,911",650,"1,459",425,"2,831",448,"5,306",37,"2,374",179,972,241,"3,932",292,638,"1,090","2,112",
부산광역시 서구,19,"1,290",2,10,542,"2,756",8,78,14,210,377,"1,482","4,310","9,336","1,446","3,514","1,870","4,335",58,213,80,518,387,796,194,595,281,"2,424",31,"1,713",384,"3,177",386,"12,039",163,551,"1,078","1,825",
부산광역시 동구,6,40,1,5,"1,246","2,826",10,16,11,143,"1,025","5,723","5,735","11,705","3,188","12,043","2,291","5,363",177,"1,391",600,"7,491",654,"2,072",592,"3,669",645,"9,147",48,"2,296",290,"1,870",395,"8,073",193,685,"1,532","2,875",
부산광역시 영도구,7,255,0,0,"1,922","10,480",4,32,25,323,492,"1,751","2,701","5,763","1,340","3,741","1,817","3,780",83,463,52,326,402,842,194,"1,569",297,"2,308",37,"2,070",342,"4,036",304,"5,642",198,545,"1,091","1,740",
부산광역시 부산진구,8,11,2,10,"2,466","7,034",7,445,21,577,"3,883","16,263","13,660","27,518","3,761","8,431","7,174","18,332",392,"1,560",854,"13,174","2,452","6,858","1,445","6,778","1,246","14,101",60,"3,305","1,605","12,422","1,281","20,972",812,"2,671","3,911","10,962",
부산광역시 동래구,7,166,1,5,"1,235","3,364",16,104,21,667,"2,757","17,327","7,460","15,216","2,659","3,896","4,446","10,364",213,886,242,"2,182","1,481","2,921",767,"3,534",762,"7,344",34,"2,200","1,458","8,038",841,"14,913",683,"1,770","2,656","4,424",
부산광역시 남구,3,14,1,5,"1,236","5,970",14,480,30,327,"1,444","7,695","6,086","12,556","4,294","12,726","3,557","8,713",337,"1,101",198,"5,858","1,283","2,549",759,"2,441",700,"5,281",49,"2,821","1,103","11,136",696,"9,446",543,"1,564","2,302","4,248",
부산광역시 북구,0,0,1,5,841,"2,813",9,78,34,468,"1,241","4,439","5,508","10,621","2,887","3,956","3,323","7,531",163,690,179,"2,832",990,"2,061",440,"1,528",550,"2,454",38,"2,379","1,138","7,152",745,"12,135",617,"1,298","2,098","3,390",
부산광역시 해운대구,5,9,1,5,"1,196","6,553",31,152,36,455,"2,025","13,797","11,482","27,011","4,369","7,902","5,690","18,712",951,"7,187",347,"3,381","2,993","7,320","2,175","10,183","1,182","9,171",64,"3,413","2,196","11,107","1,119","17,363",870,"3,010","3,325","6,366",
부산광역시 사하구,8,238,1,5,"3,939","29,856",12,340,72,970,"1,575","5,380","7,086","15,795","3,717","9,583","4,519","9,508",168,538,157,"1,556","1,264","2,847",548,"2,104",664,"3,399",54,"2,592","1,221","9,005",827,"13,742",639,"1,347","2,805","4,623",
부산광역시 금정구,10,45,0,0,"2,064","9,173",13,17,42,405,"2,041","16,578","6,553","15,128","4,336","9,371","3,891","8,776",245,995,133,"1,011","1,256","2,511",854,"4,226",613,"3,629",43,"2,979","1,119","9,259",661,"10,060",681,"2,046","2,308","4,508",
부산광역시 강서구,19,42,8,28,"9,294","73,851",86,232,99,746,"1,645","5,534","7,846","20,979","2,240","10,029","2,578","6,349",129,"1,115",106,709,"1,361","2,188",648,"3,631",533,"1,889",57,"3,043",711,"4,058",336,"3,699",567,"1,694",938,"1,924",
부산광역시 연제구,7,22,0,0,811,"2,696",9,10,17,98,"1,670","14,360","5,516","12,512","3,453","5,375","3,381","7,676",228,"1,212",560,"6,477","1,459","3,891","1,608","6,799",698,"6,006",50,"9,100",913,"5,802",662,"10,257",447,981,"2,168","4,315",
부산광역시 수영구,4,9,0,0,719,"2,012",10,335,21,321,"1,506","8,118","5,392","10,840","1,810","3,745","3,488","8,494",236,"1,042",116,726,"1,177","2,232",674,"2,631",613,"2,158",29,"1,888",848,"3,509",530,"8,983",449,918,"1,913","3,170",
부산광역시 사상구,5,7,0,0,"8,289","38,257",14,107,90,803,"2,548","6,919","11,435","28,768","4,008","8,290","3,744","7,653",258,"1,020",162,"1,075","1,088","2,322",754,"3,625",615,"3,169",36,"2,691",668,"6,323",523,"8,829",546,"1,093","2,163","4,684",
부산광역시 기장군,30,96,1,5,"1,725","17,707",42,"1,761",77,714,"1,236","6,421","5,077","11,071","1,445","4,031","3,038","8,934",91,272,80,679,900,"1,761",327,"1,359",505,"2,212",26,"2,981",841,"4,558",583,"6,590",354,"1,228","1,358","2,821",
서울특별시 종로구,4,29,3,8,"5,382","13,650",29,472,12,104,652,"28,933","20,133","46,065","1,642","8,303","7,130","22,283","1,536","18,921","1,088","27,765","2,617","9,437","2,788","27,736","1,682","17,832",99,"16,873","1,045","13,078",804,"19,348","1,221","5,966","2,664","7,767",
서울특별시 중구,3,3,1,5,"10,886","27,817",23,736,16,390,657,"7,290","36,793","95,063","2,440","15,314","6,591","27,030","1,730","28,159","3,184","60,692","3,287","12,954","3,973","44,835","2,029","34,170",68,"20,775",647,"9,905",805,"11,615",690,"3,569","2,306","7,742",
서울특별시 용산구,4,17,0,0,"1,436","3,827",19,42,22,160,932,"9,363","11,185","38,471","1,692","4,569","5,111","16,231","1,346","11,699",386,"5,007","2,244","5,501","2,190","19,215",800,"12,146",48,"3,405",815,"7,793",620,"8,280",722,"2,894","1,935","5,668",
서울특별시 성동구,7,14,1,1,"5,549","26,202",39,474,34,820,"1,972","8,823","11,853","38,787","2,825","8,869","4,493","11,817","2,138","16,985",464,"4,200","2,380","6,538","3,499","20,591",981,"17,941",44,"3,284","1,238","11,262",818,"9,870",852,"2,323","2,395","7,576",
서울특별시 광진구,3,4,0,0,"2,321","7,271",21,28,22,260,"1,791","12,450","10,062","23,213","2,900","5,825","5,261","14,877","1,068","4,418",323,"3,029","2,144","5,047","1,826","6,740","1,053","12,635",36,"2,973","1,436","13,744",978,"12,372","1,211","3,486","2,967","5,858",
서울특별시 동대문구,1,3,2,6,"4,036","13,827",18,20,33,277,"3,212","7,931","15,223","34,882","3,762","6,199","5,185","11,948",741,"2,589",365,"4,172","2,164","5,437","1,297","8,868",947,"10,317",51,"3,981","1,198","13,807","1,064","16,621",879,"2,287","2,851","5,136",
서울특별시 중랑구,0,0,1,3,"4,244","14,720",12,180,31,227,"4,409","10,660","8,958","18,655","5,498","10,648","4,481","9,830",616,"1,712",223,"1,809","1,709","3,607","1,036","2,375",910,"3,904",47,"3,635","1,078","7,816","1,100","14,115","1,063","2,269","3,142","4,921",
서울특별시 성북구,1,8,0,0,"3,150","9,778",40,46,23,262,"1,570","6,720","9,132","18,869","3,446","6,178","4,805","11,423","1,007","3,386",221,"1,552","1,906","3,935","1,378","6,381",832,"7,314",50,"3,391","1,705","18,428","1,109","16,325","1,051","2,390","2,994","5,412",
서울특별시 강북구,0,0,0,0,"2,095","6,363",14,97,18,396,"1,585","6,532","6,967","12,887","2,994","6,219","4,130","9,461",502,"1,279",378,"3,917","1,250","2,547",842,"1,869",691,"4,396",41,"2,895",870,"5,854",857,"12,312",877,"1,841","2,600","4,411",
서울특별시 도봉구,0,0,0,0,"1,405","4,252",21,47,18,178,"1,537","5,362","6,548","12,752","4,751","8,493","3,033","7,030",491,"1,252",194,"1,144","1,145","3,729",773,"2,222",633,"2,992",38,"4,238","1,083","7,186",860,"12,485",736,"1,586","2,341","4,481",
서울특별시 노원구,4,6,0,0,"1,309","4,240",33,327,28,253,"2,070","5,711","9,675","19,196","6,229","11,331","4,655","12,644",948,"2,166",357,"3,658","1,689","4,947","1,303","3,827",940,"5,371",39,"3,797","2,418","20,640","1,486","20,928","1,122","2,871","3,137","5,541",
서울특별시 은평구,3,5,1,1,"1,551","3,772",20,179,24,286,"2,074","7,638","9,487","18,451","4,746","8,524","4,888","11,512","1,099","2,747",279,"2,188","2,280","4,508","1,307","3,174",935,"2,940",52,"4,868","1,747","10,994","1,303","18,196","1,042","2,413","3,435","5,966",
서울특별시 서대문구,1,1,0,0,"1,090","3,000",13,63,19,602,"1,684","6,168","7,075","16,147","3,339","5,934","4,577","12,112","1,205","4,734",273,"4,684","1,730","3,840","1,526","8,386",882,"6,166",43,"5,513","1,339","20,072",838,"16,058",754,"1,773","2,381","5,094",
서울특별시 마포구,9,18,2,10,"2,058","6,073",26,501,48,389,"2,973","20,235","13,605","41,025","3,917","12,716","9,532","25,747","5,385","48,429",915,"10,501","3,600","8,649","5,381","26,611","2,200","34,856",61,"5,451","2,354","15,837","1,314","13,221","1,620","4,304","3,694","10,510",
서울특별시 양천구,1,26,1,1,"1,638","5,125",21,292,33,543,"2,292","11,972","9,257","20,421","5,924","11,537","3,974","10,824","1,041","5,978",289,"2,324","1,971","4,730","1,522","4,530",891,"5,544",47,"5,918","2,757","15,081","1,273","16,620","1,074","2,611","3,177","6,294",
서울특별시 강서구,4,45,0,0,"1,992","8,664",42,516,57,770,"3,130","18,494","16,465","44,848","8,490","52,507","6,868","19,390","2,634","15,277",551,"5,268","3,420","9,197","3,218","28,689","1,842","20,106",59,"4,716","2,321","14,598","1,698","23,740","1,546","3,888","4,451","9,525",
서울특별시 구로구,5,16,1,1,"4,646","19,190",30,148,35,523,"2,732","18,377","17,542","44,781","5,250","10,940","5,102","13,538","3,655","33,732",692,"8,308","2,543","5,887","2,938","18,898","1,442","21,240",46,"4,218","1,530","11,701","1,234","17,669","1,073","2,705","3,051","7,296",
서울특별시 금천구,5,12,0,0,"6,690","40,534",27,108,29,281,"2,381","22,261","13,984","45,905","3,110","8,124","3,698","9,535","4,752","43,918",354,"2,865","2,333","5,731","4,129","32,696","1,295","25,390",31,"2,446",857,"6,529",733,"8,891",714,"1,454","2,232","5,985",
서울특별시 영등포구,8,26,2,4,"4,949","14,406",52,821,36,439,"10,619","44,487","17,657","63,017","5,618","13,512","7,731","24,199","3,871","36,693","4,981","65,564","3,572","11,431","4,915","38,854","1,989","64,337",73,"9,481","1,637","9,810","1,333","20,657","1,482","4,753","3,535","12,207",
서울특별시 동작구,3,5,0,0,976,"2,442",18,165,21,484,"1,624","5,967","7,817","16,876","2,189","3,299","4,415","10,994","1,002","5,940",248,"3,808","1,946","6,287","1,211","7,531",783,"7,603",41,"3,891","1,560","13,104","1,090","14,484",978,"2,517","2,583","5,245",
서울특별시 관악구,2,13,0,0,"1,976","5,413",22,23,20,226,"2,384","13,857","9,444","18,286","4,050","6,047","6,329","15,455","1,266","4,730",243,"1,856","2,520","5,390","1,614","6,703","1,015","11,446",50,"3,541","1,534","17,051","1,236","15,738","1,353","3,248","3,581","6,658",
서울특별시 서초구,18,98,2,32,"1,710","7,125",59,279,34,383,"4,348","70,247","19,615","79,806","4,510","14,683","7,127","27,693","4,875","41,316","1,610","19,295","6,195","19,305","11,972","82,863","2,396","52,331",69,"12,950","3,467","25,303","1,858","24,163","1,908","6,701","4,085","13,105",
서울특별시 강남구,39,122,6,20,"3,125","19,449",113,"1,078",40,933,"3,399","75,538","28,430","165,267","3,816","12,650","12,776","53,628","9,237","85,746","3,589","36,537","11,363","42,946","17,293","138,557","3,749","82,450",59,"7,713","5,285","33,740","3,467","47,305","2,901","10,059","6,367","24,708",
서울특별시 송파구,32,276,1,1,"2,483","10,843",84,157,44,619,"4,832","63,172","24,258","82,496","7,370","17,969","8,432","30,032","2,821","34,226",945,"9,771","4,778","16,236","6,032","40,157","1,996","28,005",71,"8,091","3,092","19,470","2,020","30,697","2,078","8,133","5,043","11,547",
서울특별시 강동구,13,88,1,1,"1,945","6,373",28,42,31,537,"2,739","27,258","11,259","27,341","4,897","9,088","5,433","13,410",971,"3,773",386,"3,190","2,645","5,728","1,517","8,638","1,159","14,368",44,"2,861","1,920","11,434","1,370","21,535","1,097","2,586","3,523","6,518",
세종특별자치시,84,?263,?11,?115,"?1,764","?20,429",?299,?920,?96,?712,"?2,130","?9,660","?5,989","?12,528","?1,967","?4,845","?4,442","?11,346",?609,"?2,503",?240,"?2,165","?2,630","?5,327","?1,108","?8,298",?784,"?4,953",?138,"?21,609","?2,322","?15,688",?954,"?11,601",?748,"?2,456","?2,175","?4,313",
울산광역시 중구,6,33,1,1,"1,243","3,149",13,52,30,169,"2,000","5,335","5,541","9,779","1,935","2,723","3,549","6,426",172,"1,160",134,"2,242",737,"1,561",569,"5,211",465,"2,508",34,"2,567","1,056","6,122",557,"7,795",618,"1,213","2,249","3,439",
울산광역시 남구,14,25,3,3,"2,134","30,249",50,838,102,"1,018","4,170","21,071","10,221","22,304","4,264","10,889","7,609","17,397",305,"2,005",722,"8,000","2,115","4,776","1,669","8,427","1,108","8,505",72,"6,702","2,019","11,855","1,100","14,465","1,117","2,888","3,833","6,794",
울산광역시 동구,3,11,0,0,738,"38,769",13,13,16,162,439,"1,268","2,644","4,739",662,"1,375","2,780","6,004",56,283,100,988,332,585,225,"2,272",260,"1,088",22,"1,349",604,"4,114",387,"6,826",386,724,"1,182","1,672",
울산광역시 북구,11,36,2,2,"2,296","54,113",29,310,23,166,895,"3,959","4,010","9,154","1,998","4,726","2,911","7,142",86,384,100,737,735,"1,494",415,"1,431",435,"3,520",29,"1,921",972,"6,288",496,"5,623",491,945,"1,505","3,367",
울산광역시 울주군,58,281,12,268,"3,824","49,453",138,"1,390",142,988,"2,411","15,066","4,775","10,416","3,759","9,100","4,261","8,795",113,496,105,778,859,"1,567",389,"1,721",709,"4,359",50,"2,875",934,"7,371",512,"6,889",581,"1,319","1,791","3,033",
인천광역시 강화군,74,286,3,53,648,"3,461",243,297,24,209,787,"2,105","1,975","3,440",902,"1,346","2,159","4,308",58,195,51,524,432,563,151,346,107,273,56,"1,662",211,"1,757",214,"3,188",181,546,653,"1,041",
인천광역시 옹진군,20,58,1,6,80,421,30,"1,001",6,14,198,"1,289",400,695,93,231,"1,142","2,033",15,61,14,110,72,100,13,83,54,130,44,688,41,378,50,414,70,150,143,339,
인천광역시 중구,4,9,21,361,745,"9,424",32,128,36,392,897,"2,592","5,313","12,807","6,369","34,267","3,734","10,627",200,"1,190",102,960,"1,042","2,335",367,"1,517",584,"13,707",71,"7,849",551,"4,157",368,"7,160",455,"2,891","1,220","2,924",
인천광역시 동구,1,3,0,0,"1,991","11,196",2,11,36,208,"1,518","3,396","3,594","7,365","1,746","3,732",841,"1,764",71,127,59,278,231,477,195,544,230,966,25,"1,821",167,"1,645",225,"5,847",108,314,660,"1,579",
인천광역시 미추홀구,3,3,1,1,"2,822","15,216",15,242,62,639,"4,970","12,702","10,150","19,561","5,385","10,460","5,877","12,495",446,"1,274",390,"4,347","1,715","3,486","1,345","6,184","1,190","6,885",63,"5,802","1,179","10,261","1,048","16,680","1,136","2,154","3,769","6,604",
인천광역시 연수구,6,8,0,0,"1,445","19,362",23,526,49,872,"1,433","12,606","9,123","22,601","3,037","6,116","4,472","14,154",715,"2,708",210,"1,536","2,109","5,227","1,355","9,243",750,"4,967",37,"3,588","1,933","14,471",965,"11,408",960,"2,664","2,338","4,260",
인천광역시 남동구,10,34,1,1,"9,374","79,089",32,92,195,"1,529","4,331","20,532","14,113","30,883","5,638","9,079","7,411","17,833",573,"2,085",659,"6,583","2,413","6,599","1,734","7,770","1,452","12,501",61,"8,325","2,023","13,094","1,601","25,869","1,486","3,441","4,475","7,756",
인천광역시 부평구,3,7,0,0,"4,270","32,553",17,544,46,389,"3,171","12,286","12,613","26,105","4,396","7,866","6,118","14,894",602,"2,499",577,"6,901","1,993","4,473","1,201","6,816","1,343","5,616",53,"3,370","1,710","11,443","1,357","22,561","1,320","2,738","4,325","7,537",
인천광역시 계양구,6,8,2,31,"2,292","12,367",4,4,45,455,"2,500","8,616","7,150","15,755","3,820","6,835","3,516","8,150",333,908,178,"1,626","1,151","2,657",700,"2,129",824,"6,064",29,"2,658",992,"7,063",843,"13,172",827,"1,638","2,505","4,471",
인천광역시 서구,20,69,7,114,"9,990","70,517",48,"1,558",235,"2,954","4,376","16,746","14,275","33,564","6,629","16,104","6,618","15,492",736,"2,980",251,"1,753","2,966","5,548","1,286","7,290","1,403","6,421",51,"5,149","2,126","12,925","1,340","19,617","1,400","3,123","4,185","8,361",
전라남도 목포시,12,122,6,23,"1,433","4,648",167,351,47,522,"2,807","7,547","7,658","14,462","3,582","6,871","4,885","10,392",187,955,299,"3,344",869,"2,317",567,"2,071",612,"2,144",75,"4,230","1,077","6,885",780,"12,777",696,"1,711","3,022","5,123",
전라남도 여수시,70,"1,124",6,50,"1,858","24,955",380,"1,275",129,"1,860","2,588","25,862","8,416","16,913","4,095","9,995","6,793","14,552",150,912,312,"3,193",826,"2,658",595,"3,151",728,"6,759",127,"4,200","1,184","7,663",791,"12,329",775,"2,099","3,223","5,378",
전라남도 순천시,92,356,12,49,"1,582","8,583",815,"1,111",68,893,"3,806","13,161","8,409","16,655","2,301","5,417","5,086","11,359",200,"1,211",386,"4,494","1,009","3,017",752,"3,447",708,"3,813",82,"4,185","1,435","10,238",840,"13,936",880,"2,462","3,228","5,675",
전라남도 나주시,175,"1,886",10,47,"1,172","8,055",820,"4,086",71,451,"1,723","7,815","3,185","6,540","1,863","2,853","1,853","4,149",278,"2,446",105,"1,105",570,"1,291",424,"3,962",324,"1,802",77,"3,234",459,"4,032",419,"5,727",271,"1,118",997,"1,826",
전라남도 광양시,41,126,4,39,"1,310","20,760",365,662,75,"1,341","2,201","11,767","4,153","8,395","2,619","8,954","3,156","6,489",110,773,123,"1,153",436,"1,133",299,"1,246",450,"7,524",62,"2,793",638,"4,471",415,"6,421",454,"1,135","1,567","2,877",
전라남도 담양군,91,258,1,9,830,"4,609",326,383,30,148,771,"3,008","1,451","2,815","1,074","1,738","1,002","2,425",48,172,35,232,136,207,114,616,105,380,39,"1,250",106,"1,191",171,"2,149",105,389,348,650,
전라남도 곡성군,60,212,3,17,268,"3,173",285,323,19,89,460,"2,123",689,"1,192",487,916,481,998,24,87,24,242,31,41,66,291,59,168,35,"1,431",79,848,123,"1,515",76,425,285,416,
전라남도 구례군,28,120,0,0,217,818,53,90,22,80,278,818,850,"1,483",232,547,747,"1,304",23,103,29,193,48,73,39,103,42,346,31,793,83,625,88,"1,445",77,259,276,525,
전라남도 고흥군,144,399,11,54,629,"3,143","1,137","1,240",21,184,660,"2,982","1,902","3,563",367,754,"1,062","2,071",36,166,80,766,55,108,88,346,80,181,54,"1,711",167,"1,407",224,"3,128",150,356,688,"1,077",
전라남도 보성군,105,520,3,4,383,"1,239",329,389,20,117,643,"2,160","1,343","2,199",447,833,737,"1,386",24,108,49,286,38,68,64,191,58,236,60,"1,440",108,"1,062",140,"2,536",72,232,407,637,
전라남도 화순군,110,417,7,198,643,"3,465",590,653,30,162,976,"5,051","1,601","3,438",614,912,977,"2,258",51,160,45,354,192,439,202,"1,330",108,447,54,"1,481",220,"1,405",248,"5,077",137,624,590,871,
전라남도 장흥군,174,548,2,21,408,"1,905",297,352,20,236,456,"4,055","1,193","2,219",334,494,681,"1,356",16,91,49,342,57,95,87,321,54,90,53,"1,842",120,914,151,"2,028",90,290,547,878,
전라남도 강진군,112,405,3,18,398,"1,353",658,812,20,150,567,"1,513","1,135","1,978",837,992,634,"1,163",27,107,35,384,45,70,56,355,60,162,47,"1,245",120,"1,002",138,"1,878",88,425,477,668,
전라남도 해남군,329,965,21,165,760,"4,592","1,176","1,335",18,177,937,"2,943","2,238","4,245",374,711,"1,209","2,403",30,184,83,868,94,196,123,391,127,276,64,"2,566",194,"1,578",235,"3,481",127,440,764,"1,319",
