시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
경기도 의정부시,2,39,1,43,"1,959","7,781",23,659,53,623,"3,944","8,939","11,605","23,452","3,699","6,978","6,176","14,610",514,"1,813",535,"4,725","1,903","4,414","1,378","5,103","1,073","4,368",60,"6,761","1,894","11,777","1,440","20,365","1,194","2,721","3,972","6,615",
경기도 동두천시,8,27,0,0,621,"5,159",28,201,48,417,603,"1,774","2,315","4,199",821,"1,429","1,672","3,713",52,194,75,836,381,771,154,379,180,452,31,"1,470",309,"2,492",316,"4,633",209,625,"1,003","1,655",
경기도 고양시,68,262,2,22,"8,073","33,565",195,810,186,"2,285","7,803","28,767","33,411","77,682","8,309","23,038","12,106","33,440","3,348","10,315",880,"7,845","5,125","13,033","4,426","15,200","3,279","16,918",107,"7,661","5,443","29,803","2,834","44,196","3,084","8,465","8,790","18,163",
경기도 구리시,9,17,1,1,"1,180","4,226",11,79,31,331,"1,960","5,479","6,892","15,665","2,029","4,403","2,896","7,159",290,615,254,"2,222",958,"2,310",687,"2,874",595,"3,160",29,"1,471",989,"5,161",638,"8,353",543,"1,492","1,874","3,769",
경기도 남양주시,58,153,4,10,"8,268","38,052",86,290,122,"1,367","5,336","18,396","20,459","47,832","6,608","11,749","7,717","19,590",886,"1,957",262,"2,025","3,345","6,885","1,962","4,652","1,999","5,201",59,"5,015","2,922","16,898","1,854","21,895","1,493","3,831","4,897","8,285",
경기도 파주시,96,341,4,45,"8,058","78,279",308,557,128,"1,297","4,623","13,226","12,608","30,427","5,972","13,895","6,430","15,162","1,233","5,153",239,"1,910","3,034","5,982","1,413","3,545","1,387","5,540",66,"3,089","1,969","12,004","1,200","14,462","1,299","3,669","3,392","6,334",
경기도 양주시,37,85,6,123,"5,454","34,258",122,256,110,"1,100","2,370","6,470","7,063","15,650","2,244","4,606","3,224","7,742",185,389,99,693,"1,296","2,378",490,"1,466",652,"2,137",41,"2,389",832,"5,924",675,"9,084",562,"1,540","2,033","3,472",
경기도 포천시,87,406,19,382,"7,838","46,807",323,668,156,"1,030","1,969","5,120","5,959","14,195","3,438","5,120","3,589","7,883",86,326,124,"1,422",739,"1,200",378,"1,407",520,"1,444",60,"2,592",409,"4,841",448,"5,626",463,"2,450","1,506","2,816",
경기도 연천군,47,227,6,55,478,"2,945",278,354,46,403,531,"2,340","1,063","1,916","3,970","4,535","1,005","2,017",27,124,42,335,175,240,83,303,71,217,35,"1,565",122,960,151,"1,683",133,490,483,817,
경기도 가평군,26,153,2,108,446,"1,909",206,369,27,292,844,"2,397","1,630","3,201",309,854,"3,212","7,213",62,229,43,446,379,671,199,591,141,499,30,"1,548",227,"1,736",206,"2,738",305,"1,799",622,"1,575",
