시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 의왕시,3,36,0,0,"1,055","10,080",4,67,21,116,301,"2,376","1,851","6,475","1,111","4,305","1,330","4,164",81,"1,315",40,383,446,"1,578",218,"4,492",90,"1,277",25,"1,804",434,"3,485",371,"3,571",239,780,878,"2,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 하남시,1,3,0,0,"1,444","8,693",8,347,22,78,597,"5,571","4,692","20,286","1,283","3,955","1,649","5,926",71,816,62,824,735,"2,349",210,"1,609",109,"1,086",32,"1,737",449,"3,817",467,"3,959",264,"1,450","1,059","2,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 용인시,22,151,11,192,"4,022","57,725",17,366,102,"1,715","1,520","15,540","11,044","40,969","4,918","18,621","8,399","28,110",358,"4,577",346,"4,573","2,953","9,444","1,254","26,426",541,"10,410",95,"6,003","3,628","34,786","2,358","23,903","1,543","11,111","4,980","13,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 이천시,36,433,1,3,"1,757","34,949",7,270,48,579,567,"5,755","3,676","11,590","1,735","9,974","2,969","9,291",56,376,128,"1,929",692,"2,326",279,"3,216",212,"6,463",65,"2,095",748,"6,236",497,"5,895",469,"2,426","1,724","4,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 안성시,55,603,4,45,"2,330","37,937",6,162,74,756,486,"3,398","2,941","9,341","1,298","4,367","2,824","7,296",34,615,91,"1,158",460,"1,228",209,"1,246",163,"3,036",58,"2,166",587,"6,740",518,"5,371",432,"2,122","1,385","3,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 김포시,13,118,1,5,"8,495","69,197",10,245,115,761,704,"4,870","5,638","19,077","2,072","5,980","3,686","11,418",68,628,142,"1,999","1,079","3,167",368,"1,630",216,"1,260",46,"2,117","1,114","9,123",866,"8,193",603,"1,965","2,016","5,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 화성시,38,260,24,163,"17,018","209,005",10,325,270,"2,209","1,730","16,177","10,612","36,459","4,405","13,041","7,571","24,346",121,"1,225",266,"2,871","2,477","7,486",930,"27,776",464,"8,235",83,"3,727","2,193","19,937","1,589","14,218","1,173","4,578","3,771","13,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 광주시,19,152,4,41,"6,388","47,615",5,250,46,403,935,"6,818","5,748","22,575","3,120","9,648","3,351","10,248",52,402,88,"1,214","1,055","2,629",379,"1,986",161,"1,059",39,"2,458",757,"6,552",730,"7,672",621,"2,612","2,105","5,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 여주시,20,207,9,56,"1,024","8,221",7,109,29,279,297,"1,764","2,004","5,671",693,"1,937","1,773","4,630",24,203,64,789,355,945,139,930,73,"1,328",61,"2,002",315,"2,896",288,"3,299",272,"3,007",901,"2,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양평군,30,200,0,0,355,"1,417",9,120,25,184,446,"2,178","1,615","4,130",471,"1,044","2,264","5,881",43,248,52,600,464,863,172,661,58,278,48,"1,762",288,"2,627",640,"3,573",264,"1,029",824,"1,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
