시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 화천군,13,79,0,0,113,444,7,119,10,78,129,846,452,871,102,223,665,"1,321",20,133,17,166,46,84,24,82,16,109,24,"1,875",81,739,66,574,94,214,227,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 양구군,8,107,5,28,107,507,10,52,9,42,139,830,400,838,74,196,580,"1,272",11,65,18,163,35,83,23,106,22,80,25,952,78,842,55,519,65,258,194,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 인제군,14,55,3,25,182,811,7,63,14,124,190,"1,126",797,"1,618",134,222,"1,183","2,344",11,76,32,297,47,95,47,277,22,92,30,"1,105",112,934,82,"1,171",146,707,300,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 고성군,10,103,11,56,183,990,5,58,12,112,188,"1,104",620,"1,130",118,264,"1,008","2,725",9,41,27,211,45,75,24,96,24,361,32,992,84,908,73,591,66,361,265,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 양양군,16,149,9,61,198,"1,077",5,148,29,133,175,"1,147",773,"1,455",164,301,"1,539","3,367",12,67,25,201,94,191,34,151,37,204,33,981,121,889,69,768,111,320,282,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 창원시,21,303,9,79,"9,956","131,460",25,"1,058",134,"1,645","3,132","25,421","20,609","56,076","7,054","20,252","17,593","46,360",424,"4,066",988,"15,442","3,334","11,586","1,865","12,005","1,139","21,200",223,"12,388","4,251","28,950","2,830","32,482","2,305","6,902","9,099","20,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 진주시,47,745,3,20,"2,543","15,270",20,694,48,606,"1,143","10,156","7,717","20,346","2,261","6,851","6,073","15,885",120,"1,509",379,"4,729","1,038","4,997",567,"4,844",338,"2,978",94,"5,504","1,634","13,245",943,"12,447",849,"2,287","3,257","7,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 통영시,2,10,1,5,458,"7,761",13,295,26,246,308,"2,429","2,999","7,000",823,"1,955","3,242","7,219",39,313,155,"2,077",358,"1,128",141,813,101,697,62,"2,497",434,"2,988",354,"3,782",367,977,"1,264","2,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 사천시,19,215,1,5,903,"17,442",7,201,37,360,388,"3,045","2,833","6,588",647,"1,899","2,175","5,302",33,362,92,"1,089",294,764,133,674,82,374,49,"1,649",395,"2,830",320,"3,968",199,759,"1,135","2,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 김해시,14,146,13,170,"10,051","93,282",15,642,168,"1,434","1,236","8,579","10,213","29,120","3,472","8,206","7,425","20,756",107,"1,188",292,"3,759","1,681","3,914",723,"4,086",363,"4,375",71,"3,776","2,163","14,730","1,380","14,164","1,052","4,120","3,779","8,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 밀양시,22,280,2,10,948,"8,957",13,181,33,179,374,"2,386","2,200","5,213",677,"1,574","2,011","4,025",40,259,96,"1,063",287,635,135,850,76,525,50,"2,149",325,"2,328",299,"3,348",182,482,"1,157","2,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 거제시,4,20,1,5,824,"54,454",6,151,28,469,511,"16,048","3,405","8,756",876,"2,959","5,062","13,254",52,424,156,"2,267",590,"1,999",331,"6,518",194,"3,715",66,"2,737",845,"6,268",558,"5,814",507,"1,497","1,633","3,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 양산시,7,88,9,107,"3,696","50,416",17,274,98,922,787,"5,067","4,954","14,437","2,414","8,611","4,706","12,826",69,550,166,"2,213","1,122","2,979",315,"1,635",208,"2,346",57,"2,768","1,145","7,996",809,"10,550",585,"2,536","2,406","5,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 의령군,10,167,5,36,258,"1,923",3,43,12,87,103,726,356,753,126,197,461,882,16,85,31,219,26,59,36,127,7,36,34,"1,551",69,734,99,"1,056",42,195,254,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 함안군,17,195,1,5,"2,405","23,739",8,195,46,449,225,"1,514","1,279","3,175",378,"1,049","1,077","2,307",22,132,40,401,182,421,74,419,43,534,32,"1,019",183,"1,443",187,"1,752",97,369,586,"1,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 창녕군,22,244,5,31,804,"8,937",9,63,24,144,193,"1,311","1,178","2,876",409,888,"1,221","2,545",21,116,50,430,145,270,70,385,55,312,37,"1,354",190,"1,407",166,"1,924",113,641,610,"1,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 고성군,16,181,1,5,480,"5,766",6,593,10,65,196,"1,506","1,073","2,195",269,722,"1,042","2,257",25,131,52,481,106,256,67,208,38,443,45,"1,210",154,"1,164",146,"1,529",88,471,562,"1,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 남해군,27,168,1,5,245,"1,017",13,63,15,119,186,"1,138",985,"2,058",237,542,"1,581","3,368",23,129,54,456,87,121,51,220,43,134,43,"1,058",145,"1,147",137,"1,672",86,318,493,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 하동군,15,230,6,21,330,"1,227",17,680,9,57,178,953,"1,122","2,066",167,354,"1,006","1,950",26,146,44,576,81,134,52,195,38,816,46,"1,332",129,"1,000",134,"1,481",75,177,475,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 산청군,30,214,18,78,306,"1,702",5,119,9,62,173,"1,300",794,"1,805",150,545,774,"1,644",19,113,27,266,45,77,46,162,24,117,38,986,100,883,109,"1,218",63,175,344,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 함양군,12,105,4,42,302,"1,969",6,85,9,60,189,"1,266",868,"1,755",226,534,895,"1,923",23,127,41,434,56,102,45,188,21,85,32,"1,078",130,970,124,"1,353",53,252,384,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 거창군,11,152,7,112,398,"2,681",5,73,11,107,247,"2,201","1,229","2,763",268,823,"1,081","2,347",39,166,57,747,68,211,86,384,48,199,39,"1,256",265,"1,887",189,"2,059",119,398,607,"1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 합천군,26,243,7,34,350,"1,472",7,86,9,115,213,"1,527",799,"1,561",214,387,757,"1,488",26,139,47,428,41,80,50,220,17,69,48,"1,386",134,972,131,"1,245",63,290,451,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 포항시,16,149,15,66,"2,764","37,225",22,551,101,"1,505","1,670","17,074","11,335","27,155","3,115","9,988","9,083","22,192",200,"2,157",471,"5,644","1,277","3,564",791,"6,705",499,"9,595",135,"5,345","1,921","14,904","1,449","16,041","1,277","3,040","5,086","13,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 경주시,26,315,16,86,"3,505","44,775",20,"3,459",73,"1,177",833,"5,834","5,352","12,522","1,715","4,439","5,966","15,108",89,721,188,"2,263",609,"1,800",423,"2,145",277,"2,538",88,"2,918",930,"7,104",630,"8,130",592,"3,164","2,494","5,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 김천시,27,233,8,62,951,"13,139",9,134,43,347,432,"2,798","2,477","5,720",958,"3,617","2,186","5,072",45,266,114,"1,227",286,824,136,"3,591",102,"1,417",78,"3,641",419,"3,725",380,"4,485",270,552,"1,323","2,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 안동시,27,270,15,107,861,"4,105",16,383,26,236,631,"4,326","3,767","9,449","1,124","2,269","2,969","6,868",113,"1,085",177,"2,100",306,"1,314",270,"1,575",130,916,100,"4,772",709,"5,733",463,"7,073",376,"1,286","1,661","3,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 구미시,18,207,8,57,"4,401","94,992",15,609,84,731,"1,258","8,743","7,787","19,541","3,496","7,507","6,575","17,256",178,"1,270",380,"5,072","1,046","4,291",564,"3,105",678,"7,930",94,"3,236","1,782","12,506","1,162","10,874","1,131","2,732","3,551","7,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 영주시,12,94,8,89,760,"5,582",7,164,21,184,428,"2,423","2,815","6,437",760,"2,445","1,962","4,422",46,347,107,"1,313",180,562,120,579,77,581,57,"1,781",425,"3,087",272,"3,312",203,644,"1,217","2,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 영천시,31,220,2,16,"1,599","18,254",13,139,65,462,373,"2,245","2,124","4,975",650,"1,311","1,601","3,451",31,165,100,873,259,721,104,706,75,889,61,"1,621",291,"2,091",292,"3,671",175,771,932,"1,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 상주시,17,170,6,37,734,"4,509",4,93,21,147,384,"3,136","1,863","4,163",662,"1,364","1,529","3,091",49,229,95,"1,103",141,453,123,620,89,498,69,"2,115",372,"2,874",305,"3,384",175,678,"1,012","1,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 문경시,14,117,4,53,481,"3,146",6,96,25,268,251,"1,659","1,507","3,419",457,856,"1,461","2,982",25,147,64,779,124,275,81,311,48,177,57,"1,372",228,"1,764",222,"3,550",150,577,741,"1,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 경산시,17,144,5,115,"3,295","37,418",13,403,64,536,575,"4,770","4,530","11,753","1,466","4,284","3,701","9,489",94,630,138,"1,529",775,"1,892",362,"2,465",185,"1,351",56,"2,452",922,"15,211",640,"7,053",553,"1,930","2,068","4,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 군위군,10,76,1,8,268,"2,222",9,59,17,95,133,"1,060",394,939,129,285,368,820,14,74,24,178,33,63,30,150,11,81,38,846,44,378,61,554,41,295,261,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 의성군,30,241,4,11,387,"2,020",13,97,20,143,278,"1,448","1,046","2,161",288,461,732,"1,230",30,157,62,581,45,87,59,235,30,128,58,"1,355",112,891,162,"1,491",54,197,606,"1,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 청송군,13,177,5,27,158,433,8,125,8,34,132,800,501,"1,078",115,265,640,"1,169",14,87,29,205,19,28,23,96,13,31,37,"1,963",58,492,73,"1,713",41,125,307,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 영양군,15,74,1,8,87,351,6,45,5,18,136,626,301,462,75,148,259,469,10,78,14,121,6,11,16,66,13,34,27,965,46,401,54,425,25,75,194,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 영덕군,11,92,8,90,276,"1,309",12,88,12,86,144,983,990,"1,708",200,323,"1,128","2,308",20,130,47,380,51,89,33,163,30,183,41,"1,152",101,678,107,984,84,380,463,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 청도군,41,664,4,22,449,"2,715",5,96,10,61,186,945,963,"2,194",213,455,933,"2,122",19,91,37,282,129,200,54,256,21,125,36,945,111,729,133,"1,536",63,408,436,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 고령군,19,158,7,69,"1,394","10,618",9,97,37,292,150,"1,022",768,"1,790",192,407,489,"1,010",16,113,30,234,65,166,36,180,27,95,29,883,87,605,105,849,65,270,320,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 성주군,19,166,1,8,"1,175","9,320",3,62,43,314,243,"1,240",856,"1,735",205,635,776,"1,532",19,106,37,281,71,146,55,236,33,138,36,"1,151",96,742,120,"1,110",57,160,373,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 칠곡군,16,113,6,51,"2,787","27,325",8,162,62,433,402,"2,678","2,585","7,286",844,"2,287","2,071","4,734",40,318,67,671,303,875,98,485,76,687,46,"1,561",419,"3,490",303,"2,863",264,980,973,"2,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 예천군,14,77,1,8,279,"1,158",6,141,13,117,185,"1,109",827,"1,690",237,441,689,"1,416",24,133,42,353,83,203,45,119,29,63,52,981,111,835,140,"1,453",66,274,437,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 봉화군,16,174,6,90,204,"1,758",18,100,18,142,236,"1,775",585,"1,159",153,394,587,"1,037",15,100,31,217,22,31,30,144,11,59,37,"1,131",80,633,74,793,58,198,316,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 울진군,9,60,12,133,220,"1,109",8,"2,369",15,187,309,"2,161","1,234","2,231",186,382,"1,347","2,905",24,121,58,491,55,163,56,347,63,380,45,"1,273",156,"1,174",121,"1,296",117,412,515,"1,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 울릉군,0,0,0,0,75,234,7,83,5,29,78,522,295,522,86,222,401,860,11,74,14,97,15,41,10,24,32,114,24,563,29,207,17,156,22,81,117,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주광역시 동구,1,4,0,0,"1,035","2,406",15,102,6,92,411,"3,297","5,037","13,083",716,"1,586","2,801","8,247",218,"1,217",336,"5,313",566,"1,649",789,"3,852",344,"5,130",35,"2,911",626,"5,896",444,"8,010",472,"1,637","1,836","4,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주광역시 서구,7,74,5,41,957,"10,884",20,458,26,547,"1,383","15,177","7,587","24,615","1,985","5,989","4,269","14,821",184,"2,128",637,"13,255","1,271","7,593",861,"5,181",402,"9,064",69,"5,410","1,460","7,858","1,028","11,023",868,"2,411","2,910","7,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주광역시 남구,2,8,0,0,514,"1,835",13,104,23,264,607,"6,885","3,197","7,964","1,326","3,057","2,115","5,622",112,"1,008",98,843,635,"1,836",236,"1,185",190,"2,928",31,"1,842","1,029","8,247",688,"9,201",487,"1,618","1,989","4,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주광역시 북구,4,14,3,21,"2,177","20,052",26,402,22,307,"1,555","18,733","8,875","25,226","3,579","9,034","5,420","15,155",202,"2,001",261,"3,200","1,222","4,653",755,"5,461",500,"7,934",72,"4,036","1,861","15,815","1,282","16,143","1,208","3,916","4,087","8,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주광역시 광산구,8,235,2,14,"3,841","49,167",12,384,76,610,899,"7,697","6,944","21,067","2,914","8,588","4,725","14,442",99,"1,367",165,"1,851","1,041","2,938",350,"1,680",299,"4,082",62,"3,086","1,712","12,683","1,141","13,703",912,"2,631","2,824","6,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 중구,0,0,0,0,"2,050","4,831",3,300,10,62,271,"3,210","9,591","22,902",561,"1,437","3,271","11,512",175,"2,054",553,"12,204",483,"2,069",706,"3,018",367,"4,851",36,"2,867",587,"4,355",588,"11,648",366,"1,187","1,781","4,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 동구,3,7,3,6,"1,411","7,701",9,"1,196",46,335,896,"8,559","6,584","20,044","3,205","9,278","4,665","12,979",196,"2,607",238,"2,800","1,024","3,395",585,"4,014",315,"7,907",75,"3,388","1,220","7,390",858,"9,433",686,"1,894","3,084","7,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 서구,0,0,1,4,"3,193","21,138",11,329,44,475,704,"3,551","5,575","14,998","1,837","5,022","3,093","6,578",41,507,151,"1,788",444,"1,432",240,"1,527",227,"3,022",40,"2,664",508,"3,423",541,"6,202",442,873,"2,298","5,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 남구,1,22,0,0,818,"1,902",8,187,16,68,627,"2,926","3,826","7,995","1,286","2,225","2,653","6,103",181,"1,403",126,"1,162",401,"1,394",481,"2,304",228,"4,983",33,"1,591",623,"5,430",475,"8,476",465,"1,006","2,045","3,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 북구,2,153,0,0,"8,450","35,831",8,401,32,312,"1,057","9,329","11,595","33,266","3,379","6,930","5,531","15,271",245,"2,323",216,"2,832","1,128","3,898",551,"3,195",252,"5,331",69,"5,139","1,671","16,626","1,087","12,746",906,"2,796","3,206","6,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 수성구,2,24,0,0,836,"2,739",12,393,18,128,"1,176","15,977","5,905","17,529","2,398","4,720","4,977","17,039",167,"1,829",447,"8,443","1,443","5,021","1,073","5,999",328,"9,406",71,"5,587","2,936","15,528","1,115","10,074",937,"3,278","3,457","7,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 달서구,0,0,2,5,"5,936","59,613",7,128,67,834,"1,299","8,926","9,133","26,416","5,258","12,524","7,178","20,649",213,"1,881",395,"5,441","1,540","5,190",852,"4,622",482,"7,807",77,"4,648","2,414","19,269","1,422","15,391","1,406","4,125","4,408","10,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시 달성군,10,44,3,17,"4,182","44,795",15,462,81,552,628,"4,200","3,250","8,250","1,768","4,470","2,432","6,667",37,188,97,962,649,"1,649",127,"1,243",125,"1,197",44,"2,705",674,"5,282",508,"5,305",380,"1,304","1,352","2,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전광역시 동구,0,0,0,0,"1,958","6,044",2,445,12,129,571,"4,494","5,211","13,981","2,224","8,698","3,230","8,174",89,884,118,"1,028",574,"1,586",229,"1,417",229,"4,562",45,"2,259",637,"7,715",748,"7,314",494,"1,202","2,119","3,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전광역시 중구,0,0,0,0,801,"2,897",4,310,21,535,657,"5,738","5,509","15,461","2,357","5,943","3,850","10,589",124,"1,611",312,"6,216",646,"2,185",388,"1,978",394,"10,114",49,"3,274",911,"7,206",864,"13,421",660,"2,243","2,760","5,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전광역시 서구,7,313,1,6,926,"3,471",9,495,31,170,"1,173","12,860","8,774","26,606","3,939","6,488","6,046","19,967",415,"5,258",728,"13,273","1,578","7,525","1,318","7,308",562,"16,497",100,"13,041","2,043","17,455","1,668","18,546","1,238","3,719","3,970","9,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전광역시 유성구,4,20,1,3,"1,405","19,459",12,214,22,254,740,"10,454","5,712","17,784","1,173","3,418","4,762","16,867",466,"6,217",168,"1,571","1,060","3,632",867,"30,068",309,"4,917",53,"4,248","1,377","17,682",994,"9,313",709,"2,363","2,168","5,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전광역시 대덕구,0,0,3,24,"2,648","28,703",11,"1,347",47,550,766,"4,544","5,348","15,499","1,920","6,661","2,624","6,507",69,571,100,884,426,"1,288",177,"1,561",186,"3,790",32,"1,848",632,"5,635",542,"6,191",478,992,"1,894","4,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
