시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
경기도 수원시_2019,6,221,0,0,"3,858","38,044",15,537,85,"1,138","2,510","25,568","16,891","57,653","7,587","18,099","14,390","49,399",645,"6,046",841,"14,273","3,778","12,024","2,539","56,060","1,514","30,705",144,"16,538","4,551","39,357","3,298","43,828","2,857","9,258","8,506","19,843"
경기도 성남시_2019,7,95,0,0,"4,163","40,323",68,"1,340",76,"1,584","2,148","28,303","16,123","69,543","6,253","15,609","11,429","41,500","1,744","62,226",715,"12,355","3,690","16,361","2,749","41,421","1,191","27,775",126,"11,074","4,137","35,021","2,893","38,218","2,226","7,938","6,595","16,941"
경기도 안양시_2019,2,3,3,53,"3,878","34,837",14,225,60,"1,042","1,897","21,332","11,551","39,650","4,544","12,708","7,079","23,877",861,"9,553",553,"8,888","2,220","8,382","2,191","25,330",763,"16,021",74,"5,337","2,439","20,024","1,639","20,062","1,377","4,519","4,230","9,648"
경기도 부천시_2019,0,0,0,0,"10,229","68,426",6,201,57,"1,416","1,850","18,369","13,411","42,634","5,883","11,358","10,108","30,872",468,"4,031",597,"9,277","2,665","8,920","1,378","7,860",874,"16,298",84,"6,095","2,703","21,224","2,214","31,046","2,115","6,044","6,505","13,524"
경기도 광명시_2019,0,0,0,0,"1,680","14,817",3,89,26,451,592,"5,732","4,706","16,587","2,336","5,410","2,924","10,344",96,790,133,"2,167",936,"2,721",320,"2,232",233,"5,146",44,"2,352","1,202","8,986",869,"9,654",532,"2,413","1,945","4,015"
경기도 평택시_2019,55,768,6,42,"3,846","85,424",18,"1,207",144,"1,638","1,353","13,868","8,373","26,050","3,934","14,328","7,842","23,970",101,901,307,"3,986","1,984","4,456",729,"4,613",799,"9,335",88,"5,368","1,557","12,242","1,247","14,679","1,211","2,902","3,945","8,662"
경기도 안산시_2019,14,96,4,41,"9,105","123,676",16,620,159,"1,811","1,859","14,366","11,482","35,780","6,513","14,308","9,422","27,382",217,"1,562",506,"7,373","1,972","5,524","1,200","8,703",977,"12,508",90,"5,845","2,031","19,529","1,693","25,407","1,898","5,273","5,042","10,389"
경기도 과천시_2019,3,18,0,0,76,307,1,2,14,354,137,"2,356","1,338","4,388",292,861,525,"2,266",43,"1,236",34,567,227,825,136,"5,452",58,"2,262",32,"4,581",237,"1,849",154,"1,762",87,"4,795",303,953
경기도 오산시_2019,2,43,0,0,879,"12,496",3,135,35,560,422,"5,308","2,683","9,556","2,068","3,865","2,714","9,024",42,281,83,989,502,"1,408",209,"1,628",344,"5,860",24,"1,572",654,"7,206",605,"7,371",528,"1,598","1,370","3,106"
경기도 시흥시_2019,6,13,0,0,"11,991","91,805",8,168,98,799,"1,123","8,380","9,504","29,393","4,351","8,492","6,251","18,412",124,803,181,"1,870","1,612","3,744",613,"3,572",485,"4,119",54,"3,884","1,530","12,083","1,208","13,489","1,249","3,130","2,973","6,026"
경기도 군포시_2019,2,4,0,0,"3,037","27,919",5,159,42,388,616,"5,847","3,367","12,628","2,089","10,388","2,753","9,381",138,"1,258",97,892,800,"2,578",476,"4,493",285,"7,195",28,"1,647","1,077","8,747",783,"10,123",572,"2,248","1,806","4,653"
