행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
경상북도 경주시_2018,13.0,12.0,10.0,10.0,18.0,20.0,23.0,23.0,321.0,23.0,50.0,3171.0,11785.0
경상북도 김천시_2018,11.0,12.0,8.0,9.0,17.0,19.0,21.0,22.0,113.0,18.0,79.0,2208.0,6586.0
경상북도 안동시_2018,12.0,13.0,10.0,10.0,18.0,21.0,23.0,23.0,220.0,28.0,54.0,2279.0,8655.0
경상북도 구미시_2018,13.0,16.0,11.0,13.0,18.0,24.0,25.0,29.0,769.0,60.0,61.0,10424.0,27681.0
경상북도 영주시_2018,12.0,12.0,7.0,9.0,16.0,20.0,19.0,25.0,151.0,16.0,42.0,1027.0,4927.0
경상북도 영천시_2018,11.0,10.0,6.0,8.0,16.0,18.0,18.0,20.0,88.0,6.0,60.0,727.0,3553.0
경상북도 상주시_2018,12.0,9.0,5.0,4.0,16.0,16.0,16.0,14.0,98.0,10.0,52.0,1302.0,3973.0
경상북도 문경시_2018,10.0,10.0,7.0,6.0,17.0,16.0,19.0,22.0,75.0,7.0,55.0,800.0,2907.0
경상북도 경산시_2018,11.0,14.0,11.0,12.0,16.0,22.0,24.0,26.0,306.0,25.0,55.0,4410.0,12992.0
경상북도 군위군_2018,9.0,5.0,4.0,7.0,9.0,10.0,11.0,21.0,8.0,0.0,135.0,90.0,496.0
경상북도 의성군_2018,7.0,6.0,5.0,6.0,8.0,11.0,15.0,17.0,17.0,1.0,126.0,170.0,1209.0
경상북도 청송군_2018,12.0,6.0,3.0,5.0,15.0,11.0,10.0,17.0,12.0,1.0,86.0,216.0,623.0
경상북도 영양군_2018,7.0,6.0,3.0,6.0,9.0,11.0,10.0,16.0,6.0,0.0,144.0,109.0,523.0
경상북도 영덕군_2018,7.0,8.0,5.0,8.0,8.0,14.0,14.0,19.0,27.0,0.0,76.0,135.0,1170.0
경상북도 청도군_2018,9.0,7.0,2.0,4.0,14.0,13.0,10.0,12.0,28.0,1.0,46.0,305.0,1119.0
경상북도 고령군_2018,10.0,8.0,4.0,4.0,11.0,15.0,12.0,12.0,23.0,0.0,70.0,170.0,1189.0
경상북도 성주군_2018,8.0,7.0,5.0,9.0,11.0,12.0,15.0,22.0,26.0,0.0,72.0,189.0,1215.0
경상북도 칠곡군_2018,11.0,12.0,10.0,10.0,16.0,19.0,23.0,25.0,177.0,4.0,60.0,1837.0,6969.0
경상북도 예천군_2018,8.0,8.0,4.0,9.0,15.0,13.0,14.0,18.0,44.0,3.0,52.0,432.0,1326.0
경상북도 봉화군_2018,6.0,6.0,5.0,9.0,8.0,10.0,15.0,18.0,13.0,0.0,153.0,172.0,995.0
