±¸ºÐ,Ç×¸ñ,´ÜÀ§,2014.01 ¿ù,2014.02 ¿ù,2014.03 ¿ù,2014.04 ¿ù,2014.05 ¿ù,2014.06 ¿ù,2014.07 ¿ù,2014.08 ¿ù,2014.09 ¿ù,2014.10 ¿ù,2014.11 ¿ù,2014.12 ¿ù,2015.01 ¿ù,2015.02 ¿ù,2015.03 ¿ù,2015.04 ¿ù,2015.05 ¿ù,2015.06 ¿ù,2015.07 ¿ù,2015.08 ¿ù,2015.09 ¿ù,2015.10 ¿ù,2015.11 ¿ù,2015.12 ¿ù,2016.01 ¿ù,2016.02 ¿ù,2016.03 ¿ù,2016.04 ¿ù,2016.05 ¿ù,2016.06 ¿ù,2016.07 ¿ù,2016.08 ¿ù,2016.09 ¿ù,2016.10 ¿ù,2016.11 ¿ù,2016.12 ¿ù,2017.01 ¿ù,2017.02 ¿ù,2017.03 ¿ù,2017.04 ¿ù,2017.05 ¿ù,2017.06 ¿ù,2017.07 ¿ù,2017.08 ¿ù,2017.09 ¿ù,2017.10 ¿ù,2017.11 ¿ù,2017.12 ¿ù,2018.01 ¿ù,2018.02 ¿ù,2018.03 ¿ù,2018.04 ¿ù,2018.05 ¿ù,2018.06 ¿ù,2018.07 ¿ù,2018.08 ¿ù,2018.09 ¿ù,2018.10 ¿ù,2018.11 ¿ù,2018.12 ¿ù,2019.01 ¿ù,2019.02 ¿ù,2019.03 ¿ù,2019.04 ¿ù,2019.05 ¿ù,2019.06 ¿ù,2019.07 ¿ù,2019.08 ¿ù,2019.09 ¿ù,2019.10 ¿ù,2019.11 ¿ù,2019.12 ¿ù,2020.01 ¿ù,2020.02 ¿ù,2020.03 ¿ù,2020.04 ¿ù,2020.05 ¿ù,2020.06 ¿ù,2020.07 ¿ù,2020.08 ¿ù,2020.09 ¿ù,2020.10 ¿ù,2020.11 ¿ù,2020.12 ¿ù,2021.01 ¿ù,2021.02 ¿ù,2021.03 ¿ù,2021.04 ¿ù,2021.05 ¿ù,2021.06 ¿ù,2021.07 ¿ù,2021.08 ¿ù,2021.09 ¿ù,2021.10 ¿ù,2021.11 ¿ù,2021.12 ¿ù,2022.01 ¿ù,2022.02 ¿ù,2022.03 ¿ù,2022.04 ¿ù,2022.05 ¿ù,2022.06 ¿ù,2022.07 ¿ù,2022.08 ¿ù,2022.09 ¿ù,2022.10 ¿ù,2022.11 ¿ù,2022.12 ¿ù,2023.01 ¿ù,2023.02 ¿ù,2023.03 ¿ù,2023.04 ¿ù,2023.05 ¿ù,2023.06 ¿ù,2023.07 ¿ù,2023.08 ¿ù,2023.09 ¿ù,2023.10 ¿ù,2023.11 ¿ù,2023.12 ¿ù,Unnamed: 123
¿À»ê,¿ùÆò±Õ,,.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,.4,0.6,.6,0.7,0.7,.6,.5,.4,.4,.4,.5,.5,.6,.5,.7,.6,.5,.5,.5,.4,.4,.4,.4,.4,.5,.6,.6,.7,0.6,.6,.5,.4,.4,.4,.3,.4,.4,.5,.6,.7,.6,.5,.4,.4,.4,.3,.3,.3,.4,.6,.6,.7,.6,0.6,.4,.4,.4,.3,.4,0.4,.4,.5,.6,.6,.4,.3,.3,.3,.3,.4,0.3,.4,.5,.5,.6,.5,.5,.5,.4,.4,.4,.3,.4,.4,.4,.5,.5,.5,.4,.4,.3,.2,.2,0.2**,.3,.3,.4,.4,.4,.49,.5,.43,.35,.31,.32,.3,.31,.32,.39,.38,.45,
ÇÏ³²,¿ùÆò±Õ,,.8,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,.4,0.6,.6,0.7,0.7,.6,.5,.4,.4,.4,.4,.4,.5,.5,.7,.7,.6,.6,.5,.5,.4,.4,.4,.4,.5,.6,.6,.7,0.6,.6,.5,.4,.4,.4,.3,.4,.4,.5,.6,.7,.6,.5,.4,.4,.4,.3,.3,.3,.4,.6,.6,.8,.7,0.6,.4,.5,.4,.3,.4,0.3,.4,.5,.6,.6,.5,.5,.4,.4,.4,.4,0.3,.3,.4,.5,.6,.6,.6,.5,.4,.4,.4,.3,.3,.3,.3,.5,.5,.6,.5,.4,.3,.3,.2,.3,.3,.2,.3,.4,.4,.49,.47,.41,.32,.29,.31,.29,.28,.29,.33,.35,.42,
È­¼º,¿ùÆò±Õ,,.6,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.4,.4,0.5,.5,0.6,0.6,.6,.4,.4,.4,.3,.4,.4,.5,.5,.6*,.5,.5,.4,.4,.3,.3,.3,.3,.4,.4,.5,.5,.6,0.5,.5,.4,.3,.3,.3,.3,.4,.4,.4,.5,.6,.5,.4,.4,.3,.3,.3,.3,.4,.5,.6,.6,.6,.6,0.5,.4,.5,.4,.4,.4,0.4,.4,.5,.5,.6,.5,.4,.4,.4,.5,.4,0.3,.4,.5,.5,.5,.5,.5,.5,.4,.4,.4,.3,.4,.4,.4,.5,.4,.5,.4,.4,.3,.3,.3,.3,.3,.3,.3,.4,.4,.4,.42,.36,.31,.3,.28,.27,.29,.3,.36,.36,.42,
¾çÁÖ,¿ùÆò±Õ,,.8,0.8,0.6,0.4,0.4,0.4,0.4,0.3,0.3,.3,0.4,.5,0.7,0.6,.5,.4,.3,.3,.2,.4,.5,.6,.6,.8,.8,.6,.5,.5,.3,.4,.3,.4,.4,.4,.6,.7,.7,0.7,.6,.5,.4,.4,.4,.3,0.3**,.3,.5,.6,.6,.5,.4,.3,.3,.3,.3,.3,.3,.4,.5,.5,.6,.5,0.5,.4,.4,.3,.3,.3,0.3,.4,.5,.5,.5,.4,.4,.4,.4,.4,.3,0.3,.3,.4,.5,.6,.5,.5,.4,.4,.4,.4,.3,.4,.4,.4,.5,.5,.5,.4,.4,.3,.3,.2,.2,.3,.3,.3,.4,.4,.49,.46,.37,.3,.26,.29,.28,.28,.31,.37,.36,.43,
µ¿µÎÃµ,¿ùÆò±Õ,,.8,0.6,0.7,0.5,0.4,0.3,0.3,0.3,0.3,.3,0.6,.7,0.7,0.7,.5,.4,.3,.3,.3,.3,.3,.4,.4,.6,.7,.6,.6,.5,.4,.4,.3,.3,.3,.4,.6,.7,.7,0.7,.6,.5,.4,.3,.4,0.4**,.4,.4,.6,.8,.6,.6,.4,.3,.3,.3,.2,.3,.4,.4,.5,.6,.7,.5,0.5,.3,.4,.3,.2,.3,0.3,.3,.5,.6,.4,.4,.4,.4,.3,.4,.3,0.3,.4,.5,.5,.6,.5,.5,.4,.3,.4,.4,.3,.4,.4,.4,.5,.5,.5,.4,.3,.3,.3,.2,0.2*,0.3*,.3,.3,.4,.5,.48,.51,.42,.3,.24,.25,.24,.23,.26,.34,.36,.45,
¾È¼º,¿ùÆò±Õ,,.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,.3,0.5,.5,0.6,0.6,.5,.4,.4,.3,.2,.3,.3,.4,.4,.5,.5,.4,.4,.4,.4,.3,.3,.3,.3,.4,.4,.5,.5,0.5,.5,.4,.3,.3,.3,.3,.3,.3,.4,.4,.5,.5,.4,.3,.3,.3,.2,0.3*,.4,.4,.6,.5,.6,.6,0.6,.4,.5,.5,.5,.6,0.5,.4,.4,.5,.6,.4,.4,.3,.3,.4,.4,0.4,.4,.5,.5,.5,.6,.5,.5,.4,.4,.4,.4,.5,.5,.4,.5,.5,.6,.5,.5,.4,.4,.4,.4,.4,.4,.4,.5,.5,.54,.51,.48,.42,.4,.4,.38,.42,.42,.44,.44,.51,
ÀÌÃµ,¿ùÆò±Õ,,.8,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.3,.3,0.6,.6,0.6,0.7,.5,.4,.3,.3,.3,.3,.3,.4,.6,.7,.7,.7,.6,.4,.4,.4,.3,0.3*,.3,.4,.6,.7,.7,0.6,.5,.4,.3,.3,.3,.3,.4,.4,.5,.5,.6,.5,.4,.3,.3,.3,.3,.3,.3,.4,.7,.7,.8,.6,0.5,.4,.5,.4,.4,.4,0.4,.4,.6,.7,.6,.6,.5,.4,.4,.4,.4,0.3,.4,.5,.5,.5,.5,.5,.4,.3,.3,.4,.3,.3,.3,.4,.5,.5,.5,.4,.3,.3,.2,.2,.3,.2,.2,.2,.4,.3,.36,.37,.33,.25,.25,.28,.27,.28,.26,.3,.37,.47,
ÆÄÁÖ,¿ùÆò±Õ,,1,0.9,0.6,0.5,0.5,0.5,0.5,0.4,0.5,.5,0.6,0.7*,0.9,0.8,.7,.6,.5,.5,.5,.5,.5,.6,.6,.8,.8,.6,.6,.5,.5,.5,.5,.5,.6,.6,.7,.8,.8,0.7,.7,.5,.5,.4,.5,.5,.5,.5,.6,.7,.7,.7,.6,.5,.5,.4,.4,.5,.4,.5,.7,.7,.9,.7,0.6,.5,.5,.4,.5,.5,0.4,.4,.6,.6,.7,.5,.5,.4,.4,.5,.5,0.4,.4,.4,.5,.6,.6,.5,.5,.4,.4,.4,.4,.5,.5,.5,.6,.6,.7,.5,.5,.4,.4,.3,.4,.4,.3,.3,.5,.5,.56,.55,0.48*,0.41*,0.37*,0.36*,0.40*,0.43*,.39,.41,.47,.53,
Æ÷Ãµ,¿ùÆò±Õ,,.9,0.7,0.5,0.5,0.4,0.3,0.3,0.3,0.4,.4,0.7,.8,0.8,0.7,.6,.5,.4,.4,.3,.4,.4,.5,.5,.8,.8,.7,.6,.5,0.4**,.3,.3,.3,.3,.4,.6,.8,.8,0.6,.5,.4,.4,.3,.3,.3,.4,.4,.6,.7,.7,.6,.5,.4,.3,.3,.2,.3,.3,.4,.6,.6,.8,.7,0.6,.4,.4,.3,.3,.3,0.3,.4,.5,.6,.7,.6,.5,.4,.4,.3,.3,0.3,.3,.4,.5,.6,.6,.5,.5,.3,.3,.3,.3,.3,.3,.4,.5,.5,.6,.5,.4,.3,.3,.2,.2,.3,.2,.3,.4,.5,.58,.53,.43,.31,.26,.26,.26,.24,.24,.32,.35,.46,
¿©ÁÖ,¿ùÆò±Õ,,.8,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.3,.3,0.6,.7,0.7,0.7,.6,.4,.4,.3,.3,.3,.3,.4,.5,.7,.7,.6,.5,.4,.4,.4,.4,.4,.4,.5,.7,.8,.8,0.6,.5,.4,.4,.4,.4,.4,.4,.4,.5,.6,.7,.6,.5,.4,.4,.3,.4,.4,.4,.5,.7,.8,.8,.7,0.6,.5,.5,.3,.3,.4,0.3,.4,.6,.8,.6,.6,.5,.4,.4,.4,.4,0.3,.4,.5,.5,.6,.5,.5,.4,.3,.3,.4,0.3*,.3,.3,.4,.5,.5,.5,.4,.4,.3,.3,.2,.3,.2,.2,.3,.4,.4,.44,.41,.34,.27,.23,.24,.23,.23,.25,.32,.36,.47,
