P-Value,Correlation
6.577559097257492e-06,0.9646073504585344
1.5045079026506116e-05,0.9563649830298038
0.157637136520521,0.4826957742650802
0.5985262322399738,-0.1902709081068359
0.2086780067860337,0.4352547594548636
0.097532781916377,0.5526967747472413
7.797683256163979e-05,0.9337034301692938
0.1216407634405945,-0.5925510108711535
2.014496459049456e-06,-0.9737436367808764
0.0275423120985802,0.6890083958718265
0.2053279927987976,-0.4381439767468396
0.025330480278721,-0.6961861927040496
7.226623351810164e-09,0.9936126234834456
2.1117247495647536e-06,0.9734298778842748
0.0007330538089987,0.8820359074502241
0.0042259502371394,0.8131698622861292
0.0282746914429183,-0.6867188988000901
