,인구밀도,미세먼지(PM2.5)
2014,16694.039986781227,
2015,16557.378159590287,23.17
2016,16408.816920026435,26.08
2017,16287.881692002642,24.5
2018,16136.19134170522,23.0
2019,16075.854263053534,24.83
2020,15975.652676801055,20.75
2021,15712.91804362194,19.75
2022,15578.935888962324,18.33
2023,15508.978849966952,19.75
