,인구밀도,미세먼지(PM10)
2014,16694.039986781227,
2015,16557.378159590287,45.5
2016,16408.816920026435,47.83
2017,16287.881692002642,43.83
2018,16136.19134170522,39.75
2019,16075.854263053534,41.58
2020,15975.652676801055,35.25
2021,15712.91804362194,38.42
2022,15578.935888962324,32.75
2023,15508.978849966952,37.67
