,행정구역,소멸위험지수,소멸위험등급
0,강원특별자치도_2015,0.6873610268168905,C
1,강원특별자치도 강릉시_2015,0.6239108106623947,C
2,강원특별자치도 고성군_2015,0.18750009958398137,B
3,강원특별자치도 동해시_2015,0.7083592595657736,C
4,강원특별자치도 삼척시_2015,0.2305345326378197,B
5,강원특별자치도 속초시_2015,0.8427035815022093,C
6,강원특별자치도 양구군_2015,0.5852383693967742,C
7,강원특별자치도 양양군_2015,0.20302286048898063,B
8,강원특별자치도 영월군_2015,0.25401735960320404,B
9,강원특별자치도 원주시_2015,1.7153964530143109,D
10,강원특별자치도 인제군_2015,0.6393717566701675,C
11,강원특별자치도 정선군_2015,0.22196118377050753,B
12,강원특별자치도 철원군_2015,0.5890043719829263,C
13,강원특별자치도 춘천시_2015,1.0994316806439794,C
14,강원특별자치도 태백시_2015,0.3385845158269358,B
15,강원특별자치도 평창군_2015,0.260274625062739,B
16,강원특별자치도 홍천군_2015,0.3203397827172921,B
17,강원특별자치도 화천군_2015,0.3570751970672426,B
18,강원특별자치도 횡성군_2015,0.3224230587219117,B
19,경기도_2015,2.558837783455033,D
20,경기도 가평군_2015,0.4258470612535009,B
21,경기도 고양시_2015,2.680214332545797,D
22,경기도 과천시_2015,1.9306425794600286,D
23,경기도 광명시_2015,2.5259889223323797,D
24,경기도 광주시_2015,2.6154622288839704,D
25,경기도 구리시_2015,2.673484826869082,D
26,경기도 군포시_2015,3.0974965451465275,D
27,경기도 김포시_2015,2.3847195089215667,D
28,경기도 남양주시_2015,2.362166415926008,D
29,경기도 동두천시_2015,0.8412484708503774,C
30,경기도 부천시_2015,2.9333219329782816,D
31,경기도 성남시_2015,2.417350443071441,D
32,경기도 수원시_2015,4.421850330675927,D
33,경기도 시흥시_2015,4.974503124317034,D
34,경기도 안산시_2015,4.634025584497635,D
35,경기도 안성시_2015,0.9552066815703866,C
36,경기도 안양시_2015,2.8188522413958963,D
37,경기도 양주시_2015,1.586111851090338,D
38,경기도 양평군_2015,0.5513845430961003,B
39,경기도 여주시_2015,0.6674322266808987,C
40,경기도 연천군_2015,0.34231027486958443,B
41,경기도 오산시_2015,5.336184782631133,D
42,경기도 용인시_2015,2.6927401408249017,D
43,경기도 의왕시_2015,2.4717679435098914,D
44,경기도 의정부시_2015,1.809732492231082,D
45,경기도 이천시_2015,1.6932241785483333,D
46,경기도 파주시_2015,1.9366955281775633,D
47,경기도 평택시_2015,2.160819079793824,D
48,경기도 포천시_2015,0.7490193703750927,C
49,경기도 하남시_2015,2.3184066634907414,D
50,경기도 화성시_2015,4.468961816399332,D
51,경상남도_2015,1.1448952538324948,C
52,경상남도 거제시_2015,4.179102596792757,D
53,경상남도 거창군_2015,0.32548716037312164,B
54,경상남도 고성군_2015,0.107733702321091,A
55,경상남도 김해시_2015,3.685819424678916,D
56,경상남도 남해군_2015,0.0026085997831196,A
57,경상남도 밀양시_2015,0.28808687398695415,B
58,경상남도 사천시_2015,0.4363687645105516,B
59,경상남도 산청군_2015,0.197995749679711,B
60,경상남도 양산시_2015,2.4090986449213725,D
61,경상남도 의령군_2015,0.0,A
62,경상남도 진주시_2015,1.2505832921398297,C
63,경상남도 창녕군_2015,0.25416446784723246,B
64,경상남도 창원시_2015,2.2368250666408382,D
65,경상남도 통영시_2015,0.8814825132934564,C
66,경상남도 하동군_2015,0.33982461392881486,B
67,경상남도 함안군_2015,0.4414867582719849,B
68,경상남도 함양군_2015,0.10991646733482939,A
69,경상남도 합천군_2015,0.0,A
70,경상북도_2015,0.5790213774239135,B
71,경상북도 경산시_2015,1.2962890492808394,C
72,경상북도 경주시_2015,0.4797385942786771,B
73,경상북도 고령군_2015,0.07006944631241786,A
74,경상북도 구미시_2015,5.847614630678478,D
75,경상북도 김천시_2015,0.6257131218810944,C
76,경상북도 문경시_2015,0.21379691578837362,B
77,경상북도 봉화군_2015,0.09901899210982136,A
78,경상북도 상주시_2015,0.1533124034436744,A
79,경상북도 성주군_2015,0.1907526008582882,B
80,경상북도 안동시_2015,0.4438218622772092,B
81,경상북도 영덕군_2015,0.047761438176384535,A
82,경상북도 영양군_2015,0.0,A
83,경상북도 영주시_2015,0.2391633257051284,B
84,경상북도 영천시_2015,0.2377582938001661,B
85,경상북도 예천군_2015,0.02891125359759647,A
86,경상북도 울릉군_2015,0.2279141704889121,B
87,경상북도 울진군_2015,0.19389122489301386,B
88,경상북도 의성군_2015,0.013627236879474702,A
89,경상북도 청도군_2015,0.10787894437014828,A
90,경상북도 청송군_2015,0.1283754729779099,A
91,경상북도 칠곡군_2015,1.5566164149400403,D
92,경상북도 포항시_2015,1.3590305506258058,D
93,광주광역시_2015,2.1464364438562487,D
94,광주광역시 광산구_2015,5.058368083251393,D
95,광주광역시 남구_2015,1.3522928600314068,D
96,광주광역시 동구_2015,0.40649057475097794,B
97,광주광역시 북구_2015,2.0037487375010583,D
98,광주광역시 서구_2015,2.31007050794567,D
99,대구광역시_2015,1.4906695781836845,D
100,대구광역시 군위군_2015,0.13666452552703914,A
101,대구광역시 남구_2015,0.5260261522404586,B
102,대구광역시 달서구_2015,2.680683813542956,D
103,대구광역시 달성군_2015,2.003096156218731,D
104,대구광역시 동구_2015,0.9089624498250626,C
105,대구광역시 북구_2015,2.0892042636036683,D
106,대구광역시 서구_2015,0.6549635449903378,C
107,대구광역시 수성구_2015,1.7920967971708321,D
108,대구광역시 중구_2015,0.7427790291293993,C
109,대전광역시_2015,2.2281883596222074,D
110,대전광역시 대덕구_2015,1.8517003283002498,D
111,대전광역시 동구_2015,0.835404541449332,C
112,대전광역시 서구_2015,3.2822403104425444,D
113,대전광역시 유성구_2015,6.013181861662981,D
114,대전광역시 중구_2015,0.9588376628197703,C
115,부산광역시_2015,1.0484382572029385,C
116,부산광역시 강서구_2015,2.258737379392752,D
117,부산광역시 금정구_2015,0.8612065514330272,C
118,부산광역시 기장군_2015,1.7665661011602038,D
119,부산광역시 남구_2015,0.83500406411167,C
120,부산광역시 동구_2015,0.17967041591465277,B
121,부산광역시 동래구_2015,1.1303816112128957,C
122,부산광역시 부산진구_2015,0.915081082940735,C
123,부산광역시 북구_2015,1.8790103687357813,D
124,부산광역시 사상구_2015,1.3003119516320307,C
125,부산광역시 사하구_2015,1.1937342244505806,C
126,부산광역시 서구_2015,0.3251638190002764,B
127,부산광역시 수영구_2015,0.9125055853358393,C
128,부산광역시 연제구_2015,1.1171549262567364,C
129,부산광역시 영도구_2015,0.22880983205612876,B
130,부산광역시 중구_2015,0.3010238156275302,B
131,부산광역시 해운대구_2015,1.5295411797998826,D
132,서울특별시_2015,1.770039234316745,D
133,서울특별시 강남구_2015,3.3374597942130824,D
134,서울특별시 강동구_2015,1.9454754403407526,D
135,서울특별시 강북구_2015,0.8759298057550254,C
136,서울특별시 강서구_2015,2.2463318436689015,D
