,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도,0.6873610268168905,0.6353563734638539,0.5567291243019709,0.4667738044973238,0.4302759609462397,0.3865581431440994,0.34864502770844336,0.3181712036341801,0.2327196302964817
강원특별자치도 강릉시,0.6239108106623947,0.596853875139251,0.549556518212774,0.454851533321406,0.4514267613723639,0.37006813078546164,0.343882564347157,0.25393890560611887,0.19252081605827942
강원특별자치도 고성군,0.18750009958398137,0.22877412937536576,0.19159041466370313,-0.2590297505146759,-0.10670296371065528,0.009909191142966067,0.28202227518823986,0.17359457059351552,0.15998052791674128
강원특별자치도 동해시,0.7083592595657736,0.6524257318216993,0.5756906336002369,0.3954819027996569,0.3843589971055685,0.39474187653615633,0.3143521951171364,0.2635759385507969,0.1842928445396056
강원특별자치도 삼척시,0.2305345326378197,0.22441035907951734,0.20908004405126102,0.28013421756191875,0.12070277778661069,-0.031005434162890644,0.009497784450456181,0.21717071629663448,0.0591013628447916
강원특별자치도 속초시,0.8427035815022093,0.7975680808159028,0.7599530170655776,0.5754627337276069,0.5282239914244283,0.5032137517809009,0.41504072236938905,0.36138581144031956,0.2376268963239802
강원특별자치도 양구군,0.5852383693967742,0.4528629270089078,0.3830169557907174,0.2727544418119511,0.13081607567839576,0.13379871606821134,0.0818977107734887,0.09223334785692398,0.06982131816432528
강원특별자치도 양양군,0.20302286048898063,0.13201305499857605,0.19382348798915106,0.2043442358085616,0.2737217305557659,0.22063476622542266,0.14993891780381838,0.16950982369350087,0.10643408081459758
강원특별자치도 영월군,0.25401735960320404,0.1930522427649032,0.2308881828233545,0.11977498431123029,0.038522411380112115,0.047581803864805816,0.06772935191634226,0.1648586695385788,0.056916918116199845
강원특별자치도 원주시,1.7153964530143109,1.6260416055660072,1.4018979007725716,1.2585156624554295,1.162897264176066,1.0302317545443331,0.8997213984987583,0.7934502663028067,0.6395837346373752
강원특별자치도 인제군,0.6393717566701675,0.33090581002857256,0.3718644623061331,0.26206989326451285,0.21559844881728749,0.2866984341965643,0.3645568614440915,0.2645949005359754,0.17404600025514103
강원특별자치도 정선군,0.22196118377050753,0.1373675096895921,0.10047099650589202,0.09719147688884627,0.0775473463613392,0.06485804940473172,-0.013404993884208238,-0.020730126850248234,-0.07679495799909905
강원특별자치도 철원군,0.5890043719829263,0.24985066989325858,0.21341631962950608,0.1824928326191636,0.1301877386732292,0.0661416481960446,-0.010845905303005443,-0.022336363910940876,-0.010096031685968426
강원특별자치도 춘천시,1.0994316806439794,1.0868765076610252,0.8982217745316192,0.8125420233142686,0.7297405486199458,0.6527336040753672,0.6213073145753755,0.5733717354958705,0.45556523892471473
강원특별자치도 태백시,0.3385845158269358,0.3429137868638426,0.14920166608952096,0.12051704346472328,0.07123897296201456,-0.011876675511500984,-0.08511304855821969,-0.06510965696838292,0.029025910722760784
강원특별자치도 평창군,0.260274625062739,0.2435617914582036,0.19775614555055965,0.11264694911735679,0.060150877268836916,0.07407064029550509,0.04880443904446983,0.20665105797773636,0.08231317078042294
강원특별자치도 홍천군,0.3203397827172921,0.2934358759420431,0.32028335151870213,0.19958543623897756,0.11168049201187494,0.2213646402355818,0.10435513845808912,0.1338462159363533,0.05870427522863308
강원특별자치도 화천군,0.3570751970672426,0.20025406508343951,0.29165062481040893,0.06070845545472214,0.2125589724848964,0.21202552418609463,0.056882414747261856,-0.06833228685828127,0.034821847975241293
강원특별자치도 횡성군,0.3224230587219117,0.277018174361137,0.2812128822322432,0.30246419477346964,0.15442887938148125,0.14826002562595436,0.18934508961043467,0.2137530646982831,0.12772951743201738
경기도,2.558837783455033,2.4020680504148637,2.095616820018792,1.898617984305966,1.6566344500901933,1.4466698951083599,1.278024606553834,1.0722267113173904,0.9259347777046771
경기도 가평군,0.4258470612535009,0.37922540219745665,0.36706984551898214,0.2664768222433194,0.16236960879781975,0.20891245022888894,0.21858986508998762,0.21278531582742255,0.22041294346061657
경기도 고양시,2.680214332545797,2.4494756744039314,2.085585427159646,1.81601032493746,1.7318781743006526,1.424406890099839,1.163239238471268,0.991907958095492,0.8456147039995905
경기도 과천시,1.9306425794600286,1.3896326257478533,0.9270606386561061,1.427784590503395,1.246853724441995,1.5153524713667832,1.7567259060676759,1.464092585104194,1.2768985442374639
경기도 광명시,2.5259889223323797,2.2098830637726374,1.8358958564939658,1.5780592262485413,1.1962484185231892,0.8935348801814866,0.9452252964711025,0.7866115406253879,0.554966221553532
경기도 광주시,2.6154622288839704,2.4977109437361125,2.3034152687763134,2.0921533805245622,1.6923513670266968,1.4461109397377965,1.1683420914516256,1.013894285622973,0.7517434571052786
경기도 구리시,2.673484826869082,2.701054938586899,2.4038215047212383,2.0281923049564514,1.3824205128276175,1.2168466527783681,0.8953495865971033,0.7858787092559243,0.6890325826785533
경기도 군포시,3.0974965451465275,2.694367104529654,2.213449560481969,1.8537229313606156,1.6261634727673622,1.283145375506103,0.9690601218265749,0.8654469879967626,0.5567876146095276
경기도 김포시,2.3847195089215667,2.2987883320718407,2.408640912562311,2.3758731479891337,1.977163981051243,2.0585062870052853,1.65619335876259,1.2165620932452619,1.1074265871605067
경기도 남양주시,2.362166415926008,2.0875892479536597,1.7165643361618697,1.703218888643918,1.5903693495883287,1.293183416915759,1.2562654717244421,0.9637157748330162,0.7013285835638646
경기도 동두천시,0.8412484708503774,0.766416663909435,0.5629816819050978,0.5051736288974338,0.3723764739038798,0.3854185060557059,0.3878662117502251,0.21792792936269553,0.020504587956854503
경기도 부천시,2.9333219329782816,2.6933501232449357,2.2268576580284885,1.8385618567316335,1.4006614608878083,1.1341745700310075,0.9148634208306998,0.6691151035828012,0.5794261616458111
경기도 성남시,2.417350443071441,2.28763718901751,1.9222879548022234,1.6158759845509985,1.3733091822493488,1.242592546277259,1.0698560871835963,0.9184939266251132,0.820337428272551
경기도 수원시,4.421850330675927,4.04339574942411,3.4583642944948108,2.9765184157999776,2.520678611070315,2.097311807157298,1.876531568476692,1.728213892953387,1.4867073107638824
경기도 시흥시,4.974503124317034,4.5256979113949285,4.201624985521179,4.064455685751908,3.5955748819218956,3.0859390044448984,2.5156500755871902,2.015035746146401,1.7737173460935076
경기도 안산시,4.634025584497635,4.1614196558306,3.3992778613835113,2.755025031850655,2.3074477509629068,2.0454704342225454,1.6633446757650134,1.2276838992028287,0.920788499318734
경기도 안성시,0.9552066815703866,1.0794436140671269,0.8500933251642105,0.7950715219541458,0.6572515163952241,0.734264923743047,0.640829074110837,0.46028474159585464,0.4359577203774269
경기도 안양시,2.8188522413958963,2.6240291818106054,2.1351625580169227,1.753183527740615,1.4356366311034505,1.0707934230335763,1.0839844047726863,0.9808930497548974,0.7305348027307366
경기도 양주시,1.586111851090338,1.3835495788453673,1.4161272475458504,1.2263689933020576,1.115892285776265,1.0692283387597141,0.9369358343692735,0.9306038075562149,1.2671969350295265
경기도 양평군,0.5513845430961003,0.5325897120146721,0.5551287502960567,0.3459263033662623,0.29999637484196123,0.3430974248760288,0.3706407531898126,0.2860147988665187,0.35702807974176554
경기도 여주시,0.6674322266808987,0.6195251419151536,0.5490882757434523,0.420816676247546,0.35307462238698695,0.3991071661077208,0.34273586953221935,0.36942752902942827,0.3518909248315423
경기도 연천군,0.34231027486958443,0.29207802229842345,0.15987148558625974,0.06989676814963092,0.04539772753655051,0.12505432130663305,0.06896239912221266,0.06316956272534582,0.06081086938946951
경기도 오산시,5.336184782631133,5.020793537914268,4.476207830088827,4.089925407944256,3.5563248501938256,2.9462406306463875,2.4308914068323557,2.040803394106248,1.7107509384183135
경기도 용인시,2.6927401408249017,2.5185053847074026,2.187556191385997,2.0783468151391906,1.8423639201073212,1.5464452625651146,1.3031268074521583,1.1145882888571665,0.9861788405848024
경기도 의왕시,2.4717679435098914,2.1986749564479373,1.7915739907786399,1.4296876387787865,1.6629101057863382,1.331656713045124,1.0300116374018002,0.682576970569595,0.6632364789729451
경기도 의정부시,1.809732492231082,1.693619701351901,1.4828720842362684,1.376972652017308,1.205636292112451,1.1139963313404302,0.9463829751690753,0.8047515417854335,0.6808624839939971
경기도 이천시,1.6932241785483333,1.8332022307541436,1.5691450525476662,1.3561835905731376,1.2301179096652082,1.1252899344451064,1.1062158699991158,0.828458986535207,0.6963205168430696
경기도 파주시,1.9366955281775633,1.8035430165782544,1.6458132551632751,1.6430539770670627,1.3089914387825061,1.308311630908621,1.3354742783611782,1.182480772976147,0.8989877763242621
경기도 평택시,2.160819079793824,2.086489717417375,1.9295162844036926,1.8570998824721123,1.7613954443035507,1.7159147740084462,1.7067124968114475,1.498993781609518,1.3427648799424994
경기도 포천시,0.7490193703750927,0.7052181077233276,0.5281845539086387,0.4195022523283684,0.31628659990363006,0.32021430536680345,0.4509316345762748,0.17575215666097005,0.04192770439848348
경기도 하남시,2.3184066634907414,2.9217676370163383,2.4134411437231216,2.2076571879772793,2.0342265821127183,1.9601272860797498,1.9718898827977418,1.5001064546873026,1.294736073205214
경기도 화성시,4.468961816399332,4.472124456855936,4.367387742033771,4.40048813365106,4.152073954486019,3.6763198330605196,3.293369102808681,2.9390813501986033,2.7100856601255847
경상남도,1.1448952538324948,1.0404057025350442,0.9169243522174465,0.7893661786300575,0.6697103918785204,0.5369224494436422,0.45514775522592904,0.3635128407559753,0.304850896073267
경상남도 거제시,4.179102596792757,3.7152058878532244,3.037757382320815,2.567820944664317,2.1402993197789897,1.691419220216338,1.2819055036326488,0.9618018268994221,0.8038829619266789
경상남도 거창군,0.32548716037312164,0.28229414946809067,0.16109180966633116,0.20230707079594462,0.18772666105386476,0.09192488624239117,0.15620098855983783,0.09894404152047721,0.1401488325955818
경상남도 고성군,0.107733702321091,0.10267275497005046,0.08602905882129089,0.0433020402575935,-0.016424998431390336,-0.014115153976429526,0.028091877738892712,0.2190715979224798,-0.02931373103190265
경상남도 김해시,3.685819424678916,3.279388941775714,2.849356559119711,2.4892190438619433,2.2613509064995,1.7572084466083582,1.4054465633120647,1.1813595637513712,0.9959494560150234
경상남도 남해군,0.0026085997831196,0.0200422301962149,0.08033840551578028,0.0406337032199761,0.10826745741883323,0.024453853790776043,0.0426918341066852,0.04848770279051061,-0.013939301175003749
경상남도 밀양시,0.28808687398695415,0.2950465193058388,0.1876449524427856,0.1261126921252393,0.08972068571826661,0.1215132494527501,0.08332623201885911,0.13532335961458675,0.08685722552714267
경상남도 사천시,0.4363687645105516,0.41946869980105267,0.38478434636542486,0.379220532695994,0.212426756169932,0.2504117728997688,0.21528345269947002,0.23617044828801162,0.23125418060033448
경상남도 산청군,0.197995749679711,0.16156323408867646,0.2161929658243594,0.05317499588775281,-0.007047552503220554,0.009268299644970529,0.05363542253997641,0.13799223725168916,0.10843132445158657
경상남도 양산시,2.4090986449213725,2.3665678382538804,2.26414259124258,1.8740498348635595,1.4254629406174584,1.1581358456641753,1.0123034546810674,0.7783374374159415,0.7168599053137854
경상남도 의령군,-0.060391964270222254,0.020009720135204023,0.06691458986966434,0.10361862119716314,-0.014448507208832818,0.028877254685251652,0.029930056984911635,0.12124053613900905,-0.046084383541850335
경상남도 진주시,1.2505832921398297,1.1393448999846345,0.9691263921722851,0.858507799583256,0.7988839385109329,0.6855879037659759,0.5842355450341794,0.45266060627666244,0.38960323026286897
