,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,출생아수,합계출산율,남녀성비,인구증가율,주민등록인구,가구수,일반공공행정예산비중,소멸위험지수,소멸위험등급
344,부산광역시 남구_2016,13,14,14,12,23,22,27,28,273,52,76,3151,12206,1,5,149,92,0,88,13.0,3621.0,100.0,100.0,1718,0.987,96.8,-1.35,278779,109652,3.8,0.6956536100323061,C
345,부산광역시 북구_2016,13,14,12,13,23,21,26,31,357,39,74,4507,13744,2,8,156,89,0,75,15.3,4742.0,100.0,100.0,2417,1.234,98.9,0.01,310202,114512,6.1,1.5272610796112405,D
346,부산광역시 해운대구_2016,13,15,14,14,22,23,28,34,602,35,63,5482,20869,2,11,293,161,1,126,15.3,6432.0,100.0,100.0,2845,1.047,94.3,-0.71,419853,155657,4.3,1.3143977740931136,C
347,부산광역시 사하구_2016,12,14,13,13,21,21,27,29,404,36,53,4510,14661,0,21,173,103,1,86,22.8,7631.0,100.0,100.0,2398,1.119,100.0,-0.95,334603,128475,4.8,1.0471738656693703,C
348,부산광역시 금정구_2016,12,14,14,11,23,21,27,27,348,47,50,2912,9782,1,9,139,87,2,80,23.3,5710.0,100.0,100.0,1275,0.868,96.7,-0.35,244624,99883,2.9,0.7992584852791992,C
349,부산광역시 강서구_2016,15,13,10,10,23,21,23,25,154,4,57,2334,5619,0,2,27,27,0,13,3.5,384.0,87.41,100.0,1601,1.924,107.0,14.09,108909,39004,8.6,2.4590178126797486,D
350,부산광역시 연제구_2016,13,15,13,10,23,23,26,25,247,36,57,1787,9425,1,10,146,88,2,77,25.4,5258.0,100.0,100.0,1478,1.07,95.7,-1.63,207268,78375,5.3,0.8579023418212581,C
351,부산광역시 수영구_2016,12,15,12,14,24,21,25,31,252,23,39,2078,6331,2,9,108,69,0,79,24.6,4411.0,100.0,100.0,1263,0.975,91.3,-0.23,179324,71355,4.7,0.778908358403999,C
352,부산광역시 사상구_2016,11,13,11,11,22,20,25,26,158,23,85,3496,8767,2,8,105,61,0,40,28.6,6648.0,100.0,100.0,1682,1.102,103.5,-1.9,232800,92084,3.6,1.0579992977117991,C
353,부산광역시 기장군_2016,14,16,15,14,21,24,28,33,183,9,91,3460,9963,1,4,73,40,1,30,13.4,2129.0,90.22,100.0,1960,1.696,97.8,3.52,158527,57362,10.4,1.553016366651199,D
354,서울특별시 종로구_2016,12,11,10,13,20,21,24,31,100,178,79,1330,5686,4,2,175,164,1,132,21.6,3295.0,100.0,100.0,846,0.784,97.0,-1.16,152737,65022,11.8,0.8868912477685253,C
355,서울특별시 중구_2016,12,13,9,13,16,22,19,31,65,62,121,1176,5474,3,3,217,212,1,88,13.2,1649.0,100.0,100.0,959,0.974,98.7,0.06,125249,55554,7.1,0.8945272653332406,C
356,서울특별시 용산구_2016,12,12,11,14,22,21,23,30,131,34,88,1779,7923,1,2,123,106,0,63,4.4,1005.0,100.0,100.0,1708,0.907,94.1,-1.13,230241,96097,8.6,1.0232797037007628,C
357,서울특별시 성동구_2016,13,13,11,13,22,21,24,27,245,34,79,2584,12352,1,5,181,120,0,85,5.9,1764.0,100.0,100.0,2531,1.013,98.3,0.69,299259,120625,7.8,1.6758926211739948,D
358,서울특별시 광진구_2016,12,14,13,15,23,23,27,32,375,54,66,3174,15327,2,3,260,154,0,118,6.6,2360.0,100.0,100.0,2767,0.867,95.8,-0.82,357215,153844,9.5,2.3770317909629064,D
359,서울특별시 동대문구_2016,12,14,12,10,20,23,25,24,301,54,65,3388,14212,5,13,239,156,1,174,18.0,6376.0,100.0,100.0,2383,0.889,100.1,-0.94,355069,152538,8.3,1.0318719153626357,C
360,서울특별시 중랑구_2016,12,14,13,12,20,22,26,27,287,19,88,3366,15779,2,14,224,143,0,103,8.1,3314.0,100.0,100.0,3085,0.995,99.4,-0.7,411005,159920,5.8,1.3279276228216654,C
361,서울특별시 성북구_2016,12,15,13,12,21,24,28,30,421,32,72,5243,22467,1,5,248,151,0,115,7.0,3141.0,100.0,100.0,3060,0.909,95.5,-1.69,450355,179278,6.4,1.2055424712392402,C
362,서울특별시 강북구_2016,12,14,13,11,20,23,27,26,209,24,86,2105,11225,1,8,217,119,0,88,6.1,1989.0,100.0,100.0,1965,0.878,96.7,-1.11,327195,127371,7.6,0.7830345386134135,C
363,서울특별시 도봉구_2016,12,15,13,11,19,22,26,25,362,12,76,3027,16760,1,5,158,102,2,83,8.7,3022.0,100.0,100.0,2249,0.947,96.8,-0.84,348220,126297,10.4,1.1162269045265576,C
364,서울특별시 노원구_2016,13,15,14,13,20,23,27,29,749,45,65,7255,29482,3,7,340,193,2,159,6.9,3924.0,100.0,100.0,4176,1.068,94.9,-1.21,567581,205793,5.2,1.6613161772046836,D
365,서울특별시 은평구_2016,13,15,13,12,19,23,26,27,433,36,75,4586,23037,1,11,293,169,2,137,7.4,3613.0,100.0,100.0,3522,0.943,94.8,-1.32,491476,180698,4.9,1.181498995391734,C
366,서울특별시 서대문구_2016,12,15,12,12,21,22,25,27,285,66,63,2748,13331,3,5,203,122,1,94,12.6,3950.0,100.0,100.0,2201,0.934,94.3,0.86,314194,130954,9.6,1.22712536152708,C
367,서울특별시 마포구_2016,13,13,13,12,21,23,26,27,442,161,52,3085,16361,0,1,343,197,1,158,1.9,715.0,100.0,100.0,3392,0.945,92.1,-1.87,379892,158474,6.1,1.9116089074845992,D
368,서울특별시 양천구_2016,12,16,14,14,20,24,28,32,1005,34,44,5177,24825,2,5,274,177,3,149,5.9,2823.0,100.0,100.0,3334,1.008,97.9,-1.47,477739,165412,6.4,2.352528666481712,D
369,서울특별시 강서구_2016,12,15,12,11,19,23,25,25,670,38,56,5858,27048,3,15,343,198,4,168,6.0,3547.0,100.0,100.0,5456,1.059,95.2,1.08,595485,225672,4.5,2.115547147873236,D
370,서울특별시 구로구_2016,13,14,12,14,21,23,25,31,355,56,90,3482,19143,2,8,264,170,1,112,8.9,3721.0,100.0,100.0,3736,1.07,98.9,-1.1,417551,171945,7.6,1.4516189472508672,D
371,서울특별시 금천구_2016,13,12,11,11,18,21,23,27,172,38,80,1666,9189,1,6,145,104,1,75,8.6,2031.0,100.0,100.0,1595,0.944,103.8,-0.59,235386,103691,8.6,1.3009832867345514,C
372,서울특별시 영등포구_2016,12,12,13,12,22,21,25,27,316,155,85,4017,14449,7,10,309,230,2,145,15.6,5782.0,100.0,100.0,3282,1.011,99.9,-2.64,370613,161970,7.2,1.329380278962376,D
373,서울특별시 동작구_2016,12,15,13,12,20,24,26,28,363,103,71,3684,16887,2,5,250,167,1,131,7.3,2918.0,100.0,100.0,3184,0.912,95.9,0.11,400997,165785,9.4,1.5339219349989526,D
374,서울특별시 관악구_2016,13,13,12,11,20,22,26,25,369,87,71,4385,16883,2,8,299,203,0,149,4.8,2446.0,100.0,100.0,3561,0.777,102.2,-0.65,506851,241003,6.2,1.7261746801419595,D
375,서울특별시 서초구_2016,14,17,13,13,23,26,28,31,825,262,46,3044,22595,1,10,590,320,5,280,7.3,3274.0,100.0,100.0,3629,0.928,92.3,0.05,447192,157437,9.4,2.569250193969713,D
376,서울특별시 강남구_2016,12,15,12,14,22,25,26,32,1589,489,26,4318,24190,4,33,1508,598,8,377,13.3,7564.0,100.0,100.0,4122,0.802,91.9,-1.65,567115,212128,9.2,2.9327942593720406,D
377,서울특별시 송파구_2016,12,14,14,13,22,23,27,28,1034,75,52,6073,31048,2,14,474,308,2,237,9.6,6342.0,100.0,100.0,5500,0.958,95.0,-0.38,657831,234836,6.5,2.7224226307015145,D
378,서울특별시 강동구_2016,15,14,12,11,22,23,26,24,683,40,45,4476,20448,3,15,343,212,4,174,13.2,5855.0,100.0,100.0,3293,0.938,99.1,-3.21,444168,162679,7.8,1.695499125201958,D
379,울산광역시 중구_2016,15,15,13,12,22,22,28,30,412,36,54,3491,11987,1,11,105,66,0,49,10.5,2552.0,99.8,100.0,2107,1.356,104.1,-0.83,242536,90536,5.2,2.011705775479266,D
380,울산광역시 남구_2016,14,15,13,14,22,22,28,32,1003,98,37,4712,16858,3,20,263,169,3,130,17.1,5828.0,100.0,99.9,2840,1.261,104.3,-0.9,340714,130859,8.4,3.7318002455470536,D
381,울산광역시 동구_2016,16,15,12,12,23,22,25,28,267,11,59,2963,9839,1,1,87,49,0,39,12.4,2161.0,100.0,99.5,2013,1.583,111.9,-1.03,174514,65439,4.8,3.460750568819501,D
382,울산광역시 북구_2016,16,16,12,12,23,23,26,29,346,14,72,4744,13265,1,2,63,45,0,33,7.6,1484.0,98.8,99.2,2122,1.604,107.3,2.14,195285,66813,4.5,6.487422567120393,D
383,울산광역시 울주군_2016,13,14,12,15,19,21,26,34,369,10,61,3694,13680,1,7,66,42,0,40,15.3,3353.0,96.1,91.6,1828,1.442,106.1,-0.45,219255,82182,7.7,1.5792905004469284,D
384,인천광역시 강화군_2016,11,15,14,8,13,22,28,22,83,10,130,617,7421,0,2,20,14,0,17,14.0,950.0,45.0,70.7,276,1.114,101.0,0.54,68010,25775,5.6,0.2347639676769118,B
385,인천광역시 옹진군_2016,11,14,10,4,12,22,22,14,43,2,115,154,4186,0,1,1,1,0,2,2.7,58.0,35.5,29.1,121,1.395,132.2,1.79,21351,9160,13.0,0.3106774572618408,B
386,인천광역시 중구_2016,13,15,14,10,17,23,28,25,326,54,81,2099,16932,2,1,48,35,1,15,16.4,1888.0,86.4,99.5,915,1.19,108.0,0.55,115249,45249,9.3,1.2066273039486073,C
387,인천광역시 동구_2016,13,16,16,10,17,24,31,25,543,23,59,1073,19904,2,0,41,25,0,16,11.4,812.0,100.0,100.0,527,1.185,101.9,-2.2,71014,26921,7.0,0.4176483575681584,B
388,인천광역시 미추홀구_2016,14,16,14,11,19,24,29,27,620,70,78,4655,29082,2,9,200,118,3,88,0.0,0.0,100.0,100.0,2998,1.068,0.0,0.0,417103,165620,7.8,1.402964644469571,D
389,인천광역시 연수구_2016,14,15,15,13,21,22,28,29,582,94,83,5226,26605,2,4,155,89,1,69,5.3,1727.0,100.0,100.0,2542,1.135,99.3,3.22,328627,116091,6.1,4.559381750540624,D
390,인천광역시 남동구_2016,14,15,14,13,18,22,27,29,372,28,89,10143,16884,1,13,327,180,1,137,12.2,6488.0,99.6,99.9,4521,1.163,99.4,-0.16,530982,196605,5.4,2.616322852320419,D
391,인천광역시 부평구_2016,14,16,15,12,21,23,29,27,656,26,86,6730,31449,3,11,305,174,6,131,10.1,5545.0,100.0,100.0,4537,1.113,98.9,-0.94,549716,203908,7.4,2.112601278287044,D
392,인천광역시 계양구_2016,14,8,9,12,22,13,21,29,48,1,248,4106,2495,1,8,156,103,4,72,12.5,4117.0,99.5,100.0,2455,1.047,100.2,-1.22,330284,117247,7.1,3.376758176546553,D
393,인천광역시 서구_2016,16,7,5,14,21,10,11,32,4,0,2607,9822,632,5,8,223,127,2,86,10.4,5318.0,99.3,99.9,4717,1.28,102.2,1.17,510733,178831,6.4,4.175811616320489,D
394,전라남도 목포시_2016,13,16,14,12,17,24,28,28,446,34,49,4108,15494,5,12,135,63,9,46,31.8,7560.0,97.9,99.8,1823,1.268,99.3,-0.27,237739,94425,3.7,1.2053617323567871,C
395,전라남도 여수시_2016,9,14,12,13,15,21,27,31,512,28,50,3321,14929,3,7,152,75,1,56,15.6,4500.0,83.8,91.5,2286,1.464,102.9,-0.35,288988,108685,4.4,0.7004949543649623,C
396,전라남도 순천시_2016,11,15,14,12,16,23,29,30,408,44,71,3812,16805,5,17,124,84,8,43,22.0,6141.0,91.0,95.6,1961,1.247,99.5,-0.07,278548,101945,5.8,1.2483971345931275,C
397,전라남도 나주시_2016,11,11,7,7,15,17,18,18,75,4,82,1043,4257,1,4,57,25,1,20,37.0,3865.0,60.7,80.5,902,1.589,101.3,6.49,104376,41344,5.1,0.6165655815659654,C
398,전라남도 광양시_2016,11,13,13,13,14,21,27,31,230,9,71,1697,8947,1,3,57,37,1,25,7.0,1093.0,92.3,86.8,1447,1.586,105.9,1.33,155580,55111,6.0,2.107890347550896,D
399,전라남도 담양군_2016,9,7,7,12,14,13,19,27,11,1,234,356,1428,0,3,22,10,0,10,35.0,1654.0,71.1,78.0,314,1.514,100.9,0.57,47229,17458,4.3,0.20665049007503,B
400,전라남도 곡성군_2016,8,7,10,10,11,13,25,27,22,1,91,176,999,0,1,13,8,0,6,13.8,421.0,67.5,77.9,144,1.348,94.7,-0.81,30400,12840,6.6,0.0671526792124041,A
401,전라남도 구례군_2016,11,7,8,10,12,11,20,28,13,0,154,215,1051,0,1,10,5,0,7,23.9,654.0,88.9,58.5,145,1.476,94.8,0.38,27412,10815,5.3,0.2024525747044396,B
402,전라남도 고흥군_2016,6,7,7,12,11,13,18,27,45,1,93,336,2113,2,1,35,12,0,15,21.4,1445.0,49.9,68.6,270,1.323,92.8,-1.33,67656,29505,3.9,0.0116121821660507,A
403,전라남도 보성군_2016,7,6,6,11,8,10,18,25,31,1,79,242,1391,0,2,22,8,0,10,31.8,1416.0,57.4,56.0,244,1.492,93.6,-1.79,44469,18244,5.6,0.0,A
404,전라남도 화순군_2016,11,10,9,14,13,16,22,33,92,3,64,492,3105,1,3,27,15,0,10,64.9,4239.0,76.9,87.2,332,1.126,96.8,-0.75,65303,25237,6.0,0.2318876573914552,B
405,전라남도 장흥군_2016,10,7,8,10,12,13,20,25,24,1,132,326,1539,1,1,23,8,0,10,9.0,367.0,60.3,80.4,163,1.013,93.7,-6.38,40669,16451,4.8,0.0,A
406,전라남도 강진군_2016,9,6,6,10,10,12,18,26,30,0,94,195,1353,0,3,19,6,0,6,14.7,555.0,56.8,60.9,270,1.717,92.4,-2.57,37753,15217,5.7,0.0,A
407,전라남도 해남군_2016,11,8,9,10,13,14,23,26,54,6,96,609,2938,2,2,38,17,0,10,20.9,1569.0,50.0,68.6,786,2.423,94.7,-1.3,75121,29458,2.6,0.0,A
408,전라남도 영암군_2016,10,9,8,10,14,16,20,25,44,1,109,564,2646,0,2,24,13,0,14,18.9,1078.0,73.0,83.5,504,1.902,105.3,-2.69,57045,25184,5.7,0.0485823513243865,A
409,전라남도 무안군_2016,12,11,12,11,16,18,26,25,122,5,58,927,4421,1,2,43,17,1,17,11.0,904.0,60.3,98.3,612,1.413,100.5,0.03,82109,31757,6.0,0.4244731131582785,B
410,전라남도 함평군_2016,9,7,5,7,11,12,16,19,16,2,106,168,1047,0,1,16,6,0,7,22.5,773.0,54.2,85.1,205,1.701,98.3,-1.24,34397,13573,3.5,0.0059512719345147,A
411,전라남도 영광군_2016,10,10,8,13,12,15,20,29,59,3,65,424,2329,2,0,34,15,0,14,21.3,1183.0,53.3,91.6,403,1.656,99.4,-1.12,55618,21457,5.4,0.0886946805997648,A
412,전라남도 장성군_2016,13,9,7,11,16,15,21,29,35,2,93,653,1928,0,2,18,9,0,9,20.3,934.0,56.5,87.9,385,1.887,102.0,-0.5,46104,16884,3.3,0.1173882204129106,A
413,전라남도 완도군_2016,12,7,6,8,15,13,18,25,32,4,129,618,2109,0,1,24,10,0,9,2.8,149.0,49.3,96.7,386,1.828,99.6,-0.08,52668,21502,6.7,0.0636009258691601,A
414,전라남도 진도군_2016,11,7,4,2,14,12,14,9,23,0,62,280,1201,0,2,16,6,0,7,6.6,213.0,59.9,99.3,181,1.546,95.9,0.14,32078,13587,8.9,0.0421179948886256,A
415,전라남도 신안군_2016,10,4,3,6,10,7,11,17,6,0,292,239,951,0,2,12,5,0,5,5.0,215.0,33.2,90.1,217,1.573,112.2,-1.47,42652,16744,5.2,0.0,A
416,전북특별자치도 전주시_2016,12,16,15,16,18,24,32,34,3375,305,25,11056,38399,5,39,448,251,16,197,25.8,16817.0,98.0,99.7,4797,1.149,97.1,0.02,651744,252026,5.7,1.6767745721708855,D
417,전북특별자치도 군산시_2016,12,13,14,14,18,21,30,32,3375,305,8,4131,15626,2,8,149,71,2,73,14.8,4094.0,92.0,98.5,2104,1.324,103.0,-0.31,277551,110210,6.4,0.8301984221549248,C
418,전북특별자치도 익산시_2016,12,13,13,13,16,21,29,29,3375,305,9,4678,16180,2,7,166,91,5,80,16.6,4990.0,87.0,99.2,2010,1.213,99.3,-0.44,300479,119318,6.1,0.7492472178510041,C
419,전북특별자치도 정읍시_2016,10,9,10,10,14,15,23,24,3375,305,3,1257,5380,1,4,73,32,1,31,20.2,2323.0,77.0,98.2,646,1.318,98.0,-0.69,115173,45939,6.8,0.2091457919362183,B
420,전북특별자치도 남원시_2016,9,9,10,10,13,16,24,25,3375,305,2,647,4268,1,1,56,20,0,20,21.2,1786.0,80.0,88.1,520,1.467,96.5,-0.77,84188,33572,3.5,0.1933373537587039,B
421,전북특별자치도 김제시_2016,9,8,9,9,13,12,23,20,3375,305,2,943,3612,0,1,50,19,2,17,35.2,3091.0,59.0,94.7,454,1.257,98.4,-0.96,87782,35316,4.5,0.0967637449048479,A
422,전북특별자치도 완주군_2016,11,10,9,10,16,16,22,22,3375,305,2,1426,5072,0,1,0,0,0,0,24.4,2327.0,66.0,76.5,809,1.509,105.2,0.23,95480,38464,5.7,0.4213233988467491,B
423,전북특별자치도 진안군_2016,7,5,3,6,12,10,11,18,3375,305,0,259,915,0,2,12,4,0,4,12.0,313.0,70.0,75.9,173,1.75,100.0,-0.43,26069,10098,5.5,0.104170599023273,A
424,전북특별자치도 무주군_2016,9,8,6,7,12,13,16,17,3375,305,0,253,1075,0,0,13,5,0,7,5.5,138.0,74.0,79.1,124,1.324,98.4,-1.03,24949,10069,5.4,0.0644774071433298,A
425,전북특별자치도 장수군_2016,10,8,5,6,14,12,14,18,3375,305,0,241,993,0,0,9,4,0,4,1.4,34.0,76.0,84.9,126,1.38,97.8,1.41,23628,9172,4.7,0.3290132460547588,B
426,전북특별자치도 임실군_2016,9,5,4,8,12,9,13,26,3375,305,0,233,1033,0,1,14,5,0,10,10.4,313.0,63.0,84.4,162,1.432,103.9,-0.19,30197,11799,5.8,0.1146006331841113,A
427,전북특별자치도 순창군_2016,7,5,6,8,12,10,17,23,3375,305,0,265,1172,0,1,17,5,0,6,24.9,745.0,49.0,72.7,252,2.017,92.9,-0.97,29949,11566,6.1,0.0619956394072507,A
428,전북특별자치도 고창군_2016,9,7,8,10,13,12,20,22,3375,305,1,436,2095,1,1,32,13,0,11,15.8,956.0,65.0,99.5,253,1.116,97.6,1.0,60597,23832,3.9,0.2375610231061325,B
429,전북특별자치도 부안군_2016,8,6,7,10,13,11,18,24,3375,305,1,564,2075,1,5,27,13,0,18,21.7,1238.0,67.0,99.9,268,1.204,98.4,0.33,57005,22656,5.8,0.2040228226703588,B
430,제주특별자치도 제주시_2016,12,15,14,14,24,23,28,32,785,44,61,4813,29504,6,5,294,151,0,131,9.4,4435.0,91.0,100.0,4228,1.435,100.5,2.67,470665,172493,9.078163947000233,1.6361066837356766,D
431,제주특별자치도 서귀포시_2016,9,11,11,12,18,18,25,26,162,3,94,1130,8768,1,3,91,45,0,42,3.6,620.0,92.6,100.0,1266,1.422,102.6,4.27,170932,61956,3.821836052999766,0.8179125284172639,C
432,충청남도 천안시_2016,13,15,14,15,21,24,29,34,1034,79,66,10880,38136,4,15,311,168,3,157,12.8,7901.0,96.06,95.5,6021,1.298,103.4,2.08,617955,246089,5.6,3.530598247040254,D
433,충청남도 공주시_2016,10,10,10,12,17,16,24,28,120,11,75,1381,4742,1,1,65,24,0,31,24.2,2664.0,69.43,95.8,547,1.049,100.9,-1.07,109931,44551,4.6,0.2403627332762803,B
434,충청남도 보령시_2016,12,9,10,12,18,16,24,27,124,6,71,1208,4856,1,3,55,22,0,30,12.6,1312.0,66.66,96.4,627,1.328,102.3,-0.73,103873,41453,6.5,0.2346492055924446,B
435,충청남도 아산시_2016,13,15,14,15,19,23,28,31,374,20,89,5310,20189,1,6,129,75,0,60,11.3,3429.0,83.55,99.1,3441,1.569,105.7,2.07,302929,119334,13.4,1.8732499044938025,D
436,충청남도 서산시_2016,12,14,12,13,17,21,27,30,189,16,89,2178,10015,2,0,72,40,0,33,6.8,1168.0,71.64,94.7,1564,1.668,105.7,0.6,170788,66334,7.0,0.7185166388913393,C
437,충청남도 논산시_2016,9,10,9,11,14,17,21,26,109,15,75,739,5912,1,2,81,31,0,37,27.0,3325.0,65.7,93.1,713,1.246,100.4,-0.56,123213,49868,8.2,0.2270556027441814,B
438,충청남도 계룡시_2016,13,16,14,12,18,24,30,29,52,6,111,759,3208,0,2,17,12,0,13,6.7,287.0,95.99,98.5,371,1.661,98.4,2.19,42634,14130,11.8,3.555212686312748,D
439,충청남도 당진시_2016,12,13,11,14,18,21,26,33,189,13,69,1714,9576,1,4,78,46,0,33,7.2,1202.0,62.44,93.3,1717,1.767,110.3,0.95,166630,66234,8.7,0.6956165383386297,C
440,충청남도 금산군_2016,10,9,8,12,14,14,22,27,34,2,128,401,2269,0,1,33,14,0,15,13.7,749.0,76.01,95.3,289,1.295,101.9,-0.14,54612,24420,7.1,0.1563436744424345,A
441,충청남도 부여군_2016,10,7,9,12,12,12,22,26,52,5,100,571,2586,0,2,31,15,0,17,17.4,1221.0,51.96,73.8,292,1.15,98.5,-1.24,70187,28321,5.7,0.0449725325134077,A
442,충청남도 서천군_2016,8,7,8,9,10,12,23,22,54,5,62,288,1934,0,1,33,11,1,17,24.0,1345.0,53.09,95.2,226,1.147,96.7,-1.57,56012,23191,4.0,0.0233296762046638,A
443,충청남도 청양군_2016,9,6,6,10,15,11,16,23,20,2,117,316,1007,0,1,10,6,0,6,8.3,273.0,50.5,92.4,135,1.196,100.2,0.87,32753,13257,7.1,0.2651024691146498,B
444,충청남도 홍성군_2016,11,11,10,11,17,19,23,26,106,11,87,1290,5084,1,0,42,23,1,21,16.7,1673.0,69.66,97.6,691,1.436,99.1,5.82,99971,40857,9.6,0.74345715584611,C
445,충청남도 예산군_2016,11,8,10,11,14,14,23,24,74,11,71,783,3190,1,1,44,21,0,22,7.4,604.0,54.85,93.8,316,0.96,100.8,-2.21,81339,32545,14.5,0.0,A
446,충청남도 태안군_2016,9,9,9,10,14,14,21,24,46,3,106,470,2605,0,1,28,14,0,12,9.5,609.0,51.28,82.3,352,1.372,102.0,0.69,63900,25712,4.4,0.2526875957444668,B
447,충청북도 청주시_2016,12,14,13,14,18,22,28,33,1355,112,63,10890,49338,6,21,463,230,3,223,11.3,9449.0,92.2,96.9,7797,1.352,100.8,0.47,835197,319293,7.4,2.1760351197861327,D
448,충청북도 충주시_2016,12,12,12,11,18,18,26,26,275,27,59,2246,10257,2,2,118,44,1,43,13.6,2842.0,87.9,91.7,1428,1.314,101.4,0.52,208350,86707,7.8,0.6992673542896669,C
449,충청북도 제천시_2016,11,11,10,14,16,18,24,28,174,19,68,1776,6388,2,2,78,31,2,34,18.5,2526.0,95.0,91.1,891,1.334,100.5,0.35,136517,55840,4.8,0.6000492394892003,C
450,충청북도 보은군_2016,10,6,8,9,12,10,20,28,24,1,88,298,1191,0,2,16,5,0,7,21.4,734.0,71.2,50.9,185,1.55,99.8,-0.14,34221,13936,6.4,0.1519729520774086,A
451,충청북도 옥천군_2016,11,9,9,13,15,14,21,29,35,6,121,622,2180,1,0,28,11,0,14,21.4,1119.0,87.3,85.1,274,1.277,100.9,-0.28,52267,20126,4.4,0.2122942767016846,B
452,충청북도 영동군_2016,9,7,7,10,16,13,18,26,39,1,83,466,1799,0,1,26,10,0,15,12.9,654.0,67.7,79.0,228,1.192,99.8,-0.28,50552,21079,8.7,0.1884806241759857,B
453,충청북도 증평군_2016,10,15,12,10,18,21,23,26,51,3,69,295,2029,0,3,19,9,0,8,8.8,327.0,94.5,99.9,402,1.802,105.0,1.98,37308,14843,5.9,1.0970988236335135,C
454,충청북도 진천군_2016,12,12,10,13,17,18,22,30,73,5,93,802,3969,1,0,25,17,0,13,10.8,758.0,76.6,84.4,533,1.412,108.4,3.36,69950,28651,7.5,0.896069876492903,C
455,충청북도 괴산군_2016,9,6,6,11,12,9,17,30,15,0,147,255,1092,0,2,10,5,0,5,9.4,365.0,47.8,59.5,120,0.931,103.0,0.69,38973,16450,4.4,0.2026560122945831,B
456,충청북도 음성군_2016,11,10,10,12,16,17,21,29,83,9,98,1137,4635,0,4,43,24,0,19,22.8,2234.0,53.1,84.4,772,1.561,110.7,2.02,97787,41266,4.6,0.6682125233440808,C
457,충청북도 단양군_2016,5,6,6,12,7,10,17,29,13,0,243,145,1174,0,1,7,6,0,4,8.0,244.0,74.2,74.4,112,0.985,101.5,-0.81,30503,12387,4.4,0.1384634970199086,A
458,세종특별자치시_2017,10,12,9,8,15,19,20,22,344,13,11,493,2200,0,1,145,72,0,66,4.8,1342.0,93.1,92.5,3504,1.668,99.5,15.17,280100,105932,5.2,3.5687383009917326,D
459,경기도 수원시_2017,14,17,14,12,20,26,29,29,1879,178,66,20801,68095,4,34,696,423,3,335,9.7,11683.0,99.4,100.0,9497,1.044,101.5,0.75,1202628,465209,6.2,3.4583642944948108,D
460,경기도 성남시_2017,12,16,13,11,19,25,29,28,1801,116,47,11118,47213,6,17,729,445,3,341,10.1,9788.0,99.7,99.9,7368,1.005,98.1,-0.78,967510,369366,9.6,1.9222879548022236,D
461,경기도 안양시_2017,13,17,14,12,19,25,28,29,1032,62,50,7048,29890,3,14,366,243,2,183,8.0,4731.0,100.0,100.0,4125,0.985,98.6,-1.65,587764,209878,8.2,2.1351625580169227,D
462,경기도 부천시_2017,14,16,13,11,18,24,28,25,1157,100,69,11651,40820,5,24,503,284,8,217,14.5,12351.0,99.9,100.0,6059,0.977,99.5,-0.01,850329,318135,5.8,2.2268576580284885,D
463,경기도 광명시_2017,14,16,13,11,20,26,28,28,526,31,70,4274,19436,1,4,196,110,0,82,6.3,2085.0,98.8,100.0,2374,0.978,98.2,-1.96,332790,120086,8.6,1.8358958564939656,D
464,경기도 평택시_2017,13,16,13,13,15,24,27,29,652,46,65,7866,28674,4,12,235,131,0,102,8.3,3990.0,83.0,99.4,3870,1.254,105.0,2.47,481530,187516,5.4,1.9295162844036928,D
465,경기도 안산시_2017,13,17,14,12,18,24,28,28,940,85,78,9045,36926,4,21,345,190,12,135,14.7,9940.0,99.1,99.9,4381,0.983,105.3,-1.73,677710,282608,41.8,3.3992778613835117,D
466,경기도 과천시_2017,11,16,14,10,14,25,29,24,72,3,91,498,2973,0,0,35,17,0,14,0.0,1.0,98.5,98.4,317,0.855,95.4,-9.8,57527,18637,13.6,0.927060638656106,C
467,경기도 오산시_2017,15,17,15,13,19,26,31,31,241,13,109,6500,15696,3,3,98,69,0,36,11.5,2453.0,98.9,100.0,1959,1.21,105.6,2.38,213437,84314,6.5,4.476207830088827,D
468,경기도 시흥시_2017,14,16,14,13,17,24,29,31,602,33,81,5461,25140,3,1,195,111,9,68,9.3,3903.0,94.2,99.9,2812,1.083,110.1,4.03,419664,169630,10.6,4.201624985521179,D
469,경기도 군포시_2017,14,16,14,13,20,25,28,31,412,33,72,3979,15850,2,3,131,93,0,64,8.9,2512.0,99.7,100.0,2266,1.105,98.7,-1.26,281205,102190,7.6,2.213449560481969,D
470,경기도 의왕시_2017,13,15,14,12,18,24,27,26,178,4,71,1821,7487,0,1,65,45,0,30,12.8,1996.0,99.0,99.9,941,0.912,99.6,-0.66,155767,54406,9.2,1.79157399077864,D
