행정구역(시군구)별,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시,-0.0828284530465563,-0.08850718763966305,-0.06472321157382369,-0.073774664281422,-0.034171618177255746,-0.04027113936691536,-0.07224127440137137,-0.028988321588679315,-0.025561924029285074
서울특별시 종로구,-0.09618059855252235,-0.11141737726666248,0.0820015604958649,-0.06717122796480669,-0.07247415007586021,-0.06638283322746456,-0.09545756253297344,-0.07226107004914602,-0.07716206636547146
서울특별시 중구,-0.13369324823721934,-0.05018804677854589,0.01591238550947312,-0.004898674669798025,0.012254364132960709,-0.0449852370609162,-0.05893087099583848,-0.04251729464811296,0.06721442054047604
서울특별시 용산구,-0.10969225974325443,-0.12363985297477888,-0.040910742928815455,-0.012297200479084378,-0.016221460086069922,0.032727762289126335,-0.09429735012190227,-0.04037094905366954,-0.16890043783022873
서울특별시 성동구,-0.020289596796858763,0.013592134424401032,0.09099350245977098,0.046755551726323674,-0.18639620590017872,-0.1620448730052886,-0.14562499997401224,-0.11119325825597211,-0.10068144362517553
서울특별시 광진구,-0.08228369198151825,-0.0878569666582201,-0.011308783098030262,-0.05321686662116726,-0.0896838707270213,-0.0819637319308216,-0.09664675544310933,-0.02597381354282828,-0.03385705878341351
서울특별시 동대문구,-0.08433917854222954,-0.11476944079407757,-0.09614681816072648,-0.04811423607667364,-0.03798405732978359,-0.057108834731158374,-0.04153178239373269,0.02653291171575879,0.11225672980275957
서울특별시 중랑구,-0.09786942517074242,-0.06792679913536072,-0.06125767283572663,-0.09583366623583364,-0.12325550216930267,-0.03264302376545575,-0.0919220305955266,-0.003534899732824744,-0.05514262550850296
서울특별시 성북구,-0.13176909282661833,-0.15979188114586387,-0.10721732054786731,-0.1360720405125125,0.103526206703148,-0.08051059080413506,-0.05501683735291128,0.039410254274794956,-0.08402201000348285
서울특별시 강북구,-0.09530826556419687,-0.08873085368868996,-0.05925446358787643,-0.11215208519605281,-0.11357459794918469,-0.11410058808558504,-0.14783545962762093,-0.0952141536851467,-0.131782159099714
