,행정구역,2015,2016,2017,2018,2019,2020,2021
0,강원특별자치도,0.6873610268168905,0.6353563734638539,0.5567291243019709,0.4667738044973238,0.4302759609462397,0.3865581431440994,0.34864502770844336
1,강원특별자치도 강릉시,0.6239108106623947,0.596853875139251,0.549556518212774,0.454851533321406,0.4514267613723639,0.37006813078546164,0.343882564347157
2,강원특별자치도 고성군,0.18750009958398137,0.22877412937536576,0.19159041466370313,-0.2590297505146759,-0.10670296371065528,0.009909191142966067,0.28202227518823986
3,강원특별자치도 동해시,0.7083592595657736,0.6524257318216993,0.5756906336002369,0.3954819027996569,0.3843589971055685,0.39474187653615633,0.3143521951171364
4,강원특별자치도 삼척시,0.2305345326378197,0.22441035907951734,0.20908004405126102,0.28013421756191875,0.12070277778661069,-0.031005434162890644,0.009497784450456181
5,강원특별자치도 속초시,0.8427035815022093,0.7975680808159028,0.7599530170655776,0.5754627337276069,0.5282239914244283,0.5032137517809009,0.41504072236938905
6,강원특별자치도 양구군,0.5852383693967742,0.4528629270089078,0.3830169557907174,0.2727544418119511,0.13081607567839576,0.13379871606821134,0.0818977107734887
7,강원특별자치도 양양군,0.20302286048898063,0.13201305499857605,0.19382348798915106,0.2043442358085616,0.2737217305557659,0.22063476622542266,0.14993891780381838
8,강원특별자치도 영월군,0.25401735960320404,0.1930522427649032,0.2308881828233545,0.11977498431123029,0.038522411380112115,0.047581803864805816,0.06772935191634226
9,강원특별자치도 원주시,1.7153964530143109,1.6260416055660072,1.4018979007725716,1.2585156624554295,1.162897264176066,1.0302317545443331,0.8997213984987583
10,강원특별자치도 인제군,0.6393717566701675,0.33090581002857256,0.3718644623061331,0.26206989326451285,0.21559844881728749,0.2866984341965643,0.3645568614440915
11,강원특별자치도 정선군,0.22196118377050753,0.1373675096895921,0.10047099650589202,0.09719147688884627,0.0775473463613392,0.06485804940473172,-0.013404993884208238
12,강원특별자치도 철원군,0.5890043719829263,0.24985066989325858,0.21341631962950608,0.1824928326191636,0.1301877386732292,0.0661416481960446,-0.010845905303005443
13,강원특별자치도 춘천시,1.0994316806439794,1.0868765076610252,0.8982217745316192,0.8125420233142686,0.7297405486199458,0.6527336040753672,0.6213073145753755
14,강원특별자치도 태백시,0.3385845158269358,0.3429137868638426,0.14920166608952096,0.12051704346472328,0.07123897296201456,-0.011876675511500984,-0.08511304855821969
15,강원특별자치도 평창군,0.260274625062739,0.2435617914582036,0.19775614555055965,0.11264694911735679,0.060150877268836916,0.07407064029550509,0.04880443904446983
16,강원특별자치도 홍천군,0.3203397827172921,0.2934358759420431,0.32028335151870213,0.19958543623897756,0.11168049201187494,0.2213646402355818,0.10435513845808912
17,강원특별자치도 화천군,0.3570751970672426,0.20025406508343951,0.29165062481040893,0.06070845545472214,0.2125589724848964,0.21202552418609463,0.056882414747261856
18,강원특별자치도 횡성군,0.3224230587219117,0.277018174361137,0.2812128822322432,0.30246419477346964,0.15442887938148125,0.14826002562595436,0.18934508961043467
19,경기도,2.558837783455033,2.4020680504148637,2.095616820018792,1.898617984305966,1.6566344500901933,1.4466698951083599,1.278024606553834
20,경기도 가평군,0.4258470612535009,0.37922540219745665,0.36706984551898214,0.2664768222433194,0.16236960879781975,0.20891245022888894,0.21858986508998762
21,경기도 고양시,2.680214332545797,2.4494756744039314,2.085585427159646,1.81601032493746,1.7318781743006526,1.424406890099839,1.163239238471268
22,경기도 과천시,1.9306425794600286,1.3896326257478533,0.9270606386561061,1.427784590503395,1.246853724441995,1.5153524713667832,1.7567259060676759
23,경기도 광명시,2.5259889223323797,2.2098830637726374,1.8358958564939658,1.5780592262485413,1.1962484185231892,0.8935348801814866,0.9452252964711025
24,경기도 광주시,2.6154622288839704,2.4977109437361125,2.3034152687763134,2.0921533805245622,1.6923513670266968,1.4461109397377965,1.1683420914516256
25,경기도 구리시,2.673484826869082,2.701054938586899,2.4038215047212383,2.0281923049564514,1.3824205128276175,1.2168466527783681,0.8953495865971033
26,경기도 군포시,3.0974965451465275,2.694367104529654,2.213449560481969,1.8537229313606156,1.6261634727673622,1.283145375506103,0.9690601218265749
27,경기도 김포시,2.3847195089215667,2.2987883320718407,2.408640912562311,2.3758731479891337,1.977163981051243,2.0585062870052853,1.65619335876259
28,경기도 남양주시,2.362166415926008,2.0875892479536597,1.7165643361618697,1.703218888643918,1.5903693495883287,1.293183416915759,1.2562654717244421
29,경기도 동두천시,0.8412484708503774,0.766416663909435,0.5629816819050978,0.5051736288974338,0.3723764739038798,0.3854185060557059,0.3878662117502251
30,경기도 부천시,2.9333219329782816,2.6933501232449357,2.2268576580284885,1.8385618567316335,1.4006614608878083,1.1341745700310075,0.9148634208306998
31,경기도 성남시,2.417350443071441,2.28763718901751,1.9222879548022234,1.6158759845509985,1.3733091822493488,1.242592546277259,1.0698560871835963
32,경기도 수원시,4.421850330675927,4.04339574942411,3.4583642944948108,2.9765184157999776,2.520678611070315,2.097311807157298,1.876531568476692
33,경기도 시흥시,4.974503124317034,4.5256979113949285,4.201624985521179,4.064455685751908,3.5955748819218956,3.0859390044448984,2.5156500755871902
