시도별,하수도보급률,상수도보급률
경기도 수원시,99.8,100
경기도 성남시,99.6,100
경기도 안양시,100,100
경기도 부천시,99.9,100
경기도 광명시,98.7,99.9
경기도 평택시,90.3,100
경기도 안산시,99.4,99.8
경기도 과천시,98.7,99.1
경기도 오산시,99,100
경기도 시흥시,96.2,99.9
경기도 군포시,99.8,100
경기도 의왕시,100,100
경기도 하남시,99.5,99.6
경기도 용인시,92.9,99.5
경기도 이천시,92.4,95.2
경기도 안성시,77.7,93.1
경기도 김포시,91.4,96.5
경기도 화성시,87.7,100
경기도 광주시,96.8,93
경기도 여주시,83.7,91.5
경기도 양평군,79.2,81.3
경기도 의정부시,99,99.4
경기도 동두천시,98.9,97.7
경기도 고양시,93,99.8
경기도 구리시,99.6,100
경기도 남양주시,96,97.7
경기도 파주시,94.2,99.1
경기도 양주시,96.4,98.2
경기도 포천시,85.6,90.9
경기도 연천군,72.5,97.9
경기도 가평군,82.8,54.1
강원특별자치도 춘천시,95.5,98.2
강원특별자치도 원주시,91.3,95.6
강원특별자치도 강릉시,92.3,95.5
강원특별자치도 동해시,98.4,99.6
강원특별자치도 태백시,82,97.8
강원특별자치도 속초시,99.5,99.7
강원특별자치도 삼척시,89.3,91.1
강원특별자치도 홍천군,78.6,79.7
강원특별자치도 횡성군,70.2,88.6
강원특별자치도 영월군,78.8,78.7
강원특별자치도 평창군,82,82.4
강원특별자치도 정선군,90.1,81.1
강원특별자치도 철원군,83,93.4
강원특별자치도 화천군,72.1,68.2
강원특별자치도 양구군,89.2,80.7
강원특별자치도 인제군,83.9,85.5
강원특별자치도 고성군,88.8,89.9
강원특별자치도 양양군,83.7,92.8
경상남도 창원시,96.6,98.8
경상남도 진주시,93.8,100
경상남도 통영시,87.2,98.6
경상남도 사천시,96,97.4
경상남도 김해시,99.6,98.6
경상남도 밀양시,84.6,87.4
경상남도 거제시,86.2,98.1
경상남도 양산시,98.6,98.4
경상남도 의령군,67.2,77.5
경상남도 함안군,67.9,98.2
경상남도 창녕군,78.6,99.8
경상남도 고성군,70.5,81.5
경상남도 남해군,81.2,77.9
경상남도 하동군,78.3,60.8
경상남도 산청군,68.8,50
경상남도 함양군,78.7,67.3
경상남도 거창군,84.2,80.4
경상남도 합천군,69,58.7
경상북도 포항시,85.1,96
경상북도 경주시,94.4,94
경상북도 김천시,84.9,89.3
경상북도 안동시,80.1,93.2
경상북도 구미시,98.5,99.8
경상북도 영주시,87.1,90.3
경상북도 영천시,75.7,97.1
경상북도 상주시,73.5,79.2
경상북도 문경시,82.4,90.8
경상북도 경산시,92.9,99.3
경상북도 군위군,45.6,92
