시도별,하수도보급률,상수도보급률
경기도 수원시,99.8,100
경기도 성남시,99.6,100
경기도 안양시,100,100
경기도 부천시,99.9,100
경기도 광명시,99.2,99.9
경기도 평택시,86.6,100
경기도 안산시,99.3,99.8
경기도 과천시,98.6,98.6
경기도 오산시,99,100
경기도 시흥시,96.2,99.9
경기도 군포시,99.8,100
경기도 의왕시,99.9,100
경기도 하남시,99.4,98.7
경기도 용인시,93,99.4
경기도 이천시,92.2,99.4
경기도 안성시,77.8,93
경기도 김포시,91.2,96.2
경기도 화성시,86.1,100
경기도 광주시,96.1,92.5
경기도 여주시,82,90.7
경기도 양평군,79.2,80.8
경기도 의정부시,98.9,99.3
경기도 동두천시,98.9,97.7
경기도 고양시,92.8,99.7
경기도 구리시,99.6,100
경기도 남양주시,95.9,97.2
경기도 파주시,93.9,99.1
경기도 양주시,95,98.1
경기도 포천시,85.4,90.9
경기도 연천군,92.6,98
경기도 가평군,82.5,82.2
강원특별자치도 춘천시,95.4,98.1
강원특별자치도 원주시,91.1,95.6
강원특별자치도 강릉시,92.3,95.1
강원특별자치도 동해시,98.4,99.6
강원특별자치도 태백시,81.1,97.9
강원특별자치도 속초시,99.5,99.7
강원특별자치도 삼척시,89.4,91.1
강원특별자치도 홍천군,78.8,77.1
강원특별자치도 횡성군,69.8,84.1
강원특별자치도 영월군,78.6,78.8
강원특별자치도 평창군,79.5,81.9
강원특별자치도 정선군,88.8,83.2
강원특별자치도 철원군,82.9,92.7
강원특별자치도 화천군,70.7,68.6
강원특별자치도 양구군,86.4,81.1
강원특별자치도 인제군,76.1,85.7
강원특별자치도 고성군,88.4,90.8
강원특별자치도 양양군,82.6,92.8
경상남도 창원시,96.5,98.7
경상남도 진주시,93.8,100
경상남도 통영시,90.7,99
경상남도 사천시,93.2,96.9
경상남도 김해시,97.7,98.5
경상남도 밀양시,72.6,86.4
경상남도 거제시,67.1,97.5
경상남도 양산시,98.4,98.4
경상남도 의령군,64.7,75.8
경상남도 함안군,63.1,97.4
경상남도 창녕군,77.1,99.8
경상남도 고성군,66.6,80.5
경상남도 남해군,81,76.1
경상남도 하동군,76.1,60.2
경상남도 산청군,66.9,47.6
경상남도 함양군,78.2,64.1
경상남도 거창군,84.1,79
경상남도 합천군,68.2,56.3
경상북도 포항시,85.2,95.9
경상북도 경주시,94.3,93.9
경상북도 김천시,84.7,88.5
경상북도 안동시,80.3,93.1
경상북도 구미시,98.4,99.9
경상북도 영주시,87.5,89.6
경상북도 영천시,72.5,95.8
경상북도 상주시,72.7,75.5
경상북도 문경시,82.6,94.3
경상북도 경산시,92.4,99.3
