시도별,하수도보급률,상수도보급률
경기도 수원시,99.8,100
경기도 성남시,99.6,100
경기도 안양시,100,100
경기도 부천시,99.9,100
경기도 광명시,99.6,99.9
경기도 평택시,82.5,99.9
경기도 안산시,99.1,99.8
경기도 과천시,98.5,98.5
경기도 오산시,99,100
경기도 시흥시,97.6,99.9
경기도 군포시,99.8,100
경기도 의왕시,99.5,99.9
경기도 하남시,96,98.5
경기도 용인시,92.9,99.2
경기도 이천시,92.1,98.8
경기도 안성시,77.7,92.9
경기도 김포시,90.1,95.1
경기도 화성시,85.1,100
경기도 광주시,96.1,91.7
경기도 여주시,84.1,89.5
경기도 양평군,79.3,79.4
경기도 의정부시,98.9,99.3
경기도 동두천시,98.9,98.5
경기도 고양시,92.7,99.7
경기도 구리시,99.6,99.9
경기도 남양주시,96.6,97.2
경기도 파주시,93.9,99.1
경기도 양주시,93.1,98.1
경기도 포천시,84.9,89.8
경기도 연천군,88.9,98
경기도 가평군,81.2,81.7
강원특별자치도 춘천시,95.3,97.3
강원특별자치도 원주시,91.1,95.5
강원특별자치도 강릉시,91.8,95.8
강원특별자치도 동해시,98.4,99.6
강원특별자치도 태백시,81.1,98
강원특별자치도 속초시,99.5,99.6
강원특별자치도 삼척시,89.4,91.2
강원특별자치도 홍천군,78.7,75.1
강원특별자치도 횡성군,67.7,81.8
강원특별자치도 영월군,76.1,77.3
강원특별자치도 평창군,77.9,81.9
강원특별자치도 정선군,88.8,81.4
강원특별자치도 철원군,84.6,89
강원특별자치도 화천군,70.6,68.3
강원특별자치도 양구군,85.8,81.3
강원특별자치도 인제군,75.7,85.4
강원특별자치도 고성군,88.2,86.1
강원특별자치도 양양군,79.8,92.1
경상남도 창원시,96.6,98.6
경상남도 진주시,92.2,100
경상남도 통영시,86.3,99
경상남도 사천시,96.9,96.6
경상남도 김해시,99.5,98.3
경상남도 밀양시,84.3,85.4
경상남도 거제시,85.1,97.4
경상남도 양산시,98.4,98.4
경상남도 의령군,64.9,73
경상남도 함안군,59.7,96.2
경상남도 창녕군,76.8,99.8
경상남도 고성군,65.9,80.3
경상남도 남해군,80,73.7
경상남도 하동군,75.5,58
경상남도 산청군,64.9,47.1
경상남도 함양군,77.9,62.3
경상남도 거창군,83.2,77.1
경상남도 합천군,67.1,53.5
경상북도 포항시,83.6,95.9
경상북도 경주시,94.5,93.8
경상북도 김천시,81.9,87.9
경상북도 안동시,80.1,92.9
경상북도 구미시,98,99.9
경상북도 영주시,87,89.3
경상북도 영천시,71.7,95.6
경상북도 상주시,72.6,74.4
경상북도 문경시,82.6,94.3
경상북도 경산시,93.2,99.3
