시도별,하수도보급률,상수도보급률
경기도 수원시,99.4,100
경기도 성남시,99.7,99.9
경기도 안양시,100,100
경기도 부천시,99.9,100
경기도 광명시,98.8,100
경기도 평택시,83,99.4
경기도 안산시,99.1,99.9
경기도 과천시,98.5,98.4
경기도 오산시,98.9,100
경기도 시흥시,94.2,99.9
경기도 군포시,99.7,100
경기도 의왕시,99,99.9
경기도 하남시,95.3,98.3
경기도 용인시,93,98.9
경기도 이천시,91.1,96.4
경기도 안성시,77.9,92
경기도 김포시,87.3,94.5
경기도 화성시,83.5,98.6
경기도 광주시,94.3,94.8
경기도 여주시,81.2,86.8
경기도 양평군,79.1,73.6
경기도 의정부시,98.8,99.5
경기도 동두천시,98.9,98.5
경기도 고양시,92.9,99.7
경기도 구리시,99.6,99.9
경기도 남양주시,95.9,96.9
경기도 파주시,93.7,98.7
경기도 양주시,92.3,97.7
경기도 포천시,84.5,79.6
경기도 연천군,87,94
경기도 가평군,79,80.2
강원특별자치도 춘천시,95,96.5
강원특별자치도 원주시,87.3,93.2
강원특별자치도 강릉시,91.7,94.7
강원특별자치도 동해시,97.8,99.2
강원특별자치도 태백시,81.2,98
강원특별자치도 속초시,99.5,99.7
강원특별자치도 삼척시,88.3,92
강원특별자치도 홍천군,78.8,72.5
강원특별자치도 횡성군,55,76.4
강원특별자치도 영월군,72.7,78.2
강원특별자치도 평창군,74.2,80.4
강원특별자치도 정선군,85.9,80.2
강원특별자치도 철원군,80.4,90.1
강원특별자치도 화천군,68.4,65.3
강원특별자치도 양구군,84.8,83.1
강원특별자치도 인제군,73.7,81.8
강원특별자치도 고성군,86.9,84.2
강원특별자치도 양양군,68.5,89.8
경상남도 창원시,100,98.2
경상남도 진주시,100,99.9
경상남도 통영시,100,98.7
경상남도 사천시,100,95.6
경상남도 김해시,97.5,97.9
경상남도 밀양시,91.7,81.8
경상남도 거제시,81.3,96.9
경상남도 양산시,100,98.2
경상남도 의령군,98.2,69.7
경상남도 함안군,100,95.7
경상남도 창녕군,100,99.4
경상남도 고성군,98.7,79.6
경상남도 남해군,100,67.4
경상남도 하동군,100,54.4
경상남도 산청군,100,46.8
경상남도 함양군,100,64
경상남도 거창군,100,77.4
경상남도 합천군,100,49.9
경상북도 포항시,82.5,95.3
경상북도 경주시,90.8,91.8
경상북도 김천시,79,87.7
경상북도 안동시,78.4,91.5
경상북도 구미시,98.1,99.7
경상북도 영주시,86.7,88.1
경상북도 영천시,72.2,95
경상북도 상주시,69.2,72.5
경상북도 문경시,81.8,93.3
경상북도 경산시,91.3,99.2
경상북도 군위군,37.9,73.5
경상북도 의성군,44.2,86.1
경상북도 청송군,42.8,69.9
경상북도 영양군,54.5,87.5
경상북도 영덕군,74.1,89.9
경상북도 청도군,55.7,77.5
경상북도 고령군,60.3,93.6
경상북도 성주군,37.3,72.6
경상북도 칠곡군,76,92
경상북도 예천군,53,83.5
경상북도 봉화군,61.8,65.9
경상북도 울진군,66.3,68.3
경상북도 울릉군,1.7,84.3
광주광역시 동구,99.5,100
광주광역시 서구,99.9,100
광주광역시 남구,98.8,100
광주광역시 북구,99.3,99.78
광주광역시 광산구,96.8,99.8
대구광역시 중구,100,100
대구광역시 동구,98.7,99.8
대구광역시 서구,100,100
대구광역시 남구,100,100
대구광역시 북구,99.8,99.99
대구광역시 수성구,99.6,100
대구광역시 달서구,100,100
대구광역시 달성군,87.5,100
대전광역시 동구,99.17,99.99
대전광역시 중구,99.45,100
대전광역시 서구,99.32,99.89
대전광역시 유성구,91.67,99.82
대전광역시 대덕구,99.59,99.96
부산광역시 중구,100,100
부산광역시 서구,100,100
부산광역시 동구,100,100
부산광역시 영도구,100,100
부산광역시 부산진구,100,100
부산광역시 동래구,100,100
부산광역시 남구,100,100
부산광역시 북구,100,100
부산광역시 해운대구,100,100
부산광역시 사하구,100,100
부산광역시 금정구,100,100
부산광역시 강서구,94.3,100
부산광역시 연제구,100,100
부산광역시 수영구,100,100
부산광역시 사상구,100,100
부산광역시 기장군,90.1,100
서울특별시 종로구,100,100
서울특별시 중구,100,100
서울특별시 용산구,100,100
서울특별시 성동구,100,100
서울특별시 광진구,100,100
서울특별시 동대문구,100,100
서울특별시 중랑구,100,100
서울특별시 성북구,100,100
서울특별시 강북구,100,100
서울특별시 도봉구,100,100
서울특별시 노원구,100,100
서울특별시 은평구,100,100
서울특별시 서대문구,100,100
서울특별시 마포구,100,100
서울특별시 양천구,100,100
서울특별시 강서구,100,100
서울특별시 구로구,100,100
서울특별시 금천구,100,100
서울특별시 영등포구,100,100
서울특별시 동작구,100,100
서울특별시 관악구,100,100
서울특별시 서초구,100,100
서울특별시 강남구,100,100
서울특별시 송파구,100,100
서울특별시 강동구,100,100
세종특별자치시,93.1,92.5
울산광역시 중구,99.8,100
울산광역시 남구,100,99.9
울산광역시 동구,100,99.5
울산광역시 북구,98.9,99.3
울산광역시 울주군,96.1,92
인천광역시 강화군,30.9,71.5
인천광역시 옹진군,44.5,29.9
인천광역시 중구,86.7,99.5
인천광역시 동구,100,100
인천광역시 미추홀구,100,100
인천광역시 연수구,99.5,100
인천광역시 남동구,99.2,99.9
인천광역시 부평구,100,100
인천광역시 계양구,99.5,100
인천광역시 서구,98.5,99.9
전라남도 목포시,98,99.8
전라남도 여수시,83.9,91.5
전라남도 순천시,90.7,95.6
전라남도 나주시,66.9,80.5
전라남도 광양시,92.7,86.8
전라남도 담양군,73.2,78
전라남도 곡성군,74.7,77.9
전라남도 구례군,88.9,58.5
전라남도 고흥군,52.5,68.6
전라남도 보성군,57,56
전라남도 화순군,79.3,87.2
전라남도 장흥군,63.5,80.4
전라남도 강진군,56.9,60.9
전라남도 해남군,50.2,68.6
전라남도 영암군,73.6,83.5
전라남도 무안군,62.2,98.3
전라남도 함평군,58.8,85.1
전라남도 영광군,55.3,91.6
전라남도 장성군,57.4,87.9
전라남도 완도군,51.5,96.7
전라남도 진도군,59.9,99.3
전라남도 신안군,31.5,90.1
전북특별자치도 전주시,99,100
전북특별자치도 군산시,89,98.6
전북특별자치도 익산시,90,99.3
전북특별자치도 정읍시,78,98.4
전북특별자치도 남원시,81,90.9
전북특별자치도 김제시,62,99.9
전북특별자치도 완주군,84,77.4
전북특별자치도 진안군,77,81.9
전북특별자치도 무주군,76,79.3
전북특별자치도 장수군,82,87.2
전북특별자치도 임실군,71,86.6
전북특별자치도 순창군,51,76.9
전북특별자치도 고창군,66,99.6
전북특별자치도 부안군,68,99.9
제주특별자치도 제주시,92.1,100
제주특별자치도 서귀포시,93.1,100
충청남도 천안시,96.1,99
충청남도 공주시,69.2,95.6
충청남도 보령시,66.9,98.4
충청남도 아산시,84.5,99.7
충청남도 서산시,75,96.4
충청남도 논산시,66.8,90.7
충청남도 계룡시,96,99.4
충청남도 당진시,63.4,92.5
충청남도 금산군,77.2,91.4
충청남도 부여군,55.5,86.4
충청남도 서천군,53.2,95.2
충청남도 청양군,50.4,92.4
충청남도 홍성군,70.9,97.6
충청남도 예산군,55.1,92.2
충청남도 태안군,51.8,82.9
충청북도 청주시,92.2,97.1
충청북도 충주시,91.9,92.9
충청북도 제천시,93.2,92.5
충청북도 보은군,70.9,52.6
충청북도 옥천군,87.4,85.7
충청북도 영동군,67.6,78.3
충청북도 증평군,96.9,99.8
충청북도 진천군,78.2,94.1
충청북도 괴산군,48.6,63.1
충청북도 음성군,54,85.2
충청북도 단양군,75.4,76.2
서울특별시,0,0
인천광역시,0,0
경기도,0,0
강원도,0,0
충청남도,0,0
충청북도 ,0,0
대전광역시,0,0
전북특별자치도,0,0
전라남도,0,0
광주광역시,0,0
경상북도,0,0
대구광역시,0,0
경상남도,0,0
울산광역시,0,0
부산광역시,0,0
제주특별자치도,0,0
